Name,Portrait,Country,Office,Mandate start,Mandate end,Term length,Head of state or government,Executive or non-executive
Benazir Bhutto,,Pakistan,Prime Minister,19 October 1993,5 November 1996,"3 years, 17 days",Head of government,Executive
Ertha Pascal-Trouillot,,Haiti,President,13 March 1990,7 February 1991,331 days,Head of state,
Kazimira Prunskienė,,Lithuania,Prime Minister,17 March 1990,10 January 1991,299 days,Head of government,Executive
Sabine Bergmann-Pohl,,East Germany,President of the People's Chamber,5 April 1990,2 October 1990,180 days,Head of state,
Violeta Chamorro,,Nicaragua,President,25 April 1990,10 January 1997,"6 years, 260 days",Head of state and government,Executive
Mary Robinson,,Ireland,President,3 December 1990,12 September 1997,"6 years, 283 days",Head of state,
Khaleda Zia,,Bangladesh,Prime Minister,27 February 1991,30 March 1996,"5 years, 32 days",Head of government,Executive
Khaleda Zia,,Bangladesh,Prime Minister,1 October 2001,29 October 2006,"5 years, 28 days",Head of government,Executive
Édith Cresson,,France,Prime Minister,15 May 1991,2 April 1992,323 days,Head of government,
Hanna Suchocka,,Poland,Prime Minister,11 July 1992,25 October 1993,"1 year, 106 days",Head of government,
Tansu Çiller,,Turkey,Prime Minister,13 June 1993,6 March 1996,"2 years, 267 days",Head of government,
Kim Campbell,,Canada,Prime Minister,25 June 1993,4 November 1993,132 days,Head of government,Executive
Sylvie Kinigi,,Burundi,Prime Minister,10 July 1993,27 October 1993,109 days,Head of government,
Agathe Uwilingiyimana,,Rwanda,Prime Minister,18 July 1993,7 April 1994 (assassinated),263 days,Head of government,
Chandrika Kumaratunga,,Sri Lanka,President,12 November 1994,19 November 2005,"11 years, 7 days",Head of state and government,Executive
Claudette Werleigh,,Haiti,Prime Minister,7 November 1995,27 February 1996,112 days,Head of government,
Sheikh Hasina,,Bangladesh,Prime Minister,12 June 1996,15 July 2001,"5 years, 33 days",Head of government,Executive
Sheikh Hasina,,Bangladesh,Prime Minister,6 January 2009,Incumbent,"14 years, 5 days",Head of government,Executive
Ruth Perry,,Liberia,Chairwoman of the Council of State,3 September 1996,2 August 1997,333 days,Head of state and government,Executive
Rosalía Arteaga,,Ecuador,President,9 February 1997,11 February 1997,2 days,Head of state and government,Executive
Mary McAleese,,Ireland,President,11 November 1997,10 November 2011,"13 years, 364 days",Head of state,
Jenny Shipley,,New Zealand,Prime Minister,8 December 1997,10 December 1999,"2 years, 2 days",Head of government,Executive
Janet Jagan,,Guyana,President,19 December 1997,11 August 1999,"1 year, 235 days",Head of state and government,Executive
Ruth Dreifuss,,Switzerland,President,1 January 1999,31 December 1999,364 days,Head of state and government,Executive
Vaira Vīķe-Freiberga,,Latvia,President,8 July 1999,8 July 2007,"8 years, 0 days",Head of state,
Mireya Moscoso,,Panama,President,1 September 1999,1 September 2004,"5 years, 0 days",Head of state and government,Executive
Helen Clark,,New Zealand,Prime Minister,10 December 1999,19 November 2008,"8 years, 350 days",Head of government,Executive
Tarja Halonen,,Finland,President,1 March 2000,1 March 2012,"12 years, 0 days",Head of state,
Gloria Macapagal Arroyo,,Philippines,President,20 January 2001,30 June 2010,"9 years, 161 days",Head of state and government,Executive
Mame Madior Boye,,Senegal,Prime Minister,3 March 2001,4 November 2002,"1 year, 246 days",Head of government,Executive
Megawati Sukarnoputri,,Indonesia,President,23 July 2001,20 October 2004,"3 years, 89 days",Head of state and government,Executive
Maria das Neves,,São Tomé and Príncipe,Prime Minister,3 October 2002,18 September 2004,"1 year, 351 days",Head of government,
Anneli Jäätteenmäki,,Finland,Prime Minister,17 April 2003,24 June 2003,68 days,Head of government,Executive
Yulia Tymoshenko,,Ukraine,Prime Minister,24 January 2005,6 September 2005,225 days,Head of government,Executive
Yulia Tymoshenko,,Ukraine,Prime Minister,18 December 2007,3 March 2010,"2 years, 75 days",Head of government,Executive
Maria do Carmo Silveira,,São Tomé and Príncipe,Prime Minister,8 June 2005,21 April 2006,317 days,Head of government,
Angela Merkel,,Germany,Chancellor,22 November 2005,8 December 2021,"16 years, 16 days",Head of government,Executive
Ellen Johnson Sirleaf,,Liberia,President,16 January 2006,22 January 2018,"12 years, 6 days",Head of state and government,Executive
Michelle Bachelet,,Chile,President,11 March 2006,11 March 2010,"4 years, 0 days",Head of state and government,Executive
Michelle Bachelet,,Chile,President,11 March 2014,11 March 2018,"4 years, 0 days",Head of state and government,Executive
Portia Simpson-Miller,,Jamaica,Prime Minister,30 March 2006,11 September 2007,"1 year, 165 days",Head of government,Executive
Portia Simpson-Miller,,Jamaica,Prime Minister,5 January 2012,3 March 2016,"4 years, 58 days",Head of government,Executive
Micheline Calmy-Rey,,Switzerland,President,1 January 2007,31 December 2007,364 days,Head of state and government,Executive
Micheline Calmy-Rey,,Switzerland,President,1 January 2011,31 December 2011,364 days,Head of state and government,Executive
Pratibha Patil,,India,President,25 July 2007,25 July 2012,"5 years, 0 days",Head of state,
Cristina Fernández de Kirchner,,Argentina,President,10 December 2007,9 December 2015,"7 years, 364 days",Head of state and government,Executive
Zinaida Greceanîi,,Moldova,Prime Minister,31 March 2008,14 September 2009,"1 year, 167 days",Head of government,Executive
Michèle Pierre-Louis,,Haiti,Prime Minister,5 September 2008,11 November 2009,"1 year, 67 days",Head of government,
Jóhanna Sigurðardóttir,,Iceland,Prime Minister,1 February 2009,23 May 2013,"4 years, 111 days",Head of government,Executive
Jadranka Kosor,,Croatia,Prime Minister,6 July 2009,23 December 2011,"2 years, 170 days",Head of government,Executive
Dalia Grybauskaitė,,Lithuania,President,12 July 2009,12 July 2019,"10 years, 0 days",Head of state,
Doris Leuthard,,Switzerland,President,1 January 2010,31 December 2010,364 days,Head of state and government,Executive
Doris Leuthard,,Switzerland,President,1 January 2017,31 December 2017,364 days,Head of state and government,Executive
Roza Otunbayeva,,Kyrgyzstan,President,7 April 2010,1 December 2011,"1 year, 238 days",Head of state,
Laura Chinchilla,,Costa Rica,President,8 May 2010,8 May 2014,"4 years, 0 days",Head of state and government,Executive
Kamla Persad-Bissessar,,Trinidad and Tobago,Prime Minister,26 May 2010,9 September 2015,"5 years, 106 days",Head of government,Executive
Mari Kiviniemi,,Finland,Prime Minister,22 June 2010,22 June 2011,"1 year, 0 days",Head of government,Executive
Julia Gillard,,Australia,Prime Minister,24 June 2010,27 June 2013,"3 years, 3 days",Head of government,Executive
Iveta Radičová,,Slovakia,Prime Minister,8 July 2010,4 April 2012,"1 year, 271 days",Head of government,Executive
Dilma Rousseff,,Brazil,President,1 January 2011,31 August 2016 Suspended 12 May 2016,"5 years, 243 days 5 years, 132 days",Head of state and government,Executive
Cissé Mariam Kaïdama Sidibé,,Mali,Prime Minister,3 April 2011,22 March 2012,354 days,Head of government,
Atifete Jahjaga,,Kosovo,President,7 April 2011,7 April 2016,"5 years, 0 days",Head of state,
Yingluck Shinawatra,,Thailand,Prime Minister,3 July 2011,7 May 2014,"2 years, 308 days",Head of government,Executive
Helle Thorning-Schmidt,,Denmark,Prime Minister,3 October 2011,28 June 2015,"3 years, 268 days",Head of government,Executive
Eveline Widmer-Schlumpf,,Switzerland,President,1 January 2012,31 December 2012,365 days,Head of state and government,Executive
Joyce Banda,,Malawi,President,7 April 2012,31 May 2014,"2 years, 54 days",Head of state and government,Executive
Park Geun-hye,,South Korea,President,25 February 2013,10 March 2017 Suspended 9 December 2016,"4 years, 13 days 3 years, 288 days",Head of state and government,Executive
Alenka Bratušek,,Slovenia,Prime Minister,20 March 2013,18 September 2014,"1 year, 182 days",Head of government,Executive
Tatiana Turanskaya,,Transnistria,Prime Minister,10 June 2013,13 October 2015,"2 years, 125 days",Head of government,Executive
Tatiana Turanskaya,,Transnistria,Prime Minister,30 November 2015,2 December 2015,2 days,Head of government,Executive
Sibel Siber,,Northern Cyprus,Prime Minister,13 June 2013,2 September 2013,81 days,Head of government,Executive
Aminata Touré,,Senegal,Prime Minister,1 September 2013,8 July 2014,310 days,Head of government,Executive
Erna Solberg,,Norway,Prime Minister,16 October 2013,14 October 2021,"7 years, 363 days",Head of government,Executive
Laimdota Straujuma,,Latvia,Prime Minister,22 January 2014,11 February 2016,"2 years, 20 days",Head of government,Executive
Catherine Samba-Panza,,Central African Republic,President,23 January 2014,30 March 2016,"2 years, 67 days",Head of state,Executive
Marie-Louise Coleiro Preca,,Malta,President,4 April 2014,4 April 2019,"5 years, 0 days",Head of state,
Ewa Kopacz,,Poland,Prime Minister,22 September 2014,16 November 2015,"1 year, 55 days",Head of government,
Simonetta Sommaruga,,Switzerland,President,1 January 2015,31 December 2015,364 days,Head of state and government,Executive
Simonetta Sommaruga,,Switzerland,President,1 January 2020,31 December 2020,365 days,Head of state and government,Executive
Kolinda Grabar-Kitarović,,Croatia,President,19 February 2015,18 February 2020,"4 years, 364 days",Head of state,
Ameenah Gurib-Fakim,,Mauritius,President,5 June 2015,23 March 2018,"2 years, 291 days",Head of state,
Bidya Devi Bhandari,,Nepal,President,29 October 2015,Incumbent,"7 years, 74 days",Head of state,
Beata Szydło,,Poland,Prime Minister,16 November 2015,11 December 2017,"2 years, 25 days",Head of government,Executive
Hilda Heine,,Marshall Islands,President,28 January 2016,14 January 2020,"3 years, 351 days",Head of state and government,Executive
Aung San Suu Kyi,,Myanmar,State Counsellor,6 April 2016,1 February 2021,"4 years, 301 days",De facto head of government,
Tsai Ing-wen,,Taiwan,President,20 May 2016,Incumbent,"6 years, 236 days",Head of state,Executive
Theresa May,,United Kingdom,Prime Minister,13 July 2016,24 July 2019,"3 years, 11 days",Head of government,Executive
Kersti Kaljulaid,,Estonia,President,10 October 2016,11 October 2021,"5 years, 1 day",Head of state,
Ana Brnabić,,Serbia,Prime Minister,29 June 2017,Incumbent,"5 years, 196 days",Head of government,Executive
Halimah Yacob,,Singapore,President,14 September 2017,Incumbent,"5 years, 119 days",Head of state,
Jacinda Ardern,,New Zealand,Prime Minister,26 October 2017,Incumbent,"5 years, 77 days",Head of government,Executive
Katrín Jakobsdóttir,,Iceland,Prime Minister,30 November 2017,Incumbent,"5 years, 42 days",Head of government,Executive
Viorica Dăncilă,,Romania,Prime Minister,29 January 2018,4 November 2019,"1 year, 279 days",Head of government,Executive
Paula-Mae Weekes,,Trinidad and Tobago,President,19 March 2018,Incumbent,"4 years, 298 days",Head of state,
Mia Mottley,,Barbados,Prime Minister,25 May 2018,Incumbent,"4 years, 231 days",Head of government,Executive
Sahle-Work Zewde,,Ethiopia,President,25 October 2018,Incumbent,"4 years, 78 days",Head of state,
Salome Zourabichvili,,Georgia,President,16 December 2018,Incumbent,"4 years, 26 days",Head of state,
Brigitte Bierlein,,Austria,Chancellor (Interim),3 June 2019,7 January 2020,218 days,Head of government,Executive
Maia Sandu,,Moldova,Prime Minister,8 June 2019,14 November 2019,159 days,Head of government,Executive
Maia Sandu,,Moldova,President,24 December 2020,Incumbent,"2 years, 18 days",Head of state,
Zuzana Čaputová,,Slovakia,President,15 June 2019,Incumbent,"3 years, 210 days",Head of state,
Mette Frederiksen,,Denmark,Prime Minister,27 June 2019,Incumbent,"3 years, 198 days",Head of government,Executive
Sophie Wilmès,,Belgium,Prime Minister,27 October 2019,1 October 2020,340 days,Head of government,Executive
Jeanine Áñez,,Bolivia,President,12 November 2019,8 November 2020,362 days,Head of state and government,Executive
Sanna Marin,,Finland,Prime Minister,10 December 2019,Incumbent,"3 years, 32 days",Head of government,Executive
Katerina Sakellaropoulou,,Greece,President,13 March 2020,Incumbent,"2 years, 304 days",Head of state,
Rose Christiane Raponda,,Gabon,Prime Minister,16 July 2020,9 January 2022,"1 year, 177 days",Head of government,Executive[g]
Victoire Tomegah Dogbé,,Togo,Prime Minister,28 September 2020,Incumbent,"2 years, 105 days",Head of government,Executive[h]
Ingrida Šimonytė,,Lithuania,Prime Minister,11 December 2020,Incumbent,"2 years, 31 days",Head of government,Executive
Kaja Kallas,,Estonia,Prime Minister,26 January 2021,Incumbent,"1 year, 350 days",Head of government,Executive
Samia Suluhu Hassan,,Tanzania,President,19 March 2021,Incumbent,"1 year, 298 days",Head of state and government,Executive
Vjosa Osmani,,Kosovo,President,4 April 2021,Incumbent,"1 year, 282 days",Head of state,
Fiamē Naomi Mataʻafa,,Samoa,Prime Minister,24 May 2021,Incumbent,"1 year, 232 days",Head of government,Executive
Natalia Gavrilița,,Moldova,Prime Minister,6 August 2021,Incumbent,"1 year, 158 days",Head of government,Executive
Najla Bouden,,Tunisia,Prime Minister,11 October 2021,Incumbent,"1 year, 92 days",Head of government,Executive
Sandra Mason,,Barbados,President,30 November 2021,Incumbent,"1 year, 42 days",Head of state,
Magdalena Andersson,,Sweden,Prime Minister,30 November 2021,18 October 2022,322 days,Head of government,Executive
Xiomara Castro,,Honduras,President,27 January 2022,Incumbent,349 days,Head of state and government,Executive
Katalin Novák,,Hungary,President,10 May 2022,Incumbent,246 days,Head of state,
Élisabeth Borne,,France,Prime Minister,16 May 2022,Incumbent,240 days,Head of government,
Droupadi Murmu,,India,President,25 July 2022,Incumbent,170 days,Head of state,
Liz Truss,,United Kingdom,Prime Minister,6 September 2022,25 October 2022,49 days,Head of government,Executive
Giorgia Meloni,,Italy,Prime Minister,22 October 2022,Incumbent,81 days,Head of government,Executive
Dina Boluarte,,Peru,President,7 December 2022,Incumbent,35 days,Head of state and government,Executive
Nataša Pirc Musar,,Slovenia,President,22 December 2022,Incumbent,20 days,Head of state,
Borjana Krišto,,Bosnia and Herzegovina,Prime Minister,January 2023,,,Head of government,Executive
