Source: Inter-Parliamentary Union Open Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Date: 2023-01-08,,,,,,,,,
Ranking as of 1st October 2020,,,,,,,,,
,,,,,,,,,
Rank,Country,Lower or single House,,,,Upper chamber,,,
,,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,09.2018,80,49,61.3,09.2019,26,10,38.5
2,Cuba,03.2018,605,322,53.2,-,-,-,-
3,Bolivia (Plurinational State of),10.2019,130,69,53.1,10.2019,36,17,47.2
4,United Arab Emirates,10.2019,40,20,50,-,-,-,-
5,Mexico,07.2018,500,241,48.2,07.2018,128,63,49.2
6,Nicaragua,11.2016,91,43,47.3,-,-,-,-
7,Sweden,09.2018,349,164,47,-,-,-,-
8,Grenada,03.2018,15,7,46.7,04.2018,13,4,30.8
9,Andorra,04.2019,28,13,46.4,-,-,-,-
“,South Africa,05.2019,399,185,46.4,05.2019,53,20,37.7
11,Finland,04.2019,200,92,46,-,-,-,-
12,Costa Rica,02.2018,57,26,45.6,-,-,-,-
13,Spain,11.2019,350,154,44,11.2019,264,103,39
14,Namibia,11.2019,104,45,43.3,12.2015,42,8,19.1
15,Senegal,07.2017,165,71,43,-,-,-,-
16,Mozambique,10.2019,250,106,42.4,-,-,-,-
17,Switzerland,10.2019,200,83,41.5,10.2019,46,12,26.1
18,Norway,09.2017,169,70,41.4,-,-,-,-
19,Argentina,10.2019,257,105,40.9,10.2019,72,29,40.3
20,New Zealand,09.2017,120,49,40.8,-,-,-,-
21,Belgium,05.2019,150,61,40.7,07.2019,60,27,45
22,Belarus,11.2019,110,44,40,11.2019,60,15,25
“,Portugal,10.2019,230,92,40,-,-,-,-
24,Denmark,06.2019,179,71,39.7,-,-,-,-
25,France,06.2017,577,228,39.5,09.2020,348,116,33.3
26,Ecuador,02.2017,137,54,39.4,-,-,-,-
27,Austria,09.2019,183,72,39.3,-,61,22,36.1
28,Ethiopia,05.2015,547,212,38.8,10.2015,153,49,32
“,Serbia,06.2020,250,97,38.8,-,-,-,-
30,Timor-Leste,05.2018,65,25,38.5,-,-,-,-
31,North Macedonia,07.2020,120,46,38.3,-,-,-,-
32,Burundi,05.2020,123,47,38.2,07.2020,39,16,41
33,Iceland,10.2017,63,24,38.1,-,-,-,-
34,United Republic of Tanzania,10.2015,393,145,36.9,-,-,-,-
35,Guyana,03.2020,70,25,35.7,-,-,-,-
“,Italy,03.2018,630,225,35.7,03.2018,320,110,34.4
37,Uganda,02.2016,459,160,34.9,-,-,-,-
38,Dominica,12.2019,32,11,34.4,-,-,-,-
39,Cameroon,02.2020,180,61,33.9,03.2018,100,26,26
“,United Kingdom,12.2019,650,220,33.9,-,795,213,26.8
41,El Salvador,03.2018,84,28,33.3,-,-,-,-
“,Monaco,02.2018,24,8,33.3,-,-,-,-
“,Netherlands,03.2017,150,50,33.3,05.2019,75,29,38.7
“,San Marino,12.2019,60,20,33.3,-,-,-,-
45,Nepal,11.2017,275,90,32.7,01.2020,58,22,37.9
46,Uzbekistan,12.2019,150,48,32,01.2020,97,24,24.7
47,Zimbabwe,07.2018,270,86,31.9,07.2018,80,35,43.8
48,Germany,09.2017,709,221,31.2,-,69,25,36.2
49,Croatia,07.2020,151,47,31.1,-,-,-,-
50,Angola,08.2017,220,66,30,-,-,-,-
“,Australia,05.2019,150,45,30,05.2019,76,38,50
“,Latvia,10.2018,100,30,30,-,-,-,-
“,Luxembourg,10.2018,60,18,30,-,-,-,-
54,Albania,06.2017,122,36,29.5,-,-,-,-
“,Singapore,07.2020,95,28,29.5,-,-,-,-
56,Suriname,05.2020,51,15,29.4,-,-,-,-
57,Canada,10.2019,338,98,29,-,96,48,50
58,Estonia,03.2019,101,29,28.7,-,-,-,-
“,Poland,10.2019,460,132,28.7,10.2019,100,24,24
60,Jamaica,09.2020,63,18,28.6,09.2020,21,8,38.1
61,South Sudan,08.2016,383,109,28.5,08.2011,50,6,12
62,Philippines,05.2019,304,85,28,05.2019,24,7,29.2
63,Dominican Republic,07.2020,190,53,27.9,07.2020,32,4,12.5
“,Mali,03.2020,147,41,27.9,-,-,-,-
65,Slovenia,06.2018,90,25,27.8,11.2017,40,4,10
66,Israel,03.2020,120,33,27.5,-,-,-,-
“,Lao People's Democratic Republic,03.2016,149,41,27.5,-,-,-,-
68,Kazakhstan,03.2016,107,29,27.1,08.2020,48,9,18.8
69,Afghanistan,10.2018,248,67,27,01.2015,68,19,27.9
70,Bulgaria,03.2017,240,64,26.7,-,-,-,-
“,Viet Nam,05.2016,494,132,26.7,-,-,-,-
72,Iraq,05.2018,329,87,26.4,-,-,-,-
73,Djibouti,02.2018,65,17,26.2,-,-,-,-
“,Peru,01.2020,130,34,26.2,-,-,-,-
“,Trinidad and Tobago,08.2020,42,11,26.2,08.2020,32,13,40.6
76,Algeria,05.2017,462,119,25.8,12.2018,141,8,5.7
77,Cabo Verde,03.2016,72,18,25,-,-,-,-
“,Saint Kitts and Nevis,06.2020,16,4,25,-,-,-,-
“,Turkmenistan,03.2018,124,31,25,-,-,-,-
80,China,03.2018,2975,742,24.9,-,-,-,-
“,Tunisia,10.2019,217,54,24.9,-,-,-,-
82,Republic of Moldova,02.2019,101,25,24.8,-,-,-,-
83,Somalia,10.2016,275,67,24.4,10.2016,54,13,24.1
84,Lithuania,10.2016,141,34,24.1,-,-,-,-
85,Tajikistan,03.2020,63,15,23.8,03.2020,31,7,22.6
86,Sao Tome and Principe,10.2018,55,13,23.6,-,-,-,-
87,Armenia,12.2018,132,31,23.5,-,-,-,-
88,United States of America,11.2018,431,101,23.4,11.2018,100,25,25
89,Lesotho,06.2017,120,28,23.3,07.2017,32,7,21.9
90,Malawi,05.2019,192,44,22.9,-,-,-,-
91,Slovakia,02.2020,150,34,22.7,-,-,-,-
92,Chile,11.2017,155,35,22.6,11.2017,43,10,23.3
93,Czech Republic,10.2017,200,45,22.5,10.2018,81,12,14.8
“,Ireland,02.2020,160,36,22.5,03.2020,60,24,40
