Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,09 2003,80,39,48.8,09 2003,20,6,30.0
2,Sweden,09 2002,349,158,45.3,---,---,---,---
3,Denmark,11 2001,179,68,38.0,---,---,---,---
4,Finland,03 2003,200,75,37.5,---,---,---,---
5,Netherlands,01 2003,150,55,36.7,05 1999,75,20,26.7
6,Norway,09 2001,165,60,36.4,---,---,---,---
7,Cuba,01 2003,609,219,36.0,---,---,---,---
8,Belgium,05 2003,150,53,35.3,05 2003,71,23,32.4
9,Costa Rica,02 2002,57,20,35.1,---,---,---,---
10,Austria,11 2002,183,62,33.9,N.A.,62,13,21.0
11,Germany,09 2002,603,194,32.2,N.A.,69,17,24.6
12,Argentina,10 2001,257,79,30.7,10 2001,72,24,33.3
13,Iceland,05 2003,63,19,30.2,---,---,---,---
14,Mozambique,12 1999,250,75,30.0,---,---,---,---
15,South Africa**,06 1999,399,119,29.8,06 1999,89,17,31.5
16,Seychelles,12 2002,34,10,29.4,---,---,---,---
17,New Zealand,07 2002,120,34,28.3,---,---,---,---
"""",Spain,03 2000,350,99,28.3,03 2000,259,63,24.3
18,Viet Nam,05 2002,498,136,27.3,---,---,---,---
19,Grenada,01 1999,15,4,26.7,01 1999,13,1,7.7
20,Switzerland,10 2003,200,53,26.5,10 2003,46,?,?
21,Namibia,11 1999,72,19,26.4,11 1998,26,2,7.7
22,Bulgaria,06 2001,240,63,26.2,---,---,---,---
23,Timor-Leste***,08 2001,88,23,26.1,---,---,---,---
24,Turkmenistan,12 1999,50,13,26.0,---,---,---,---
25,Australia,11 2001,150,38,25.3,10 1998,76,22,28.9
26,Uganda,06 2001,304,75,24.7,---,---,---,---
27,Lao People's Democratic Rep.,02 2002,109,25,22.9,---,---,---,---
28,Saint Vincent & the Grenadines,03 2001,22,5,22.7,---,---,---,---
29,Mexico,07 2003,500,113,22.6,07 2000,128,20,15.6
30,United Rep. of Tanzania,10 2000,274,61,22.3,---,---,---,---
31,Eritrea,02 1994,150,33,22.0,---,---,---,---
32,China,1997-98,2984,650,21.8,---,---,---,---
33,Pakistan,10 2002,342,74,21.6,02 2003,100,17,17.0
34,Latvia,10 2002,100,21,21.0,---,---,---,---
35,Monaco,02 2003,24,5,20.8,---,---,---,---
36,Nicaragua,11 2001,92,19,20.7,---,---,---,---
37,Canada,11 2000,301,62,20.6,N.A.,105,34,32.4
38,Croatia,01 2000,151,31,20.5,---,---,---,---
39,Poland,09 2001,460,93,20.2,09 2001,100,23,23.0
40,Dem. People's Rep. of Korea,07 1998,687,138,20.1,---,---,---,---
41,Bahamas,05 2002,40,8,20.0,05 2002,16,?,?
"""",Guyana,03 2001,65,13,20.0,---,---,---,---
42,Trinidad and Tobago,10 2002,36,7,19.4,12 2001,31,10,32.3
43,Guinea,06 2002,114,22,19.3,---,---,---,---
"""",Slovakia,09 2002,150,29,19.3,---,---,---,---
44,Senegal,04 2001,120,23,19.2,---,---,---,---
45,Portugal,03 2002,230,44,19.1,---,---,---,---
46,Dominica,01 2000,32,6,18.8,---,---,---,---
"""",Estonia,03 2003,101,19,18.8,---,---,---,---
