Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Sweden,09 2002,349,157,45.0,---,---,---,---
2,Denmark,11 2001,179,68,38.0,---,---,---,---
3,Finland,03 1999,200,73,36.5,---,---,---,---
4,Norway,09 2001,165,60,36.4,---,---,---,---
5,Costa Rica,02 2002,57,20,35.1,---,---,---,---
6,Iceland,05 1999,63,22,34.9,---,---,---,---
7,Netherlands,05 2002,150,51,34.0,05 1999,75,20,26.7
8,Argentina,10 2001,257,79,30.7,10 2001,72,24,33.3
9,Mozambique,12 1999,250,75,30.0,---,---,---,---
10,South Africa**,06 1999,399,119,29.8,06 1999,89,17,31.5
11,New Zealand,07 2002,120,35,29.2,---,---,---,---
12,Spain,03 2000,350,99,28.3,03 2000,259,63,24.3
13,Cuba,01 1998,601,166,27.6,---,---,---,---
14,Viet Nam,05 2002,498,136,27.3,---,---,---,---
15,Austria,10 1999,183,49,26.8,N.A.,64,13,20.3
16,Grenada,01 1999,15,4,26.7,01 1999,13,1,7.7
17,Bulgaria,06 2001,240,63,26.2,---,---,---,---
18,Dem. Rep. of East Timor***,08 2001,88,23,26.1,---,---,---,---
19,Turkmenistan,12 1999,50,13,26.0,---,---,---,---
20,Rwanda,11 1994,74,19,25.7,---,---,---,---
21,Australia,11 2001,150,38,25.3,10 1998,76,22,28.9
22,Namibia,11 1999,72,18,25.0,11 1998,26,2,7.7
23,Uganda,06 2001,304,75,24.7,---,---,---,---
24,Seychelles,03 1998,34,8,23.5,---,---,---,---
25,Belgium,06 1999,150,35,23.3,06 1999,71,20,28.2
26,Switzerland,10 1999,200,46,23.0,10 1999,46,9,19.6
27,Lao People's Democratic Rep.,02 2002,109,25,22.9,---,---,---,---
28,Saint Vincent & the Grenadines,03 2001,22,5,22.7,---,---,---,---
29,United Rep. of Tanzania,10 2000,274,61,22.3,---,---,---,---
30,Monaco,02 1998,18,4,22.2,---,---,---,---
31,China,1997-98,2984,650,21.8,---,---,---,---
32,Nicaragua,11 2001,92,19,20.7,---,---,---,---
33,Canada,11 2000,301,62,20.6,N.A.,105,34,32.4
34,Croatia,01 2000,151,31,20.5,04 1997,65,4,6.2
35,Poland,09 2001,460,93,20.2,09 2001,100,23,23.0
36,Dem. People's Rep. of Korea,07 1998,687,138,20.1,---,---,---,---
37,Guyana,03 2001,65,13,20.0,---,---,---,---
38,Burundi,06 1993,169,33,19.5,02 2002,54,?,?
39,Senegal,04 2001,120,23,19.2,---,---,---,---
40,Portugal,03 2002,230,44,19.1,---,---,---,---
41,Dominica,01 2000,32,6,18.8,---,---,---,---
42,Bolivia,06 2002,130,24,18.5,06 2002,27,4,14.8
43,Peru,04 2001,120,22,17.5,---,---,---,---
44,United Kingdom,06 2001,659,118,17.9,N.A.,713,117,16.4
45,Estonia,03 1999,101,18,17.8,---,---,---,---
"""",Philippines,05 2001,214,38,17.8,05 2001,24,3,12.5
46,Suriname,05 2000,51,9,17.6,---,---,---,---
47,The f.Y.R. of Macedonia,09 2002,120,21,17.5,---,---,---,---
48,Dominican Republic,05 2002,150,26,17.3,05 2002,32,2,6.3
49,Botswana,10 1999,47,8,17.0,---,---,---,---
"""",Czech Republic,06 2002,200,34,17.0,11 2000,81,10,12.3
"""",Latvia,10 1998,100,17,17.0,---,---,---,---
50,Luxembourg,06 1999,60,10,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
"""",Trinidad and Tobago,12 2001,36,6,16.7,12 2001,31,10,32.3
51,Mexico,07 2000,500,80,16.0,07 2000,128,20,15.6
52,Angola,09 1992,220,34,15.5,---,---,---,---
53,Eritrea,02 1994,150,22,14.7,---,---,---,---
54,Ecuador,05 1998,123,18,14.6,---,---,---,---
55,Andorra,03 2001,28,4,14.3,---,---,---,---
56,United States of America,11 2000,435,61,14.0,11 2000,100,13,13
57,Ireland,05 2002,166,22,13.3,08 1997,60,11,18.3
"""",Israel,05 1999,120,16,13.3,---,---,---,---
"""",Jamaica,12 1997,60,8,13.3,12 1997,21,5,23.8
"""",Saint Kitts and Nevis,03 2000,15,2,13.3,---,---,---,---
58,Republic of Moldova,02 2001,101,13,12.9,---,---,---,---
59,Tajikistan,02 2000,63,8,12.7,03 2000,34,4,11.8
60,Chile,12 2001,120,15,12.5,12 2001,49,2,4.1
61,France,06 2002,577,71,12.3,09 2001,321,35,10.9
62,Slovenia,10 2000,90,11,12.2,---,---,---,---
63,Uruguay,10 1999,99,12,12.1,10 1999,31,3,9.7
64,Colombia,03 2002,166,20,12.0,03 2002,102,9,8.8
"""",Liechtenstein,02 2001,25,3,12.0,---,---,---,---
"""",Zambia,12 2001,158,19,12.0,---,---,---,---
65,Singapore,11 2001,85,10,11.8,---,---,---,---
66,Burkina Faso,05 2002,111,13,11.7,---,---,---,---
67,Tunisia,10 1999,182,21,11.5,---,---,---,---
68,Cape Verde,01 2001,72,8,11.1,---,---,---,---
