Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1998,349,149,42.7,---,---,---,---
2,Denmark,03 1998,179,67,37.4,---,---,---,---
3,Finland,03 1999,200,73,36.5,---,---,---,---
4,Norway,09 1997,165,60,36.4,---,---,---,---
5,Netherlands,05 1998,150,54,36.0,05 1999,75,20,26.7
6,Iceland,05 1999,63,22,34.9,---,---,---,---
7,Germany,09 1998,669,207,30.9,N.A.,69,17,24.6
8,New Zealand,11 1999,120,37,30.8,---,---,---,---
9,Mozambique,12 1999,250,75,30.0,---,---,---,---
10,South Africa,06 1999,399,119,29.8,06 1999,54,17,31.5
11,Spain,03 2000,350,99,28.3,03 2000,259,63,24.3
12,Cuba,01 1998,601,166,27.6,---,---,---,---
13,Austria,10 1999,183,49,26.8,N.A.,64,13,20.3
14,Grenada,01 1999,15,4,26.7,01 1999,13,1,7.7
15,Argentina,10 1999,257,68,26.5,12 1998,72,2,2.8
16,Turkmenistan,12 1999,50,13,26.0,---,---,---,---
"""",Viet Nam,07 1997,450,117,26.0,---,---,---,---
17,Rwanda,11 1994,70,18,25.7,---,---,---,---
18,Namibia,11 1999,72,18,25.0,11 1998,26,2,7.7
19,Seychelles,03 1998,34,8,23.5,---,---,---,---
20,Belgium,06 1999,150,35,23.3,06 1999,71,20,28.2
21,Australia,10 1998,148,34,23.0,10 1998,76,22,28.9
"""",Switzerland,10 1999,200,46,23.0,10 1999,46,9,19.6
22,United Rep. of Tanzania,10 2000,274,61,22.3,---,---,---,---
23,Monaco,02 1998,18,4,22.2,---,---,---,---
24,China,1997-98,2984,650,21.8,---,---,---,---
25,Lao People's Democratic Rep.,12 1997,99,21,21.2,---,---,---,---
26,Canada,11 2000,301,62,20.6,N.A.,105,34,32.4
27,Croatia,01 2000,151,31,20.5,04 1997,65,4,6.2
28,Dem. People's Rep. of Korea,07 1998,687,138,20.1,---,---,---,---
29,Costa Rica,02 1998,57,11,19.3,---,---,---,---
30,Dominica,01 2000,32,6,18.8,---,---,---,---
31,Portugal,10 1999,230,43,18.7,---,---,---,---
32,Guyana,12 1997,65,12,18.5,---,---,---,---
33,United Kingdom,05 1997,659,120,18.2,N.A.,666,104,15.6
34,Estonia,03 1999,101,18,17.8,---,---,---,---
"""",Uganda,06 1996,281,50,17.8,---,---,---,---
35,Suriname,05 2000,51,9,17.6,---,---,---,---
36,Botswana,10 1999,47,8,17.0,---,---,---,---
"""",Latvia,10 1998,100,17,17.0,---,---,---,---
37,Luxembourg,06 1999,60,10,16.7,---,---,---,---
38,Dominican Republic,05 1998,149,24,16.1,05 1998,30,2,6.7
39,Mexico,07 2000,500,80,16.0,07 2000,128,20,15.6
40,Angola,09 1992,220,34,15.5,---,---,---,---
41,Bahamas,03 1997,40,6,15.0,03 1997,16,5,31.3
"""",Czech Republic,06 1998,200,30,15.0,11 2000,81,10,12.3
42,Eritrea,02 1994,150,22,14.7,---,---,---,---
43,Ecuador,05 1998,123,18,14.6,---,---,---,---
44,Burundi,06 1993,118,17,14.4,---,---,---,---
45,Slovakia,09 1998,150,21,14.0,---,---,---,---
"""",United States of America,11 2000,435,61,14.0,11 2000,100,13,13.0
46,Israel,05 1999,120,16,13.3,---,---,---,---
"""",Jamaica,12 1997,60,8,13.3,12 1997,21,5,23.8
"""",Saint Kitts and Nevis,03 2000,15,2,13.3,---,---,---,---
"""",San Marino,05 1998,60,8,13.3,---,---,---,---
47,Poland,09 1997,460,60,13.0,09 1997,100,11,11.0
48,Tajikistan,02 2000,63,8,12.7,03 2000,34,4,11.8
49,Mali,07 1997,147,18,12.2,---,---,---,---
"""",Slovenia,10 2000,90,11,12.2,---,---,---,---
