Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,03.09.2018,80,49,61.3%,26.09.2011,26,10,38.5%
2,Cuba,11.03.2018,605,322,53.2%,---,---,---,---
3,Bolivia,12.10.2014,130,69,53.1%,12.10.2014,36,17,47.2%
4,Mexico,01.07.2018,500,241,48.2%,01.07.2018,128,63,49.2%
5,Grenada,13.03.2018,15,7,46.7%,27.04.2018,13,4,30.8%
6,Namibia,29.11.2014,104,48,46.2%,08.12.2015,42,10,23.8%
7,Sweden,09.09.2018,349,161,46.1%,---,---,---,---
8,Nicaragua,06.11.2016,92,42,45.7%,---,---,---,---
9,Costa Rica,04.02.2018,57,26,45.6%,---,---,---,---
10,South Africa 1,07.05.2014,397,168,42.3%,21.05.2014,54,19,35.2%
11,Finland,19.04.2015,200,84,42.0%,---,---,---,---
12,Senegal,30.07.2017,165,69,41.8%,---,---,---,---
13,Norway,11.09.2017,169,70,41.4%,---,---,---,---
14,France,11.06.2017,576,228,39.6%,24.09.2017,348,102,29.3%
"""",Mozambique,15.10.2014,250,99,39.6%,---,---,---,---
16,Spain,26.06.2016,350,137,39.1%,26.06.2016,266,101,38.0%
17,Argentina,22.10.2017,257,100,38.9%,22.10.2017,72,30,41.7%
18,Ethiopia,24.05.2015,547,212,38.8%,05.10.2015,153,49,32.0%
19,New Zealand,23.09.2017,120,46,38.3%,---,---,---,---
"""",The F.Y.R. of Macedonia,11.12.2016,120,46,38.3%,---,---,---,---
21,Iceland,28.10.2017,63,24,38.1%,---,---,---,---
22,Belgium,25.05.2014,150,57,38.0%,03.07.2014,60,30,50.0%
"""",Ecuador,19.02.2017,137,52,38.0%,---,---,---,---
24,Denmark,18.06.2015,179,67,37.4%,---,---,---,---
25,United Republic of Tanzania,25.10.2015,390,145,37.2%,---,---,---,---
26,Burundi,29.06.2015,121,44,36.4%,24.07.2015,39,18,46.2%
27,Netherlands,15.03.2017,150,54,36.0%,26.05.2015,75,26,34.7%
28,Italy,04.03.2018,630,225,35.7%,04.03.2018,320,113,35.3%
29,Portugal,04.10.2015,230,80,34.8%,---,---,---,---
30,Belarus,11.09.2016,110,38,34.5%,30.08.2012,56,17,30.4%
31,Austria,15.10.2017,183,63,34.4%,N.A.,61,19,31.1%
"""",Serbia,24.04.2016,250,86,34.4%,---,---,---,---
33,Uganda,18.02.2016,449,154,34.3%,---,---,---,---
34,Timor-Leste,12.05.2018,65,22,33.8%,---,---,---,---
35,Monaco,14.02.2018,24,8,33.3%,---,---,---,---
36,Nepal,26.11.2017,275,90,32.7%,07.02.2018,59,22,37.3%
37,Switzerland,18.10.2015,200,65,32.5%,23.10.2011,46,7,15.2%
38,United Kingdom,08.06.2017,650,209,32.2%,N.A.,791,208,26.3%
39,Andorra,01.03.2015,28,9,32.1%,---,---,---,---
40,Guyana,11.05.2015,69,22,31.9%,---,---,---,---
41,Zimbabwe,30.07.2018,270,85,31.5%,30.07.2018,80,35,43.8%
42,Tunisia,26.10.2014,217,68,31.3%,---,---,---,---
43,Cameroon,30.09.2013,180,56,31.1%,25.03.2018,100,26,26.0%
44,El Salvador,04.03.2018,84,26,31.0%,---,---,---,---
"""",Trinidad and Tobago,07.09.2015,42,13,31.0%,23.09.2015,31,9,29.0%
46,Germany,24.09.2017,709,218,30.7%,N.A.,69,27,39.1%
47,Angola,23.08.2017,220,67,30.5%,---,---,---,---
"""",Sudan,13.04.2015,426,130,30.5%,01.06.2015,54,19,35.2%
49,Philippines,09.05.2016,292,86,29.5%,09.05.2016,24,6,25.0%
50,Australia,02.07.2016,150,43,28.7%,02.07.2016,76,31,40.8%
51,South Sudan,04.08.2016,383,109,28.5%,05.08.2011,50,6,12.0%
52,Luxembourg,20.10.2013,60,17,28.3%,---,---,---,---
53,Poland,25.10.2015,460,129,28.0%,25.10.2015,100,14,14.0%
54,Albania,25.06.2017,140,39,27.9%,---,---,---,---
55,Afghanistan,18.09.2010,249,69,27.7%,10.01.2015,68,18,26.5%
"""",Peru,10.04.2016,130,36,27.7%,---,---,---,---
57,Israel,17.03.2015,120,33,27.5%,---,---,---,---
"""",Lao People's Democratic Republic,20.03.2016,149,41,27.5%,---,---,---,---
59,Kazakhstan,20.03.2016,107,29,27.1%,28.06.2017,47,5,10.6%
60,Canada,19.10.2015,337,91,27.0%,N.A.,94,43,45.7%
61,Dominican Republic,15.05.2016,190,51,26.8%,15.05.2016,32,3,9.4%
62,Estonia,01.03.2015,101,27,26.7%,---,---,---,---
"""",San Marino,20.11.2016,60,16,26.7%,---,---,---,---
"""",Viet Nam,22.05.2016,494,132,26.7%,---,---,---,---
65,Djibouti,23.02.2018,65,17,26.2%,---,---,---,---
66,Algeria,04.05.2017,462,119,25.8%,29.12.2015,143,10,7.0%
67,Iraq,12.05.2018,329,84,25.5%,---,---,---,---
"""",Suriname,24.05.2015,51,13,25.5%,---,---,---,---
69,Dominica,08.12.2014,32,8,25.0%,---,---,---,---
70,China,05.03.2018,2980,742,24.9%,---,---,---,---
71,Turkmenistan,25.03.2018,125,31,24.8%,---,---,---,---
72,Slovenia,03.06.2018,90,22,24.4%,22.11.2017,40,4,10.0%
"""",Somalia,23.10.2016,275,67,24.4%,23.10.2016,54,13,24.1%
74,Bulgaria,26.03.2017,240,57,23.8%,---,---,---,---
75,Cabo Verde,20.03.2016,72,17,23.6%,---,---,---,---
76,Montenegro,16.10.2016,81,19,23.5%,---,---,---,---
77,Singapore,11.09.2015,100,23,23.0%,---,---,---,---
78,Republic of Moldova,30.11.2014,101,23,22.8%,---,---,---,---
79,Chile,19.11.2017,155,35,22.6%,19.11.2017,43,10,23.3%
80,United Arab Emirates,03.10.2015,40,9,22.5%,---,---,---,---
81,Ireland,26.02.2016,158,35,22.2%,25.04.2016,60,18,30.0%
"""",Venezuela (Bolivarian Republic of),06.12.2015,167,37,22.2%,---,---,---,---
83,Lesotho,03.06.2017,122,27,22.1%,11.07.2017,32,8,25.0%
84,Czech Republic,20.10.2017,200,44,22.0%,07.10.2016,80,15,18.8%
"""",Eritrea,01.02.1994,150,33,22.0%,---,---,---,---
86,Guinea,28.09.2013,114,25,21.9%,---,---,---,---
87,Kenya,08.07.2017,349,76,21.8%,08.07.2017,68,21,30.9%
88,Bosnia and Herzegovina,12.10.2014,42,9,21.4%,29.01.2015,15,2,13.3%
89,Lithuania,09.10.2016,141,30,21.3%,---,---,---,---
90,Seychelles,08.09.2016,33,7,21.2%,---,---,---,---
91,Honduras,26.11.2017,128,27,21.1%,---,---,---,---
92,Romania,11.12.2016,329,68,20.7%,11.12.2016,136,19,14.0%
93,Pakistan,25.08.2018,330,68,20.6%,03.03.2018,104,20,19.2%
94,Morocco,07.10.2016,395,81,20.5%,02.10.2015,120,14,11.7%
95,Bangladesh,05.01.2014,350,71,20.3%,---,---,---,---
"""",Mauritania,01.09.2018,153,31,20.3%,---,---,---,---
97,Uruguay,26.10.2014,99,20,20.2%,26.10.2014,31,9,29.0%
98,Barbados,24.05.2018,30,6,20.0%,05.06.2018,21,8,38.1%
"""",Cambodia,29.07.2018,125,25,20.0%,25.02.2018,62,11,17.7%
"""",Equatorial Guinea,12.11.2017,100,20,20.0%,12.11.2017,72,11,15.3%
"""",Slovakia,05.03.2016,150,30,20.0%,---,---,---,---
102,Saudi Arabia,02.12.2016,151,30,19.9%,---,---,---,---
