Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,16.09.2013,80,49,61.3%,26.09.2011,26,10,38.5%
2,Bolivia,12.10.2014,130,69,53.1%,12.10.2014,36,17,47.2%
3,Cuba,03.02.2013,612,299,48.9%,---,---,---,---
4,Iceland,29.10.2016,63,30,47.6%,---,---,---,---
5,Nicaragua,06.11.2016,92,42,45.7%,---,---,---,---
6,Sweden,14.09.2014,349,152,43.6%,---,---,---,---
7,Senegal,01.07.2012,150,64,42.7%,---,---,---,---
8,Mexico,07.06.2015,500,213,42.6%,01.07.2012,128,47,36.7%
9,Finland,19.04.2015,200,84,42.0%,---,---,---,---
"""",South Africa 1,07.05.2014,398,167,42.0%,21.05.2014,54,19,35.2%
11,Ecuador,17.02.2013,137,57,41.6%,---,---,---,---
12,Namibia,29.11.2014,104,43,41.3%,08.12.2015,42,10,23.8%
13,Mozambique,15.10.2014,250,99,39.6%,---,---,---,---
"""",Norway,09.09.2013,169,67,39.6%,---,---,---,---
15,Spain,26.06.2016,350,137,39.1%,26.06.2016,266,101,38.0%
16,Argentina,25.10.2015,257,100,38.9%,25.10.2015,72,30,41.7%
17,Ethiopia,24.05.2015,547,212,38.8%,05.10.2015,153,49,32.0%
18,Timor-Leste,07.07.2012,65,25,38.5%,---,---,---,---
19,Angola,31.08.2012,220,84,38.2%,---,---,---,---
20,Belgium,25.05.2014,150,57,38.0%,03.07.2014,60,30,50.0%
"""",Netherlands,12.09.2012,150,57,38.0%,26.05.2015,75,26,34.7%
22,Denmark,18.06.2015,179,67,37.4%,---,---,---,---
23,Germany,22.09.2013,630,233,37.0%,N.A.,69,27,39.1%
24,Slovenia,13.07.2014,90,33,36.7%,20.11.2012,40,3,7.5%
25,Burundi,29.06.2015,121,44,36.4%,24.07.2015,43,18,41.9%
"""",United Republic of Tanzania,25.10.2015,393,143,36.4%,---,---,---,---
27,Costa Rica,02.02.2014,57,20,35.1%,---,---,---,---
28,Portugal,04.10.2015,230,80,34.8%,---,---,---,---
29,Belarus,11.09.2016,110,38,34.5%,30.08.2012,56,17,30.4%
30,Serbia,24.04.2016,250,86,34.4%,---,---,---,---
31,Uganda,18.02.2016,449,154,34.3%,---,---,---,---
32,New Zealand,20.09.2014,120,41,34.2%,---,---,---,---
33,Grenada,19.02.2013,15,5,33.3%,27.03.2013,13,2,15.4%
34,Zimbabwe,31.07.2013,270,88,32.6%,31.07.2013,80,38,47.5%
35,Switzerland,18.10.2015,200,65,32.5%,23.10.2011,46,7,15.2%
36,Andorra,01.03.2015,28,9,32.1%,---,---,---,---
"""",El Salvador,01.03.2015,84,27,32.1%,---,---,---,---
38,Guyana,11.05.2015,69,22,31.9%,---,---,---,---
39,The F.Y.R. of Macedonia,11.12.2016,120,38,31.7%,---,---,---,---
40,Algeria,10.05.2012,462,146,31.6%,29.12.2015,143,10,7.0%
41,Tunisia,26.10.2014,217,68,31.3%,---,---,---,---
42,Cameroon,30.09.2013,180,56,31.1%,14.04.2013,100,20,20.0%
43,Italy,24.02.2013,630,195,31.0%,24.02.2013,320,91,28.4%
"""",Trinidad and Tobago,07.09.2015,42,13,31.0%,23.09.2015,31,9,29.0%
45,Austria,29.09.2013,183,56,30.6%,N.A.,61,19,31.1%
46,Sudan,13.04.2015,426,130,30.5%,01.06.2015,54,19,35.2%
47,United Kingdom,07.05.2015,650,195,30.0%,N.A.,809,209,25.8%
48,Nepal,19.11.2013,595,176,29.6%,---,---,---,---
