Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,9 2008,80,45,56.3%,10 2003,26,9,34.6%
2,Sweden,9 2006,349,164,47.0%,---,---,---,---
3,Cuba,1 2008,614,265,43.2%,---,---,---,---
4,Finland,3 2007,200,83,41.5%,---,---,---,---
5,Argentina,10 2007,255,102,40.0%,10 2007,72,28,38.9%
6,Netherlands,11 2006,150,59,39.3%,5 2007,75,26,34.7%
7,Denmark,11 2007,179,68,38.0%,---,---,---,---
8,Angola,9 2008,220,82,37.3%,---,---,---,---
9,Costa Rica,2 2006,57,21,36.8%,---,---,---,---
10,Spain,3 2008,350,127,36.3%,3 2008,263,79,30.0%
11,Norway,9 2005,169,61,36.1%,---,---,---,---
12,Belgium,6 2007,150,53,35.3%,6 2007,71,27,38.0%
13,Mozambique,12 2004,250,87,34.8%,---,---,---,---
14,Iceland,5 2007,63,21,33.3%,---,---,---,---
15,Nepal,4 2008,594,197,33.2%,---,---,---,---
16,New Zealand,9 2005,121,40,33.1%,---,---,---,---
17,South Africa 1,4 2004,400,132,33.0%,4 2004,54,22,40.7%
18,The F.Y.R. of Macedonia,6 2008,120,38,31.7%,---,---,---,---
19,Germany,9 2005,613,194,31.6%,N.A.,69,15,21.7%
20,Uganda,2 2006,332,102,30.7%,---,---,---,---
21,Burundi,7 2005,118,36,30.5%,7 2005,49,17,34.7%
22,United Republic of Tanzania,12 2005,319,97,30.4%,---,---,---,---
23,Peru,4 2006,120,35,29.2%,---,---,---,---
"""",Timor-Leste,6 2007,65,19,29.2%,---,---,---,---
24,Guyana,8 2006,69,20,29.0%,---,---,---,---
25,Switzerland,10 2007,200,57,28.5%,10 2007,46,10,21.7%
26,Portugal,2 2005,230,65,28.3%,---,---,---,---
27,Afghanistan,9 2005,242,67,27.7%,9 2005,102,22,21.6%
28,Namibia,11 2004,78,21,26.9%,11 2004,26,7,26.9%
29,Trinidad and Tobago,11 2007,41,11,26.8%,12 2007,31,13,41.9%
30,Australia,11 2007,150,40,26.7%,11 2007,76,27,35.5%
31,Viet Nam,5 2007,493,127,25.8%,---,---,---,---
32,Kyrgyzstan,12 2007,90,23,25.6%,---,---,---,---
33,Iraq,12 2005,275,70,25.5%,---,---,---,---
"""",Suriname,5 2005,51,13,25.5%,---,---,---,---
34,Lao People's Democratic Republic,4 2006,115,29,25.2%,---,---,---,---
35,Andorra,4 2005,28,7,25.0%,---,---,---,---
"""",Ecuador,10 2006,100,25,25.0%,---,---,---,---
"""",Lesotho,2 2007,120,30,25.0%,3 2007,31,9,29.0%
"""",Monaco,2 2008,24,6,25.0%,---,---,---,---
36,Singapore,5 2006,94,23,24.5%,---,---,---,---
37,Liechtenstein,3 2005,25,6,24.0%,---,---,---,---
38,Seychelles,5 2007,34,8,23.5%,---,---,---,---
39,Honduras,11 2005,128,30,23.4%,---,---,---,---
40,Luxembourg,6 2004,60,14,23.3%,---,---,---,---
41,Mexico,7 2006,500,116,23.2%,7 2006,128,23,18.0%
42,Tunisia,10 2004,189,43,22.8%,8 2008,112,17,15.2%
43,Lithuania,10 2004,141,32,22.7%,---,---,---,---
44,Pakistan,2 2008,338,76,22.5%,3 2006,100,17,17.0%
"""",United Arab Emirates,12 2006,40,9,22.5%,---,---,---,---
45,Mauritania,11 2006,95,21,22.1%,1 2007,56,9,16.1%
46,Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",Senegal,6 2007,150,33,22.0%,8 2007,100,40,40.0%
47,Ethiopia,5 2005,529,116,21.9%,10 2005,112,21,18.8%
48,Republic of Moldova,3 2005,101,22,21.8%,---,---,---,---
49,Bulgaria,6 2005,240,52,21.7%,---,---,---,---
50,Serbia,5 2008,250,54,21.6%,---,---,---,---
51,Canada,1 2006,305,65,21.3%,N.A.,93,32,34.4%
"""",China,3 2008,2987,637,21.3%,---,---,---,---
"""",Italy,4 2008,630,134,21.3%,4 2008,322,58,18.0%
52,Croatia,11 2007,153,32,20.9%,---,---,---,---
53,Estonia,3 2007,101,21,20.8%,---,---,---,---
54,Philippines,5 2007,239,49,20.5%,5 2007,23,4,17.4%
55,Poland,10 2007,460,93,20.2%,10 2007,100,8,8.0%
56,Democratic People's Republic of Korea,8 2003,687,138,20.1%,---,---,---,---
57,Latvia,10 2006,100,20,20.0%,---,---,---,---
58,Dominican Republic,5 2006,178,35,19.7%,5 2006,32,1,3.1%
59,United Kingdom,5 2005,646,126,19.5%,N.A.,746,147,19.7%
60,Dominica,5 2005,31,6,19.4%,---,---,---,---
61,Guinea,6 2002,114,22,19.3%,---,---,---,---
"""",Slovakia,6 2006,150,29,19.3%,---,---,---,---
62,Venezuela,12 2005,167,31,18.6%,---,---,---,---
63,Nicaragua,11 2006,92,17,18.5%,---,---,---,---
64,France,6 2007,577,105,18.2%,9 2008,343,75,21.9%
"""",Saint Vincent and the Grenadines,12 2005,22,4,18.2%,---,---,---,---
65,Cape Verde,1 2006,72,13,18.1%,---,---,---,---
"""",Sudan,8 2005,443,80,18.1%,8 2005,50,3,6.0%
66,Tajikistan,2 2005,63,11,17.5%,3 2005,34,8,23.5%
"""",Uzbekistan,12 2004,120,21,17.5%,1 2005,100,15,15.0%
67,Mauritius,7 2005,70,12,17.1%,---,---,---,---
