Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,16.09.2013,80,49,61.30%,26.09.2011,26,10,38.50%
2,Bolivia,12.10.2014,130,69,53.10%,12.10.2014,36,17,47.20%
3,Cuba,03.02.2013,612,299,48.90%,---,---,---,---
4,Nicaragua,06.11.2016,92,42,45.70%,---,---,---,---
5,Sweden,14.09.2014,349,152,43.60%,---,---,---,---
6,Mexico,07.06.2015,500,213,42.60%,01.07.2012,128,47,36.70%
7,Finland,19.04.2015,200,84,42.00%,---,---,---,---
8,Senegal,30.07.2017,165,69,41.80%,---,---,---,---
"""",South Africa 1,07.05.2014,392,164,41.80%,21.05.2014,54,19,35.20%
10,Norway,11.09.2017,169,70,41.40%,---,---,---,---
11,Namibia,29.11.2014,104,43,41.30%,08.12.2015,42,10,23.80%
12,Mozambique,15.10.2014,250,99,39.60%,---,---,---,---
13,Spain,26.06.2016,350,137,39.10%,26.06.2016,266,101,38.00%
14,France,11.06.2017,577,225,39.00%,24.09.2017,348,102,29.30%
15,Ethiopia,24.05.2015,547,212,38.80%,05.10.2015,153,49,32.00%
16,New Zealand,23.09.2017,120,46,38.30%,---,---,---,---
17,Argentina,22.10.2017,257,98,38.10%,22.10.2017,72,30,41.70%
"""",Iceland,28.10.2017,63,24,38.10%,---,---,---,---
19,Belgium,25.05.2014,150,57,38.00%,03.07.2014,60,30,50.00%
"""",Ecuador,19.02.2017,137,52,38.00%,---,---,---,---
21,The F.Y.R. of Macedonia,11.12.2016,120,45,37.50%,---,---,---,---
22,Denmark,18.06.2015,179,67,37.40%,---,---,---,---
23,United Republic of Tanzania,25.10.2015,390,145,37.20%,---,---,---,---
24,Slovenia,13.07.2014,90,33,36.70%,22.11.2017,39,4,10.30%
25,Burundi,29.06.2015,121,44,36.40%,24.07.2015,43,18,41.90%
26,Netherlands,15.03.2017,150,54,36.00%,26.05.2015,75,26,34.70%
27,Costa Rica,02.02.2014,57,20,35.10%,---,---,---,---
28,Portugal,04.10.2015,230,80,34.80%,---,---,---,---
29,Belarus,11.09.2016,110,38,34.50%,30.08.2012,56,17,30.40%
30,Austria,15.10.2017,183,63,34.40%,N.A.,61,19,31.10%
"""",Serbia,24.04.2016,250,86,34.40%,---,---,---,---
32,Uganda,18.02.2016,449,154,34.30%,---,---,---,---
33,Grenada,19.02.2013,15,5,33.30%,27.03.2013,13,2,15.40%
34,Zimbabwe,31.07.2013,264,86,32.60%,31.07.2013,79,38,48.10%
35,Switzerland,18.10.2015,200,65,32.50%,23.10.2011,46,7,15.20%
36,Timor-Leste,22.07.2017,65,21,32.30%,---,---,---,---
37,Andorra,01.03.2015,28,9,32.10%,---,---,---,---
"""",El Salvador,01.03.2015,84,27,32.10%,---,---,---,---
39,United Kingdom,08.06.2017,650,208,32.00%,N.A.,805,207,25.70%
40,Guyana,11.05.2015,69,22,31.90%,---,---,---,---
41,Tunisia,26.10.2014,217,68,31.30%,---,---,---,---
42,Cameroon,30.09.2013,180,56,31.10%,14.04.2013,100,20,20.00%
43,Italy,24.02.2013,630,195,31.00%,24.02.2013,320,91,28.40%
"""",Trinidad and Tobago,07.09.2015,42,13,31.00%,23.09.2015,31,9,29.00%
45,Germany,24.09.2017,709,218,30.70%,N.A.,69,27,39.10%
46,Angola,23.08.2017,220,67,30.50%,---,---,---,---
"""",Sudan,13.04.2015,426,130,30.50%,01.06.2015,54,19,35.20%
48,Nepal,19.11.2013,595,176,29.60%,---,---,---,---
49,Philippines,09.05.2016,292,86,29.50%,09.05.2016,24,6,25.00%
50,Australia,02.07.2016,150,43,28.70%,02.07.2016,76,31,40.80%
51,South Sudan,04.08.2016,383,109,28.50%,05.08.2011,50,6,12.00%
52,Luxembourg,20.10.2013,60,17,28.30%,---,---,---,---
53,Poland,25.10.2015,460,129,28.00%,25.10.2015,100,14,14.00%
54,Albania,25.06.2017,140,39,27.90%,---,---,---,---
55,Afghanistan,18.09.2010,249,69,27.70%,10.01.2015,68,18,26.50%
"""",Peru,10.04.2016,130,36,27.70%,---,---,---,---
57,Israel,17.03.2015,120,33,27.50%,---,---,---,---
"""",Lao People's Democratic Republic,20.03.2016,149,41,27.50%,---,---,---,---
59,Kazakhstan,20.03.2016,107,29,27.10%,28.06.2017,47,5,10.60%
60,Dominican Republic,15.05.2016,190,51,26.80%,15.05.2016,32,3,9.40%
61,Estonia,01.03.2015,101,27,26.70%,---,---,---,---
"""",San Marino,20.11.2016,60,16,26.70%,---,---,---,---
"""",Viet Nam,22.05.2016,494,132,26.70%,---,---,---,---
64,Canada,19.10.2015,335,88,26.30%,N.A.,100,43,43.00%
65,Algeria,04.05.2017,462,119,25.80%,29.12.2015,143,10,7.00%
"""",Turkmenistan,15.12.2013,124,32,25.80%,---,---,---,---
67,Suriname,24.05.2015,51,13,25.50%,---,---,---,---
68,Iraq,30.04.2014,328,83,25.30%,---,---,---,---
69,Mauritania,23.11.2013,147,37,25.20%,---,---,---,---
70,Dominica,08.12.2014,32,8,25.00%,---,---,---,---
71,Somalia,23.10.2016,275,67,24.40%,23.10.2016,54,13,24.10%
72,China,05.03.2013,2924,709,24.20%,---,---,---,---
73,Bulgaria,26.03.2017,240,57,23.80%,---,---,---,---
74,Cabo Verde,20.03.2016,72,17,23.60%,---,---,---,---
75,Montenegro,16.10.2016,81,19,23.50%,---,---,---,---
76,Singapore,11.09.2015,100,23,23.00%,---,---,---,---
77,Republic of Moldova,30.11.2014,101,23,22.80%,---,---,---,---
78,United Arab Emirates,03.10.2015,40,9,22.50%,---,---,---,---
79,Ireland,26.02.2016,158,35,22.20%,25.04.2016,60,18,30.00%
"""",Venezuela (Bolivarian Republic of),06.12.2015,167,37,22.20%,---,---,---,---
81,Lesotho,03.06.2017,122,27,22.10%,11.07.2017,32,8,25.00%
82,Czech Republic,20.10.2017,200,44,22.00%,07.10.2016,80,15,18.80%
"""",Eritrea,01.02.1994,150,33,22.00%,---,---,---,---
84,Guinea,28.09.2013,114,25,21.90%,---,---,---,---
85,Kenya,08.07.2017,349,76,21.80%,08.07.2017,68,21,30.90%
86,Bosnia and Herzegovina,12.10.2014,42,9,21.40%,29.01.2015,15,2,13.30%
87,Lithuania,09.10.2016,141,30,21.30%,---,---,---,---
88,Seychelles,08.09.2016,33,7,21.20%,---,---,---,---
89,Monaco,10.02.2013,24,5,20.80%,---,---,---,---
90,Romania,11.12.2016,329,68,20.70%,11.12.2016,136,19,14.00%
91,Pakistan,11.05.2013,340,70,20.60%,05.03.2015,104,19,18.30%
92,Morocco,07.10.2016,395,81,20.50%,02.10.2015,120,14,11.70%
93,Bangladesh,05.01.2014,350,71,20.30%,---,---,---,---
"""",Cambodia,28.07.2013,123,25,20.30%,29.01.2012,61,9,14.80%
95,Uruguay,26.10.2014,99,20,20.20%,26.10.2014,31,9,29.00%
96,Slovakia,05.03.2016,150,30,20.00%,---,---,---,---
97,Saudi Arabia,02.12.2016,151,30,19.90%,---,---,---,---
98,Indonesia,09.04.2014,560,111,19.80%,---,---,---,---
99,United States of America,08.11.2016,434,84,19.40%,08.11.2016,100,21,21.00%
100,Kyrgyzstan,04.10.2015,120,23,19.20%,---,---,---,---
"""",Madagascar,20.12.2013,151,29,19.20%,29.12.2015,63,13,20.60%
102,Tajikistan,01.03.2015,63,12,19.00%,27.03.2015,32,7,21.90%
103,Colombia,09.03.2014,166,31,18.70%,09.03.2014,102,22,21.60%
104,Croatia,11.09.2016,151,28,18.50%,---,---,---,---
105,Greece,20.09.2015,300,55,18.30%,---,---,---,---
"""",Panama,04.05.2014,71,13,18.30%,---,---,---,---
107,Sao Tome and Principe,12.10.2014,55,10,18.20%,---,---,---,---
108,Armenia,02.04.2017,105,19,18.10%,---,---,---,---
109,Zambia,11.08.2016,167,30,18.00%,---,---,---,---
110,Cyprus,22.05.2016,56,10,17.90%,---,---,---,---
111,Togo,25.07.2013,91,16,17.60%,---,---,---,---
112,Jamaica,22.02.2016,63,11,17.50%,10.03.2016,21,5,23.80%
113,Gabon,17.12.2011,117,20,17.10%,13.12.2014,102,18,17.60%
"""",Mongolia,29.06.2016,76,13,17.10%,---,---,---,---
115,Niger,21.02.2016,171,29,17.00%,---,---,---,---
"""",Republic of Korea,13.04.2016,300,51,17.00%,---,---,---,---
117,Azerbaijan,01.11.2015,125,21,16.80%,---,---,---,---
118,Barbados,21.02.2013,30,5,16.70%,06.03.2013,21,5,23.80%
"""",Malawi,20.05.2014,192,32,16.70%,---,---,---,---
"""",Saint Lucia,06.06.2016,18,3,16.70%,05.01.2012,11,3,27.30%
121,Democratic People's Republic of Korea,09.03.2014,687,112,16.30%,---,---,---,---
122,Fiji,17.09.2014,50,8,16.00%,---,---,---,---
"""",Georgia,08.10.2016,150,24,16.00%,---,---,---,---
"""",Latvia,04.10.2014,100,16,16.00%,---,---,---,---
"""",Libya,25.06.2014,188,30,16.00%,---,---,---,---
"""",Uzbekistan,21.12.2014,150,24,16.00%,13.01.2015,100,17,17.00%
127,Russian Federation,18.09.2016,450,71,15.80%,N.A.,170,29,17.10%
128,Jordan,20.09.2016,130,20,15.40%,27.09.2016,65,10,15.40%
129,Egypt,17.10.2015,596,89,14.90%,---,---,---,---
130,Turkey,01.11.2015,549,80,14.60%,---,---,---,---
131,Paraguay,21.04.2013,80,11,13.80%,21.04.2013,45,9,20.00%
132,Guinea-Bissau,13.04.2014,102,14,13.70%,---,---,---,---
133,Saint Kitts and Nevis,16.02.2015,15,2,13.30%,---,---,---,---
134,Syrian Arab Republic,13.04.2016,250,33,13.20%,---,---,---,---
135,Saint Vincent and the Grenadines,09.12.2015,23,3,13.00%,---,---,---,---
136,Bahamas,24.05.2017,39,5,12.80%,24.05.2017,16,7,43.80%
"""",Chad,13.02.2011,188,24,12.80%,---,---,---,---
138,Ghana,07.12.2016,275,35,12.70%,---,---,---,---
"""",Guatemala,06.09.2015,158,20,12.70%,---,---,---,---
140,Palau,01.11.2016,16,2,12.50%,01.11.2016,13,2,15.40%
141,Sierra Leone,17.11.2012,121,15,12.40%,---,---,---,---
142,Ukraine,26.10.2014,423,52,12.30%,---,---,---,---
143,Liechtenstein,05.02.2017,25,3,12.00%,---,---,---,---
144,Malta,03.06.2017,67,8,11.90%,---,---,---,---
145,India,07.04.2014,542,64,11.80%,21.03.2016,244,27,11.10%
