Source: Inter-Parliamentary Union Open Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Date: 2023-01-08,,,,,,,,,
Ranking as of 1st March 2019,,,,,,,,,
,,,,,,,,,
Rank,Country,Lower or single House,,,,Upper chamber,,,
,,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,09.2018,80,49,61.3,09.2011,26,10,38.5
2,Cuba,03.2018,605,322,53.2,-,-,-,-
3,Bolivia (Plurinational State of),10.2014,130,69,53.1,10.2014,36,17,47.2
4,Mexico,07.2018,500,241,48.2,07.2018,128,63,49.2
5,Sweden,09.2018,349,165,47.3,-,-,-,-
6,Grenada,03.2018,15,7,46.7,04.2018,13,4,30.8
7,Namibia,11.2014,104,48,46.2,12.2015,42,10,23.8
8,Costa Rica,02.2018,57,26,45.6,-,-,-,-
9,Nicaragua,11.2016,92,41,44.6,-,-,-,-
10,South Africa,05.2014,390,167,42.8,05.2014,54,19,35.2
11,Senegal,07.2017,165,69,41.8,-,-,-,-
12,Finland,04.2015,200,83,41.5,-,-,-,-
13,Spain,06.2016,350,144,41.1,06.2016,266,98,36.8
14,Norway,09.2017,169,69,40.8,-,-,-,-
15,New Zealand,09.2017,120,48,40,-,-,-,-
“,Timor-Leste,05.2018,65,26,40,-,-,-,-
17,France,06.2017,577,229,39.7,09.2017,348,112,32.2
18,Mozambique,10.2014,250,99,39.6,-,-,-,-
19,Argentina,10.2017,255,99,38.8,10.2017,72,30,41.7
“,Ethiopia,05.2015,547,212,38.8,10.2015,153,49,32
21,North Macedonia,12.2016,120,46,38.3,-,-,-,-
22,Iceland,10.2017,63,24,38.1,-,-,-,-
23,Belgium,05.2014,150,57,38,05.2014,60,26,43.3
“,Ecuador,02.2017,137,52,38,-,-,-,-
25,Serbia,04.2016,247,93,37.7,-,-,-,-
26,Denmark,06.2015,179,67,37.4,-,-,-,-
27,Austria,10.2017,183,68,37.2,-,61,22,36.1
28,United Republic of Tanzania,10.2015,393,145,36.9,-,-,-,-
29,Burundi,06.2015,121,44,36.4,07.2015,39,18,46.2
30,Tunisia,10.2014,217,78,35.9,-,-,-,-
31,Italy,03.2018,630,225,35.7,03.2018,320,110,34.4
32,Uganda,02.2016,459,160,34.9,-,-,-,-
33,Portugal,10.2015,230,80,34.8,-,-,-,-
34,Belarus,09.2016,110,38,34.6,09.2016,56,17,30.4
35,Monaco,02.2018,24,8,33.3,-,-,-,-
36,Nepal,11.2017,275,90,32.7,02.2018,59,22,37.3
37,Switzerland,10.2015,200,65,32.5,10.2015,46,7,15.2
38,Andorra,03.2015,28,9,32.1,-,-,-,-
39,United Kingdom,06.2017,650,208,32,-,789,208,26.4
40,Guyana,05.2015,69,22,31.9,-,-,-,-
“,Zimbabwe,07.2018,270,86,31.9,07.2018,80,35,43.8
42,Netherlands,03.2017,150,47,31.3,05.2015,75,27,36
43,Cameroon,09.2013,180,56,31.1,03.2018,100,26,26
44,El Salvador,03.2018,84,26,31,-,-,-,-
“,Trinidad and Tobago,09.2015,42,13,31,09.2015,31,11,35.5
46,Germany,09.2017,709,219,30.9,-,69,27,39.1
47,Angola,08.2017,220,66,30,-,-,-,-
“,Australia,07.2016,150,45,30,07.2016,76,30,39.5
“,Latvia,10.2018,100,30,30,-,-,-,-
“,Peru,04.2016,130,39,30,-,-,-,-
51,Philippines,05.2016,292,86,29.5,05.2016,24,6,25
52,Suriname,05.2015,51,15,29.4,-,-,-,-
53,Albania,06.2017,140,41,29.3,-,-,-,-
54,Israel,03.2015,120,35,29.2,-,-,-,-
55,Poland,10.2015,460,134,29.1,10.2015,100,14,14
56,Estonia,03.2015,101,29,28.7,-,-,-,-
57,South Sudan,08.2016,383,109,28.5,08.2011,50,6,12
58,Afghanistan,10.2018,211,59,28,01.2015,68,16,23.5
59,Sudan,04.2015,481,133,27.7,06.2015,71,19,26.8
60,Lao People's Democratic Republic,03.2016,149,41,27.5,-,-,-,-
61,Kazakhstan,03.2016,107,29,27.1,06.2017,47,5,10.6
62,Canada,10.2015,334,90,27,-,105,49,46.7
63,Dominican Republic,05.2016,190,51,26.8,05.2016,32,3,9.4
64,Viet Nam,05.2016,494,132,26.7,-,-,-,-
65,Djibouti,02.2018,65,17,26.2,-,-,-,-
66,Algeria,05.2017,462,119,25.8,12.2018,132,9,6.8
“,Bulgaria,03.2017,240,62,25.8,-,-,-,-
68,Republic of Moldova,02.2019,101,26,25.7,-,-,-,-
69,Iraq,05.2018,329,83,25.2,-,-,-,-
70,Dominica,12.2014,32,8,25,-,-,-,-
“,Luxembourg,10.2018,60,15,25,-,-,-,-
“,San Marino,11.2016,60,15,25,-,-,-,-
“,Turkmenistan,03.2018,124,31,25,-,-,-,-
74,China,03.2018,2975,742,24.9,-,-,-,-
