Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,10 2003,80.0,39,"48,8%",9 2003,26,9,"34,6%"
2,Sweden,9 2006,349.0,164,"47,0%",---,---,---,---
3,Cuba,1 2008,614.0,265,"43,2%",---,---,---,---
4,Finland,3 2007,200.0,83,"41,5%",---,---,---,---
5,Argentina,10 2007,255.0,102,"40,0%",10 2007,72,28,"38,9%"
6,Netherlands,11 2006,150.0,59,"39,3%",5 2007,75,26,"34,7%"
7,Denmark,11 2007,179.0,68,"38,0%",---,---,---,---
8,Costa Rica,2 2006,57.0,21,"36,8%",---,---,---,---
9,Spain,3 2008,350.0,127,"36,3%",3 2008,255,?,?
10,Norway,9 2005,169.0,61,"36,1%",---,---,---,---
11,Belgium,6 2007,150.0,53,"35,3%",6 2007,71,27,"38,0%"
12,Mozambique,12 2004,250.0,87,"34,8%",---,---,---,---
13,Iceland,5 2007,63.0,21,"33,3%",---,---,---,---
14,New Zealand,9 2005,121.0,40,"33,1%",---,---,---,---
15,South Africa 1,4 2004,400.0,132,"33,0%",4 2004,54,22,"40,7%"
16,Austria,10 2006,183.0,60,"32,8%",N.A.,61,15,"24,6%"
17,Germany,9 2005,613.0,194,"31,6%",N.A.,69,15,"21,7%"
18,Uganda,2 2006,332.0,102,"30,7%",---,---,---,---
19,Burundi,7 2005,118.0,36,"30,5%",7 2005,49,17,"34,7%"
20,United Republic of Tanzania,12 2005,319.0,97,"30,4%",---,---,---,---
21,Peru,4 2006,120.0,35,"29,2%",---,---,---,---
"""",The F.Y.R. of Macedonia,7 2006,120.0,35,"29,2%",---,---,---,---
"""",Timor-Leste,6 2007,65.0,19,"29,2%",---,---,---,---
22,Belarus,10 2004,110.0,32,"29,1%",11 2004,58,18,"31,0%"
23,Guyana,8 2006,69.0,20,"29,0%",---,---,---,---
24,Switzerland,10 2007,200.0,57,"28,5%",10 2007,46,10,"21,7%"
25,Portugal,2 2005,230.0,65,"28,3%",---,---,---,---
26,Afghanistan,9 2005,242.0,67,"27,7%",9 2005,102,22,"21,6%"
27,Namibia,11 2004,78.0,21,"26,9%",11 2004,26,7,"26,9%"
28,Trinidad and Tobago,11 2007,41.0,11,"26,8%",12 2007,31,13,"41,9%"
29,Australia,11 2007,150.0,40,"26,7%",11 2007,76,27,"35,5%"
"""",Grenada,11 2003,15.0,4,"26,7%",11 2003,13,4,"30,8%"
30,Viet Nam,5 2007,493.0,127,"25,8%",---,---,---,---
31,Kyrgyzstan,12 2007,90.0,23,"25,6%",---,---,---,---
32,Iraq,12 2005,275.0,70,"25,5%",---,---,---,---
"""",Suriname,5 2005,51.0,13,"25,5%",---,---,---,---
33,Lao People's Democratic Republic,4 2006,115.0,29,"25,2%",---,---,---,---
34,Andorra,4 2005,28.0,7,"25,0%",---,---,---,---
"""",Ecuador,10 2006,100.0,25,"25,0%",---,---,---,---
"""",Lesotho,2 2007,120.0,30,"25,0%",3 2007,31,9,"29,0%"
"""",Monaco,2 2008,24.0,6,"25,0%",---,---,---,---
35,Singapore,5 2006,94.0,23,"24,5%",---,---,---,---
36,Liechtenstein,3 2005,25.0,6,"24,0%",---,---,---,---
37,Seychelles,5 2007,34.0,8,"23,5%",---,---,---,---
38,Honduras,11 2005,128.0,30,"23,4%",---,---,---,---
39,Luxembourg,6 2004,60.0,14,"23,3%",---,---,---,---
40,Mexico,7 2006,500.0,116,"23,2%",7 2006,128,23,"18,0%"
41,Tunisia,10 2004,189.0,43,"22,8%",7 2005,111,17,"15,3%"
42,Lithuania,10 2004,141.0,32,"22,7%",---,---,---,---
43,Pakistan,2 2008,338.0,76,"22,5%",3 2006,100,17,"17,0%"
"""",United Arab Emirates,12 2006,40.0,9,"22,5%",---,---,---,---
44,Mauritania,11 2006,95.0,21,"22,1%",1 2007,56,9,"16,1%"
45,Eritrea,2 1994,150.0,33,"22,0%",---,---,---,---
"""",Senegal,6 2007,150.0,33,"22,0%",8 2007,100,40,"40,0%"
46,Ethiopia,5 2005,529.0,116,"21,9%",10 2005,112,21,"18,8%"
47,Republic of Moldova,3 2005,101.0,22,"21,8%",---,---,---,---
48,Bulgaria,6 2005,240.0,52,"21,7%",---,---,---,---
49,Canada,1 2006,305.0,65,"21,3%",N.A.,93,32,"34,4%"
50,Croatia,11 2007,153.0,32,"20,9%",---,---,---,---
51,Estonia,3 2007,101.0,21,"20,8%",---,---,---,---
52,Philippines,5 2007,239.0,49,"20,5%",5 2007,23,4,"17,4%"
53,Serbia,1 2007,250.0,51,"20,4%",---,---,---,---
54,Poland,10 2007,460.0,93,"20,2%",10 2007,100,8,"8,0%"
55,Democratic People's Republic of Korea,8 2003,687.0,138,"20,1%",---,---,---,---
56,Latvia,10 2006,100.0,20,"20,0%",---,---,---,---
57,Dominican Republic,5 2006,178.0,35,"19,7%",5 2006,32,1,"3,1%"
58,Cambodia,7 2003,123.0,24,"19,5%",1 2006,61,9,"14,8%"
"""",United Kingdom,5 2005,646.0,126,"19,5%",N.A.,750,148,"19,7%"
59,Guinea,6 2002,114.0,22,"19,3%",---,---,---,---
"""",Slovakia,6 2006,150.0,29,"19,3%",---,---,---,---
60,Venezuela,12 2005,167.0,31,"18,6%",---,---,---,---
61,Nicaragua,11 2006,92.0,17,"18,5%",---,---,---,---
62,France,6 2007,577.0,105,"18,2%",9 2004,330,60,"18,2%"
"""",Saint Vincent and the Grenadines,12 2005,22.0,4,"18,2%",---,---,---,---
63,Cape Verde,1 2006,72.0,13,"18,1%",---,---,---,---
"""",Sudan,8 2005,443.0,80,"18,1%",8 2005,50,3,"6,0%"
64,Equatorial Guinea,4 2004,100.0,18,"18,0%",---,---,---,---
65,Tajikistan,2 2005,63.0,11,"17,5%",3 2005,34,8,"23,5%"
"""",Uzbekistan,12 2004,120.0,21,"17,5%",1 2005,100,15,"15,0%"
66,Italy,4 2006,630.0,109,"17,3%",4 2006,322,45,"14,0%"
"""",Nepal,1 2007,329.0,57,"17,3%",---,---,---,---
67,Mauritius,7 2005,70.0,12,"17,1%",---,---,---,---
68,Bolivia,12 2005,130.0,22,"16,9%",12 2005,27,1,"3,7%"
69,United States of America,11 2006,435.0,73,"16,8%",11 2006,100,16,"16,0%"
70,El Salvador,3 2006,84.0,14,"16,7%",---,---,---,---
"""",Gabon,12 2001,120.0,20,"16,7%",2 2003,91,14,"15,4%"
"""",Panama,5 2004,78.0,13,"16,7%",---,---,---,---
71,Dominica,5 2005,31.0,5,"16,1%",---,---,---,---
72,Turkmenistan,12 2004,50.0,8,"16,0%",---,---,---,---
73,Kazakhstan,8 2007,107.0,17,"15,9%",8 2005,47,2,"4,3%"
74,Czech Republic,6 2006,200.0,31,"15,5%",10 2006,81,11,"13,6%"
75,Burkina Faso,5 2007,111.0,17,"15,3%",---,---,---,---
76,Zambia,9 2006,158.0,24,"15,2%",---,---,---,---
77,Angola,9 1992,220.0,33,"15,0%",---,---,---,---
"""",Chile,12 2005,120.0,18,"15,0%",12 2005,38,2,"5,3%"
78,Greece,9 2007,300.0,44,"14,7%",---,---,---,---
79,Republic of Korea,4 2004,299.0,43,"14,4%",---,---,---,---
80,Cyprus,5 2006,56.0,8,"14,3%",---,---,---,---
81,Israel,3 2006,120.0,17,"14,2%",---,---,---,---
82,Guinea-Bissau,3 2004,100.0,14,"14,0%",---,---,---,---
"""",Russian Federation,12 2007,450.0,63,"14,0%",N.A.,169,8,"4,7%"
83,Cameroon,7 2007,180.0,25,"13,9%",---,---,---,---
84,Djibouti,2 2008,65.0,9,"13,8%",---,---,---,---
85,Ireland,5 2007,166.0,22,"13,3%",7 2007,60,13,"21,7%"
"""",Jamaica,9 2007,60.0,8,"13,3%",9 2007,21,3,"14,3%"
86,Sierra Leone,8 2007,121.0,16,"13,2%",---,---,---,---
87,Malawi,5 2004,193.0,25,"13,0%",---,---,---,---
88,Liberia,10 2005,64.0,8,"12,5%",10 2005,30,5,"16,7%"
89,Niger,12 2004,113.0,14,"12,4%",---,---,---,---
"""",Syrian Arab Republic,4 2007,250.0,31,"12,4%",---,---,---,---
90,Bahamas,5 2007,41.0,5,"12,2%",5 2007,15,9,"60,0%"
"""",Slovenia,10 2004,90.0,11,"12,2%",12 2002,40,1,"2,5%"
91,Uruguay,10 2004,99.0,12,"12,1%",10 2004,31,4,"12,9%"
92,Guatemala,9 2007,158.0,19,"12,0%",---,---,---,---
"""",Maldives,1 2005,50.0,6,"12,0%",---,---,---,---
93,Bosnia and Herzegovina,10 2006,42.0,5,"11,9%",3 2007,15,2,"13,3%"
94,San Marino,6 2006,60.0,7,"11,7%",---,---,---,---
"""",Thailand,12 2007,480.0,56,"11,7%",3 2008,150,24,"16,0%"
95,Indonesia,4 2004,550.0,64,"11,6%",---,---,---,---
96,Azerbaijan,11 2005,123.0,14,"11,4%",---,---,---,---
97,Botswana,10 2004,63.0,7,"11,1%",---,---,---,---
"""",Hungary,4 2006,386.0,43,"11,1%",---,---,---,---
"""",Montenegro,9 2006,81.0,9,"11,1%",---,---,---,---
"""",Saint Lucia,12 2006,18.0,2,"11,1%",1 2007,11,3,"27,3%"
"""",Togo,10 2007,81.0,9,"11,1%",---,---,---,---
98,Ghana,12 2004,230.0,25,"10,9%",---,---,---,---
99,Benin,3 2003,83.0,9,"10,8%",---,---,---,---
"""",Swaziland,10 2003,65.0,7,"10,8%",10 2003,30,11,"36,7%"
100,Antigua and Barbuda,3 2004,19.0,2,"10,5%",3 2004,17,4,"23,5%"
"""",Central African Republic,3 2005,105.0,11,"10,5%",---,---,---,---
"""",Morocco,9 2007,325.0,34,"10,5%",9 2006,270,3,"1,1%"
101,Mali,7 2007,147.0,15,"10,2%",---,---,---,---
102,Barbados,1 2008,30.0,3,"10,0%",2 2008,21,4,"19,0%"
"""",Paraguay,4 2003,80.0,8,"10,0%",4 2003,45,6,"13,3%"
103,Gambia,1 2002,53.0,5,"9,4%",---,---,---,---
"""",Georgia,3 2004,235.0,22,"9,4%",---,---,---,---
"""",Japan,9 2005,480.0,45,"9,4%",7 2007,242,44,"18,2%"
"""",Romania,11 2004,330.0,31,"9,4%",11 2004,137,14,"10,2%"
104,Armenia,5 2007,131.0,12,"9,2%",---,---,---,---
105,India,4 2004,541.0,49,"9,1%",7 2006,243,24,"9,9%"
"""",Turkey,7 2007,549.0,50,"9,1%",---,---,---,---
106,Brazil,10 2006,513.0,46,"9,0%",10 2006,81,10,"12,3%"
107,Cote d'Ivoire,12 2000,203.0,18,"8,9%",---,---,---,---
108,Malta,3 2008,69.0,6,"8,7%",---,---,---,---
109,Bhutan,3 2008,47.0,4,"8,5%",12 2007,20,4,"20,0%"
110,Colombia,3 2006,166.0,14,"8,4%",3 2006,102,12,"11,8%"
"""",Democratic Republic of the Congo,7 2006,500.0,42,"8,4%",1 2007,108,5,"4,6%"
111,Samoa,3 2006,49.0,4,"8,2%",---,---,---,---
"""",Somalia,8 2004,256.0,21,"8,2%",---,---,---,---
"""",Ukraine,9 2007,450.0,37,"8,2%",---,---,---,---
112,Madagascar,9 2007,127.0,10,"7,9%",3 2001,90,10,"11,1%"
113,Algeria,5 2007,389.0,30,"7,7%",12 2006,136,4,"2,9%"
"""",Libyan Arab Jamahiriya,3 2006,468.0,36,"7,7%",---,---,---,---
114,Congo,6 2007,137.0,10,"7,3%",10 2005,60,8,"13,3%"
115,Kenya 2,12 2007,207.0,15,"7,2%",---,---,---,---
116,Albania,7 2005,140.0,10,"7,1%",---,---,---,---
117,Nigeria,4 2007,358.0,25,"7,0%",4 2007,109,9,"8,3%"
118,Saint Kitts and Nevis,10 2004,15.0,1,"6,7%",---,---,---,---
119,Mongolia,6 2004,76.0,5,"6,6%",---,---,---,---
120,Jordan,11 2007,110.0,7,"6,4%",11 2007,55,7,"12,7%"
121,Sri Lanka,4 2004,225.0,13,"5,8%",---,---,---,---
122,Chad,4 2002,155.0,8,"5,2%",---,---,---,---
123,Lebanon,5 2005,128.0,6,"4,7%",---,---,---,---
124,Kiribati,8 2007,46.0,2,"4,3%",---,---,---,---
125,Haiti,2 2006,98.0,4,"4,1%",2 2006,30,4,"13,3%"
126,Vanuatu,7 2004,52.0,2,"3,8%",---,---,---,---
127,Tonga,3 2005,30.0,1,"3,3%",---,---,---,---
128,Comoros,4 2004,33.0,1,"3,0%",---,---,---,---
"""",Marshall Islands,11 2007,33.0,1,"3,0%",---,---,---,---
129,Bahrain,11 2006,40.0,1,"2,5%",12 2006,40,10,"25,0%"
130,Egypt,11 2005,442.0,8,"1,8%",6 2007,264,18,"6,8%"
"""",Sao Tome and Principe,3 2006,55.0,1,"1,8%",---,---,---,---
131,Kuwait,6 2006,65.0,1,"1,5%",---,---,---,---
132,Papua New Guinea,6 2007,109.0,1,"0,9%",---,---,---,---
133,Yemen,4 2003,301.0,1,"0,3%",4 2001,111,2,"1,8%"
134,Belize,2 2008,32.0,0,"0,0%",3 2008,12,4,"33,3%"
"""",Micronesia (Federated States of),3 2005,14.0,0,"0,0%",---,---,---,---
"""",Nauru,8 2007,18.0,0,"0,0%",---,---,---,---
"""",Oman,10 2007,84.0,0,"0,0%",11 2007,70,14,"20,0%"
"""",Palau,11 2004,16.0,0,"0,0%",11 2004,9,0,"0,0%"
"""",Qatar,6 2006,35.0,0,"0,0%",---,---,---,---
"""",Saudi Arabia,4 2005,150.0,0,"0,0%",---,---,---,---
"""",Solomon Islands,4 2006,50.0,0,"0,0%",---,---,---,---
"""",Tuvalu,8 2006,15.0,0,"0,0%",---,---,---,---
135,China,3 2008,2987.0,?,?,---,---,---,---
"""",Iran (Islamic Republic of),3 2008,290.0,?,?,---,---,---,---
"""",Malaysia,3 2008,222.0,?,?,3 2004,65,18,"27,7%"
"""",Zimbabwe,3 2008,210.0,?,?,3 2008,93,?,?
?,,,,,,,,,
