Source: Inter-Parliamentary Union Open Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Date: 2023-01-08,,,,,,,,,
Ranking as of 1st December 2020,,,,,,,,,
,,,,,,,,,
Rank,Country,Lower or single House,,,,Upper chamber,,,
,,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,09.2018,80,49,61.3,09.2019,26,10,38.5
2,Cuba,03.2018,605,322,53.2,-,-,-,-
3,United Arab Emirates,10.2019,40,20,50,-,-,-,-
4,New Zealand,10.2020,120,58,48.3,-,-,-,-
5,Mexico,07.2018,500,241,48.2,07.2018,128,63,49.2
6,Nicaragua,11.2016,91,43,47.3,-,-,-,-
7,Sweden,09.2018,349,164,47,-,-,-,-
8,South Africa,05.2019,400,187,46.8,05.2019,53,20,37.7
9,Grenada,03.2018,15,7,46.7,04.2018,13,4,30.8
10,Andorra,04.2019,28,13,46.4,-,-,-,-
11,Bolivia (Plurinational State of),10.2020,130,60,46.2,10.2020,36,20,55.6
12,Finland,04.2019,200,92,46,-,-,-,-
13,Costa Rica,02.2018,57,26,45.6,-,-,-,-
14,Spain,11.2019,350,154,44,11.2019,264,103,39
15,Namibia,11.2019,104,45,43.3,12.2015,42,8,19.1
16,Senegal,07.2017,165,71,43,-,-,-,-
17,Mozambique,10.2019,250,106,42.4,-,-,-,-
18,Switzerland,10.2019,200,83,41.5,10.2019,46,12,26.1
19,Norway,09.2017,169,70,41.4,-,-,-,-
20,Belgium,05.2019,150,62,41.3,07.2019,60,27,45
21,Argentina,10.2019,257,105,40.9,10.2019,72,29,40.3
22,Belarus,11.2019,110,44,40,11.2019,60,15,25
“,Portugal,10.2019,230,92,40,-,-,-,-
24,Denmark,06.2019,179,71,39.7,-,-,-,-
25,France,06.2017,577,228,39.5,09.2020,348,116,33.3
26,Ecuador,02.2017,137,54,39.4,-,-,-,-
27,Austria,09.2019,183,72,39.3,-,61,22,36.1
28,North Macedonia,07.2020,120,47,39.2,-,-,-,-
29,Ethiopia,05.2015,547,212,38.8,10.2015,153,49,32
“,Serbia,06.2020,250,97,38.8,-,-,-,-
31,Timor-Leste,05.2018,65,25,38.5,-,-,-,-
32,Burundi,05.2020,123,47,38.2,07.2020,39,16,41
33,Iceland,10.2017,63,24,38.1,-,-,-,-
34,United Republic of Tanzania,10.2020,384,141,36.7,-,-,-,-
35,Guyana,03.2020,70,25,35.7,-,-,-,-
“,Italy,03.2018,630,225,35.7,03.2018,320,110,34.4
37,Uganda,02.2016,459,160,34.9,-,-,-,-
38,Dominica,12.2019,32,11,34.4,-,-,-,-
39,Cameroon,02.2020,180,61,33.9,03.2018,100,26,26
“,United Kingdom,12.2019,650,220,33.9,-,795,213,26.8
41,El Salvador,03.2018,84,28,33.3,-,-,-,-
“,Monaco,02.2018,24,8,33.3,-,-,-,-
“,Netherlands,03.2017,150,50,33.3,05.2019,75,29,38.7
“,San Marino,12.2019,60,20,33.3,-,-,-,-
45,Nepal,11.2017,275,90,32.7,01.2020,58,22,37.9
46,Uzbekistan,12.2019,150,48,32,01.2020,97,24,24.7
47,Zimbabwe,07.2018,270,86,31.9,07.2018,80,35,43.8
48,Germany,09.2017,709,221,31.2,-,69,25,36.2
49,Croatia,07.2020,151,47,31.1,-,-,-,-
50,Angola,08.2017,220,66,30,-,-,-,-
“,Australia,05.2019,150,45,30,05.2019,76,38,50
“,Latvia,10.2018,100,30,30,-,-,-,-
“,Luxembourg,10.2018,60,18,30,-,-,-,-
54,Albania,06.2017,122,36,29.5,-,-,-,-
“,Singapore,07.2020,95,28,29.5,-,-,-,-
56,Suriname,05.2020,51,15,29.4,-,-,-,-
57,Canada,10.2019,338,98,29,-,96,48,50
58,Estonia,03.2019,101,29,28.7,-,-,-,-
“,Poland,10.2019,460,132,28.7,10.2019,100,24,24
60,Jamaica,09.2020,63,18,28.6,09.2020,21,8,38.1
61,South Sudan,08.2016,383,109,28.5,08.2011,50,6,12
62,Philippines,05.2019,304,85,28,05.2019,24,7,29.2
63,Dominican Republic,07.2020,190,53,27.9,07.2020,32,4,12.5
“,Mali,03.2020,147,41,27.9,-,-,-,-
65,Slovenia,06.2018,90,25,27.8,11.2017,40,4,10
66,Israel,03.2020,120,33,27.5,-,-,-,-
“,Lao People's Democratic Republic,03.2016,149,41,27.5,-,-,-,-
“,United States of America,11.2020,426,117,27.5,11.2020,98,25,25.5
69,Egypt,10.2020,591,162,27.4,08.2020,300,40,13.3
70,Kazakhstan,03.2016,107,29,27.1,08.2020,48,9,18.8
71,Afghanistan,10.2018,248,67,27,01.2015,68,19,27.9
“,Lithuania,10.2020,141,38,27,-,-,-,-
73,Bulgaria,03.2017,240,64,26.7,-,-,-,-
“,Viet Nam,05.2016,494,132,26.7,-,-,-,-
75,Iraq,05.2018,329,87,26.4,-,-,-,-
76,Bosnia and Herzegovina,10.2018,42,11,26.2,02.2019,15,3,20
“,Djibouti,02.2018,65,17,26.2,-,-,-,-
“,Peru,01.2020,130,34,26.2,-,-,-,-
“,Trinidad and Tobago,08.2020,42,11,26.2,08.2020,32,13,40.6
80,Algeria,05.2017,462,119,25.8,12.2018,141,8,5.7
81,Cabo Verde,03.2016,72,18,25,-,-,-,-
“,Saint Kitts and Nevis,06.2020,16,4,25,-,-,-,-
“,Turkmenistan,03.2018,124,31,25,-,-,-,-
84,China,03.2018,2975,742,24.9,-,-,-,-
“,Tunisia,10.2019,217,54,24.9,-,-,-,-
86,Republic of Moldova,02.2019,101,25,24.8,-,-,-,-
87,Somalia,10.2016,275,67,24.4,10.2016,54,13,24.1
88,Seychelles,10.2020,33,8,24.2,-,-,-,-
89,Tajikistan,03.2020,63,15,23.8,03.2020,31,7,22.6
90,Sao Tome and Principe,10.2018,55,13,23.6,-,-,-,-
91,Armenia,12.2018,132,31,23.5,-,-,-,-
92,Lesotho,06.2017,120,28,23.3,07.2017,32,7,21.9
93,Malawi,05.2019,192,44,22.9,-,-,-,-
94,Slovakia,02.2020,150,34,22.7,-,-,-,-
95,Chile,11.2017,155,35,22.6,11.2017,43,10,23.3
96,Czech Republic,10.2017,200,45,22.5,10.2020,81,12,14.8
“,Ireland,02.2020,160,36,22.5,03.2020,60,24,40
“,Panama,05.2019,71,16,22.5,-,-,-,-
99,Montenegro,08.2020,81,18,22.2,-,-,-,-
“,Venezuela (Bolivarian Republic of),12.2015,167,37,22.2,-,-,-,-
101,Romania,12.2016,329,72,21.9,12.2016,136,20,14.7
102,Kenya,08.2017,349,76,21.8,08.2017,68,21,30.9
103,Greece,07.2019,300,65,21.7,-,-,-,-
104,Uruguay,10.2019,99,21,21.2,10.2019,31,9,29
105,Honduras,11.2017,128,27,21.1,-,-,-,-
106,Equatorial Guinea,11.2017,100,21,21,11.2017,72,12,16.7
