Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,9 2008,80,45,56.3%,10 2003,26,9,34.6%
2,Sweden,9 2006,349,164,47.0%,---,---,---,---
3,South Africa 1,4 2009,400,174,43.5%,4 2009,54,16,29.6%
4,Cuba,1 2008,614,265,43.2%,---,---,---,---
5,Iceland,4 2009,63,27,42.9%,---,---,---,---
6,Finland,3 2007,200,83,41.5%,---,---,---,---
7,Netherlands,11 2006,150,62,41.3%,5 2007,75,26,34.7%
8,Argentina,10 2007,255,102,40.0%,10 2007,72,28,38.9%
9,Denmark,11 2007,179,68,38.0%,---,---,---,---
10,Angola,9 2008,220,82,37.3%,---,---,---,---
11,Costa Rica,2 2006,57,21,36.8%,---,---,---,---
12,Spain,3 2008,350,127,36.3%,3 2008,263,79,30.0%
13,Norway,9 2005,169,61,36.1%,---,---,---,---
14,Belgium,6 2007,150,53,35.3%,6 2007,71,27,38.0%
15,Mozambique,12 2004,250,87,34.8%,---,---,---,---
16,New Zealand,11 2008,122,41,33.6%,---,---,---,---
17,Nepal,4 2008,594,197,33.2%,---,---,---,---
18,Germany,9 2005,612,197,32.2%,N.A.,69,15,21.7%
19,Andorra,4 2009,28,9,32.1%,---,---,---,---
20,Belarus,9 2008,110,35,31.8%,7 2008,56,19,33.9%
21,Uganda,2 2006,332,102,30.7%,---,---,---,---
22,Burundi,7 2005,118,36,30.5%,7 2005,49,17,34.7%
23,United Republic of Tanzania,12 2005,319,97,30.4%,---,---,---,---
24,Guyana,8 2006,70,21,30.0%,---,---,---,---
25,Timor-Leste,6 2007,65,19,29.2%,---,---,---,---
26,Switzerland,10 2007,200,57,28.5%,10 2007,46,10,21.7%
27,Portugal,2 2005,230,65,28.3%,---,---,---,---
"""",The F.Y.R. of Macedonia,6 2008,120,34,28.3%,---,---,---,---
28,Austria,9 2008,183,51,27.9%,N.A.,61,15,24.6%
29,Afghanistan,9 2005,242,67,27.7%,9 2005,102,22,21.6%
30,Peru,4 2006,120,33,27.5%,---,---,---,---
31,Namibia,11 2004,78,21,26.9%,11 2004,26,7,26.9%
32,Trinidad and Tobago,11 2007,41,11,26.8%,12 2007,31,13,41.9%
33,Australia,11 2007,150,40,26.7%,11 2007,76,27,35.5%
34,Viet Nam,5 2007,493,127,25.8%,---,---,---,---
35,Kyrgyzstan,12 2007,90,23,25.6%,---,---,---,---
36,Iraq,12 2005,275,70,25.5%,---,---,---,---
"""",Suriname,5 2005,51,13,25.5%,---,---,---,---
37,Lao People's Democratic Republic,4 2006,115,29,25.2%,---,---,---,---
38,Lesotho,2 2007,120,30,25.0%,3 2007,31,9,29.0%
"""",Monaco,2 2008,24,6,25.0%,---,---,---,---
39,Singapore,5 2006,94,23,24.5%,---,---,---,---
40,Liechtenstein,2 2009,25,6,24.0%,---,---,---,---
41,Republic of Moldova,4 2009,101,24,23.8%,---,---,---,---
42,Seychelles,5 2007,34,8,23.5%,---,---,---,---
43,Honduras,11 2005,128,30,23.4%,---,---,---,---
44,Luxembourg,6 2004,60,14,23.3%,---,---,---,---
45,Mexico,7 2006,500,116,23.2%,7 2006,128,23,18.0%
46,Tunisia,10 2004,189,43,22.8%,8 2008,112,17,15.2%
47,Pakistan,2 2008,338,76,22.5%,3 2009,100,17,17.0%
"""",United Arab Emirates,12 2006,40,9,22.5%,---,---,---,---
48,Canada,10 2008,308,68,22.1%,N.A.,93,32,34.4%
"""",Mauritania,11 2006,95,21,22.1%,1 2007,56,9,16.1%
49,Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",Senegal,6 2007,150,33,22.0%,8 2007,100,40,40.0%
50,Ethiopia,5 2005,529,116,21.9%,10 2005,112,21,18.8%
51,Bulgaria,6 2005,240,52,21.7%,---,---,---,---
52,Serbia,5 2008,250,54,21.6%,---,---,---,---
53,China,3 2008,2987,637,21.3%,---,---,---,---
"""",Italy,4 2008,630,134,21.3%,4 2008,322,58,18.0%
54,Croatia,11 2007,153,32,20.9%,---,---,---,---
55,Estonia,3 2007,101,21,20.8%,---,---,---,---
56,Philippines,5 2007,239,49,20.5%,5 2007,23,4,17.4%
57,Poland,10 2007,460,93,20.2%,10 2007,100,8,8.0%
58,Latvia,10 2006,100,20,20.0%,---,---,---,---
59,Dominican Republic,5 2006,178,35,19.7%,5 2006,32,1,3.1%
60,United Kingdom,5 2005,646,126,19.5%,N.A.,746,147,19.7%
61,Slovakia,6 2006,150,29,19.3%,---,---,---,---
62,El Salvador,1 2009,84,16,19.0%,---,---,---,---
63,Dominica,5 2005,32,6,18.8%,---,---,---,---
64,Bangladesh,12 2008,345,64,18.6%,---,---,---,---
"""",Venezuela,12 2005,167,31,18.6%,---,---,---,---
65,Nicaragua,11 2006,92,17,18.5%,---,---,---,---
66,France,6 2007,577,105,18.2%,9 2008,343,75,21.9%
"""",Saint Vincent and the Grenadines,12 2005,22,4,18.2%,---,---,---,---
67,Cape Verde,1 2006,72,13,18.1%,---,---,---,---
"""",Sudan,8 2005,443,80,18.1%,8 2005,50,3,6.0%
68,Lithuania,10 2008,141,25,17.7%,---,---,---,---
69,Israel,2 2009,120,21,17.5%,---,---,---,---
"""",Tajikistan,2 2005,63,11,17.5%,3 2005,34,8,23.5%
