Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
99,Central African Republic,11 1998,109,8,7.3,---,---,---,---
"""",Japan,06 2000,480,35,7.3,07 2001,247,38,15.4
100,Georgia,10 1999,235,17,7.2,---,---,---,---
"""",Uzbekistan,12 1999,250,18,7.2,---,---,---,---
"""",Serbia and Montenegro,09 2000,138,10,7.2,09 2000,40,1,2.5
101,Kenya,12 2002,224,16,7.1,---,---,---,---
102,Belize,08 1998,29,2,6.9,01 2002,8,?,?
103,Algeria,05 2002,389,24,6.2,12 1997,144,8,5.6
104,Samoa,03 2001,49,3,6.1,---,---,---,---
105,Benin,03 1999,83,5,6.0,---,---,---,---
"""",Maldives,11 1999,50,3,6.0,---,---,---,---
106,Nepal,05 1999,205,12,5.9,06 2001,60,?,?
"""",Republic of Korea,04 2000,273,16,5.9,---,---,---,---
107,Chad,04 2002,155,9,5.8,---,---,---,---
108,Albania,06 2001,140,8,5.7,---,---,---,---
"""",Fiji,08 2001,70,4,5.7,08 2001,32,?,?
"""",Mauritius,09 2000,70,4,5.7,---,---,---,---
109,Honduras,11 2001,128,7,5.5,---,---,---,---
110,Antigua and Barbuda,03 1999,19,1,5.3,03 1999,17,2,11.8
"""",Ukraine,03 2002,450,24,5.3,---,---,---,---
111,Equatorial Guinea,03 1999,80,4,5.0,---,---,---,---
112,Kiribati,12 2002,42,2,4.8,---,---,---,---
113,Sri Lanka,12 2001,225,10,4.4,---,---,---,---
"""",Turkey,11 2002,550,24,4.4,---,---,---,---
114,Iran (Islamic Rep. of),02 2000,290,12,4.1,---,---,---,---
115,Madagascar,12 2002,160,6,3.8,03 2001,90,10,11.1
116,Haiti,05 2000,83,3,3.6,05 2000,27,7,25.9
117,Nigeria,02 1999,351,12,3.4,02 1999,108,3,2.8
118,Armenia,05 1999,131,4,3.1,---,---,---,---
"""",Swaziland,10 1998,65,2,3.1,10 1998,30,4,13.3
119,Marshall Islands,11 1999,33,1,3.0,---,---,---,---
120,Paraguay,05 1998,80,2,2.5,05 1998,45,8,17.8
121,Egypt,11 2000,454,11,2.4,---,---,---,---
122,Lebanon,08 2000,128,3,2.3,---,---,---,---
123,Bangladesh,10 2001,300,6,2.0,---,---,---,---
124,Vanuatu,05 2002,52,1,1.9,---,---,---,---
125,Jordan,11 1997,80,1,1.3,11 1997,40,3,7.5
126,Niger,11 1999,83,1,1.2,---,---,---,---
127,Papua New Guinea,06 2002,109,1,0.9,---,---,---,---
128,Yemen,04 1997,299,2,0.7,---,---,---,---
129,Bahrain,10 2002,40,0,0.0,N.A.,40,5,12.5
"""",Kuwait,07 1999,65,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1999,14,0,0.0,---,---,---,---
"""",Nauru,04 2000,18,0,0.0,---,---,---,---
"""",Palau,11 2000,16,0,0.0,11 2000,9,0,0.0
"""",Solomon Islands,12 2001,50,0.0,0.0,---,---,---,---
"""",Tuvalu,07 2002,15,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0,---,---,---,---
?,Cuba,01 2003,609,?,?,---,---,---,---
?,Libyan Arab Jamahiriya,03 1997,760,?,?,---,---,---,---
?,Mauritania,10 2001,81,?,?,04 2000,56,1,1.8
?,Tonga,03 2002,30,?,?,---,---,---,---
