Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2013,80,51,63.8%,9 2011,26,10,38.5%
2,Andorra,4 2011,28,14,50.0%,---,---,---,---
3,Cuba,2 2013,612,299,48.9%,---,---,---,---
4,Sweden,9 2010,349,157,45.0%,---,---,---,---
5,Seychelles,9 2011,32,14,43.8%,---,---,---,---
6,Senegal,7 2012,150,65,43.3%,---,---,---,---
7,Finland,4 2011,200,85,42.5%,---,---,---,---
8,Nicaragua,11 2011,92,39,42.4%,---,---,---,---
9,Ecuador,2 2013,137,57,41.6%,---,---,---,---
10,South Africa 1,5 2014,400,163,40.8%,5 2014,54,19,35.2%
11,Iceland,4 2013,63,25,39.7%,---,---,---,---
"""",Spain,11 2011,350,139,39.7%,11 2011,266,89,33.5%
12,Norway,9 2013,169,67,39.6%,---,---,---,---
13,Belgium,5 2014,150,59,39.3%,7 2014,60,30,50.0%
14,Mozambique,10 2009,250,98,39.2%,---,---,---,---
15,Denmark,9 2011,179,70,39.1%,---,---,---,---
16,Netherlands,9 2012,150,58,38.7%,5 2011,75,27,36.0%
17,Timor-Leste,7 2012,65,25,38.5%,---,---,---,---
18,Mexico,7 2012,500,187,37.4%,7 2012,128,44,34.4%
19,Angola,8 2012,220,81,36.8%,---,---,---,---
20,Argentina,10 2013,257,94,36.6%,10 2013,72,28,38.9%
21,Germany,9 2013,631,230,36.5%,N.A.,69,19,27.5%
22,United Republic of Tanzania,10 2010,350,126,36.0%,---,---,---,---
23,Slovenia,7 2014,90,32,35.6%,11 2012,40,3,7.5%
24,Uganda,2 2011,386,135,35.0%,---,---,---,---
25,Serbia,3 2014,250,85,34.0%,---,---,---,---
26,New Zealand,11 2011,121,41,33.9%,---,---,---,---
27,Costa Rica,2 2014,57,19,33.3%,---,---,---,---
"""",Grenada,2 2013,15,5,33.3%,3 2013,13,2,15.4%
"""",The F.Y.R. of Macedonia,4 2014,123,41,33.3%,---,---,---,---
28,Austria,9 2013,183,59,32.2%,N.A.,62,18,29.0%
29,Algeria,5 2012,462,146,31.6%,12 2012,144,10,6.9%
30,Zimbabwe,7 2013,270,85,31.5%,7 2013,80,38,47.5%
31,Italy,2 2013,630,198,31.4%,2 2013,317,92,29.0%
32,Guyana,11 2011,67,21,31.3%,---,---,---,---
"""",Portugal,6 2011,230,72,31.3%,---,---,---,---
33,Cameroon,9 2013,180,56,31.1%,4 2013,100,20,20.0%
34,Switzerland,10 2011,200,62,31.0%,10 2011,46,9,19.6%
35,Burundi,7 2010,105,32,30.5%,7 2010,41,19,46.3%
36,Nepal,11 2013,575,172,29.9%,---,---,---,---
37,Trinidad and Tobago,5 2010,42,12,28.6%,6 2010,31,6,19.4%
38,Luxembourg,10 2013,60,17,28.3%,---,---,---,---
39,Tunisia,10 2011,217,61,28.1%,---,---,---,---
40,Ethiopia,5 2010,547,152,27.8%,5 2010,135,22,16.3%
41,Afghanistan,9 2010,249,69,27.7%,1 2011,102,28,27.5%
