Source: Inter-Parliamentary Union Open Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Date: 2023-01-08,,,,,,,,,
Ranking as of 1st July 2020,,,,,,,,,
,,,,,,,,,
Rank,Country,Lower or single House,,,,Upper chamber,,,
,,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,09.2018,80,49,61.3,09.2019,26,10,38.5
2,Cuba,03.2018,605,322,53.2,-,-,-,-
3,Bolivia (Plurinational State of),10.2019,130,69,53.1,10.2019,36,17,47.2
4,United Arab Emirates,10.2019,40,20,50,-,-,-,-
5,Mexico,07.2018,500,241,48.2,07.2018,128,63,49.2
6,Nicaragua,11.2016,91,43,47.3,-,-,-,-
7,Sweden,09.2018,349,164,47,-,-,-,-
8,Grenada,03.2018,15,7,46.7,04.2018,13,4,30.8
9,South Africa,05.2019,397,185,46.6,05.2019,53,20,37.7
10,Andorra,04.2019,28,13,46.4,-,-,-,-
11,Finland,04.2019,200,92,46,-,-,-,-
12,Costa Rica,02.2018,57,26,45.6,-,-,-,-
13,Spain,11.2019,350,154,44,11.2019,264,103,39
14,Namibia,11.2019,104,45,43.3,12.2015,42,8,19.1
15,Senegal,07.2017,165,71,43,-,-,-,-
16,Switzerland,10.2019,200,83,41.5,10.2019,46,12,26.1
17,Norway,09.2017,169,70,41.4,-,-,-,-
18,Mozambique,10.2019,250,103,41.2,-,-,-,-
19,Argentina,10.2019,257,105,40.9,10.2019,72,29,40.3
20,New Zealand,09.2017,120,49,40.8,-,-,-,-
21,Belgium,05.2019,150,61,40.7,07.2019,60,27,45
22,Belarus,11.2019,110,44,40,11.2019,60,15,25
“,North Macedonia,12.2016,120,48,40,-,-,-,-
“,Portugal,10.2019,230,92,40,-,-,-,-
25,Denmark,06.2019,179,71,39.7,-,-,-,-
26,France,06.2017,577,228,39.5,09.2017,348,116,33.3
27,Ecuador,02.2017,137,54,39.4,-,-,-,-
