Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2008,80,45,56.30%,9 2011,26,10,38.50%
2,Andorra,4 2011,28,15,53.60%,---,---,---,---
3,Seychelles,9 2011,31,14,45.20%,---,---,---,---
4,Sweden,9 2010,349,157,45.00%,---,---,---,---
5,South Africa 1,4 2009,400,178,44.50%,4 2009,54,16,29.60%
6,Cuba,1 2008,586,253,43.20%,---,---,---,---
7,Iceland,4 2009,63,27,42.90%,---,---,---,---
8,Finland,4 2011,200,85,42.50%,---,---,---,---
9,Norway,9 2009,169,67,39.60%,---,---,---,---
10,Belgium,6 2010,150,59,39.30%,6 2010,71,26,36.60%
"""",Netherlands,6 2010,150,59,39.30%,5 2011,75,27,36.00%
11,Mozambique,10 2009,250,98,39.20%,---,---,---,---
12,Denmark,9 2011,179,70,39.10%,---,---,---,---
13,Angola,9 2008,220,85,38.60%,---,---,---,---
"""",Costa Rica,2 2010,57,22,38.60%,---,---,---,---
14,Spain,3 2008,350,128,36.60%,3 2008,263,85,32.30%
15,United Republic of Tanzania,10 2010,350,126,36.00%,---,---,---,---
16,Uganda,2 2011,375,131,34.90%,---,---,---,---
17,New Zealand,11 2008,122,41,33.60%,---,---,---,---
18,Nepal,4 2008,594,197,33.20%,---,---,---,---
19,Germany,9 2009,622,204,32.80%,N.A.,69,15,21.70%
20,Ecuador,4 2009,124,40,32.30%,---,---,---,---
21,Burundi,7 2010,106,34,32.10%,7 2010,41,19,46.30%
22,Belarus,9 2008,110,35,31.80%,7 2008,58,19,32.80%
23,The F.Y.R. of Macedonia,6 2011,123,38,30.90%,---,---,---,---
24,Guyana,8 2006,70,21,30.00%,---,---,---,---
25,Switzerland,10 2011,200,59,29.50%,10 2011,31,4,12.90%
26,Timor-Leste,6 2007,65,19,29.20%,---,---,---,---
27,Trinidad and Tobago,5 2010,42,12,28.60%,6 2010,31,8,25.80%
28,Austria,9 2008,183,51,27.90%,N.A.,61,18,29.50%
29,Ethiopia,5 2010,547,152,27.80%,5 2010,135,22,16.30%
30,Afghanistan,9 2010,249,69,27.70%,1 2011,102,28,27.50%
31,Portugal,6 2011,230,61,26.50%,---,---,---,---
"""",South Soudan,8 2011,332,88,26.50%,8 2011,50,5,10.00%
32,Mexico,7 2009,500,131,26.20%,7 2006,128,29,22.70%
33,Monaco,2 2008,23,6,26.10%,---,---,---,---
34,Bolivia,12 2009,130,33,25.40%,12 2009,36,17,47.20%
35,Iraq,3 2010,325,82,25.20%,---,---,---,---
36,Sudan,4 2010,346,87,25.10%,5 2010,28,5,17.90%
37,Lao People's Democratic Republic,4 2011,132,33,25.00%,---,---,---,---
38,Australia,8 2010,150,37,24.70%,8 2010,76,27,35.50%
"""",Canada,5 2011,308,76,24.70%,N.A.,103,37,35.90%
39,Namibia,11 2009,78,19,24.40%,11 2010,26,7,26.90%
"""",Viet Nam,5 2011,500,122,24.40%,---,---,---,---
40,Lesotho,2 2007,120,29,24.20%,3 2007,33,6,18.20%
41,Liechtenstein,2 2009,25,6,24.00%,---,---,---,---
"""",Poland,10 2011,458,110,24.00%,10 2011,100,13,13.00%
42,Croatia,11 2007,153,36,23.50%,---,---,---,---
43,Kyrgyzstan,10 2010,120,28,23.30%,---,---,---,---
44,Senegal,6 2007,150,34,22.70%,8 2007,100,40,40.00%
45,Pakistan,2 2008,342,76,22.20%,3 2009,100,17,17.00%
"""",Singapore,5 2011,90,20,22.20%,---,---,---,---
46,Mauritania,11 2006,95,21,22.10%,11 2009,56,8,14.30%
"""",Philippines,5 2010,280,62,22.10%,5 2010,23,3,13.00%
47,Czech Republic,5 2010,200,44,22.00%,10 2010,81,15,18.50%
"""",Eritrea,2 1994,150,33,22.00%,---,---,---,---
"""",United Kingdom,5 2010,650,143,22.00%,N.A.,733,147,20.10%
"""",Uzbekistan,12 2009,150,33,22.00%,1 2010,100,15,15.00%
48,Serbia,5 2008,250,54,21.60%,---,---,---,---
49,Peru,4 2011,130,28,21.50%,---,---,---,---
50,China,3 2008,2987,637,21.30%,---,---,---,---
"""",Italy,4 2008,630,134,21.30%,4 2008,321,59,18.40%
51,Cambodia,7 2008,123,26,21.10%,1 2006,61,9,14.80%
52,Latvia,9 2011,100,21,21.00%,---,---,---,---
53,Bulgaria,7 2009,240,50,20.80%,---,---,---,---
"""",Cape Verde,2 2011,72,15,20.80%,---,---,---,---
"""",Dominican Republic,5 2010,183,38,20.80%,5 2010,32,3,9.40%
"""",Malawi,5 2009,192,40,20.80%,---,---,---,---
