Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,9 2008,80,45,56.30%,10 2003,26,9,34.60%
2,Sweden,9 2006,349,164,47.00%,---,---,---,---
3,Cuba,1 2008,614,265,43.20%,---,---,---,---
4,Finland,3 2007,200,83,41.50%,---,---,---,---
5,Argentina,10 2007,255,102,40.00%,10 2007,72,28,38.90%
6,Netherlands,11 2006,150,59,39.30%,5 2007,75,26,34.70%
7,Denmark,11 2007,179,68,38.00%,---,---,---,---
8,Angola,9 2008,220,82,37.30%,---,---,---,---
9,Costa Rica,2 2006,57,21,36.80%,---,---,---,---
10,Spain,3 2008,350,127,36.30%,3 2008,263,79,30.00%
11,Norway,9 2005,169,61,36.10%,---,---,---,---
12,Belgium,6 2007,150,53,35.30%,6 2007,71,27,38.00%
13,Mozambique,12 2004,250,87,34.80%,---,---,---,---
14,Iceland,5 2007,63,21,33.30%,---,---,---,---
15,Nepal,4 2008,594,197,33.20%,---,---,---,---
16,New Zealand,9 2005,121,40,33.10%,---,---,---,---
17,South Africa 1,4 2004,400,132,33.00%,4 2004,54,22,40.70%
18,Belarus,9 2008,110,35,31.80%,10 2008,56,19,33.90%
19,The F.Y.R. of Macedonia,6 2008,120,38,31.70%,---,---,---,---
20,Germany,9 2005,613,194,31.60%,N.A.,69,15,21.70%
21,Uganda,2 2006,332,102,30.70%,---,---,---,---
22,Burundi,7 2005,118,36,30.50%,7 2005,49,17,34.70%
23,United Republic of Tanzania,12 2005,319,97,30.40%,---,---,---,---
24,Peru,4 2006,120,35,29.20%,---,---,---,---
"""",Timor-Leste,6 2007,65,19,29.20%,---,---,---,---
25,Guyana,8 2006,69,20,29.00%,---,---,---,---
26,Switzerland,10 2007,200,57,28.50%,10 2007,46,10,21.70%
27,Portugal,2 2005,230,65,28.30%,---,---,---,---
28,Afghanistan,9 2005,242,67,27.70%,9 2005,102,22,21.60%
29,Austria,9 2008,183,50,27.30%,N.A.,61,15,24.60%
30,Namibia,11 2004,78,21,26.90%,11 2004,26,7,26.90%
31,Trinidad and Tobago,11 2007,41,11,26.80%,12 2007,31,13,41.90%
32,Australia,11 2007,150,40,26.70%,11 2007,76,27,35.50%
33,Viet Nam,5 2007,493,127,25.80%,---,---,---,---
34,Kyrgyzstan,12 2007,90,23,25.60%,---,---,---,---
35,Iraq,12 2005,275,70,25.50%,---,---,---,---
"""",Suriname,5 2005,51,13,25.50%,---,---,---,---
36,Lao People's Democratic Republic,4 2006,115,29,25.20%,---,---,---,---
37,Andorra,4 2005,28,7,25.00%,---,---,---,---
"""",Ecuador,10 2006,100,25,25.00%,---,---,---,---
"""",Lesotho,2 2007,120,30,25.00%,3 2007,31,9,29.00%
"""",Monaco,2 2008,24,6,25.00%,---,---,---,---
38,Singapore,5 2006,94,23,24.50%,---,---,---,---
39,Liechtenstein,3 2005,25,6,24.00%,---,---,---,---
40,Seychelles,5 2007,34,8,23.50%,---,---,---,---
41,Honduras,11 2005,128,30,23.40%,---,---,---,---
42,Luxembourg,6 2004,60,14,23.30%,---,---,---,---
43,Mexico,7 2006,500,116,23.20%,7 2006,128,23,18.00%
44,Tunisia,10 2004,189,43,22.80%,8 2008,112,17,15.20%
45,Pakistan,2 2008,338,76,22.50%,3 2006,100,17,17.00%
"""",United Arab Emirates,12 2006,40,9,22.50%,---,---,---,---
46,Canada,10 2008,308,68,22.10%,N.A.,93,32,34.40%
"""",Mauritania,11 2006,95,21,22.10%,1 2007,56,9,16.10%
47,Eritrea,2 1994,150,33,22.00%,---,---,---,---
"""",Senegal,6 2007,150,33,22.00%,8 2007,100,40,40.00%
48,Ethiopia,5 2005,529,116,21.90%,10 2005,112,21,18.80%
49,Republic of Moldova,3 2005,101,22,21.80%,---,---,---,---
50,Bulgaria,6 2005,240,52,21.70%,---,---,---,---
51,Serbia,5 2008,250,54,21.60%,---,---,---,---
52,China,3 2008,2987,637,21.30%,---,---,---,---
"""",Italy,4 2008,630,134,21.30%,4 2008,322,58,18.00%
53,Croatia,11 2007,153,32,20.90%,---,---,---,---
54,Estonia,3 2007,101,21,20.80%,---,---,---,---
55,Philippines,5 2007,239,49,20.50%,5 2007,23,4,17.40%
56,Poland,10 2007,460,93,20.20%,10 2007,100,8,8.00%
57,Democratic People's Republic of Korea,8 2003,687,138,20.10%,---,---,---,---
58,Latvia,10 2006,100,20,20.00%,---,---,---,---
59,Dominican Republic,5 2006,178,35,19.70%,5 2006,32,1,3.10%
60,United Kingdom,5 2005,646,126,19.50%,N.A.,746,147,19.70%
61,Dominica,5 2005,31,6,19.40%,---,---,---,---
62,Guinea,6 2002,114,22,19.30%,---,---,---,---
"""",Slovakia,6 2006,150,29,19.30%,---,---,---,---
63,Venezuela,12 2005,167,31,18.60%,---,---,---,---
64,Nicaragua,11 2006,92,17,18.50%,---,---,---,---
65,France,6 2007,577,105,18.20%,9 2008,343,75,21.90%
"""",Saint Vincent and the Grenadines,12 2005,22,4,18.20%,---,---,---,---
66,Cape Verde,1 2006,72,13,18.10%,---,---,---,---
"""",Sudan,8 2005,443,80,18.10%,8 2005,50,3,6.00%
67,Lithuania,10 2008,141,25,17.70%,---,---,---,---
