Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,10 2003,80,39,48.8%,9 2003,26,9,34.6%
2,Sweden,9 2006,349,164,47.0%,---,---,---,---
3,Finland,3 2007,200,83,41.5%,---,---,---,---
4,Argentina,10 2007,255,102,40.0%,10 2007,72,28,38.9%
5,Netherlands,11 2006,150,59,39.3%,5 2007,75,26,34.7%
6,Denmark,11 2007,179,68,38.0%,---,---,---,---
7,Costa Rica,2 2006,57,21,36.8%,---,---,---,---
8,Spain,3 2004,350,128,36.6%,3 2004,259,60,23.2%
9,Norway,9 2005,169,61,36.1%,---,---,---,---
10,Cuba,1 2003,609,219,36.0%,---,---,---,---
11,Belgium,6 2007,150,53,35.3%,6 2007,71,27,38.0%
12,Mozambique,12 2004,250,87,34.8%,---,---,---,---
13,Iceland,5 2007,63,21,33.3%,---,---,---,---
14,New Zealand,9 2005,121,40,33.1%,---,---,---,---
15,South Africa 1,4 2004,400,132,33.0%,4 2004,54,22,40.7%
16,Austria,10 2006,183,60,32.8%,,61,15,24.6%
17,Germany,9 2005,613,194,31.6%,,69,15,21.7%
18,Uganda,2 2006,332,102,30.7%,---,---,---,---
19,Burundi,7 2005,118,36,30.5%,7 2005,49,17,34.7%
20,United Republic of Tanzania,12 2005,319,97,30.4%,---,---,---,---
21,Peru,4 2006,120,35,29.2%,---,---,---,---
"""",The F.Y.R. of Macedonia,7 2006,120,35,29.2%,---,---,---,---
"""",Timor-Leste,6 2007,65,19,29.2%,---,---,---,---
22,Belarus,10 2004,110,32,29.1%,11 2004,58,18,31.0%
23,Guyana,8 2006,69,20,29.0%,---,---,---,---
24,Andorra,4 2005,28,8,28.6%,---,---,---,---
25,Switzerland,10 2007,200,57,28.5%,10 2007,46,10,21.7%
26,Portugal,2 2005,230,65,28.3%,---,---,---,---
27,Afghanistan,9 2005,242,67,27.7%,9 2005,102,22,21.6%
28,Namibia,11 2004,78,21,26.9%,11 2004,26,7,26.9%
29,Trinidad and Tobago,11 2007,41,11,26.8%,12 2007,31,13,41.9%
30,Australia,11 2007,150,40,26.7%,11 2007,76,27,35.5%
"""",Grenada,11 2003,15,4,26.7%,11 2003,13,4,30.8%
31,Viet Nam,5 2007,493,127,25.8%,---,---,---,---
32,Kyrgyzstan,12 2007,90,23,25.6%,---,---,---,---
33,Iraq,12 2005,275,70,25.5%,---,---,---,---
"""",Suriname,5 2005,51,13,25.5%,---,---,---,---
34,Lao People's Democratic Republic,4 2006,115,29,25.2%,---,---,---,---
35,Ecuador,10 2006,100,25,25.0%,---,---,---,---
36,Singapore,5 2006,94,23,24.5%,---,---,---,---
37,Liechtenstein,3 2005,25,6,24.0%,---,---,---,---
38,Lesotho,2 2007,119,28,23.5%,3 2007,31,9,29.0%
"""",Seychelles,5 2007,34,8,23.5%,---,---,---,---
39,Honduras,11 2005,128,30,23.4%,---,---,---,---
40,Luxembourg,6 2004,60,14,23.3%,---,---,---,---
41,Mexico,7 2006,500,116,23.2%,7 2006,128,23,18.0%
42,Tunisia,10 2004,189,43,22.8%,7 2005,111,17,15.3%
43,Lithuania,10 2004,141,32,22.7%,---,---,---,---
44,United Arab Emirates,12 2006,40,9,22.5%,---,---,---,---
45,Mauritania,11 2006,95,21,22.1%,1 2007,56,9,16.1%
46,Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",Senegal,6 2007,150,33,22.0%,8 2007,100,40,40.0%
47,Ethiopia,5 2005,529,116,21.9%,10 2005,112,21,18.8%
48,Republic of Moldova,3 2005,101,22,21.8%,---,---,---,---
49,Bulgaria,6 2005,240,52,21.7%,---,---,---,---
50,Canada,1 2006,305,65,21.3%,,93,32,34.4%
51,Pakistan,10 2002,342,72,21.1%,3 2006,100,17,17.0%
52,Croatia,11 2007,153,32,20.9%,---,---,---,---
53,Estonia,3 2007,101,21,20.8%,---,---,---,---
"""",Monaco,2 2003,24,5,20.8%,---,---,---,---
54,China,2 2003,2963,611,20.6%,---,---,---,---
55,Philippines,5 2007,239,49,20.5%,5 2007,23,4,17.4%
56,Poland,10 2007,460,94,20.4%,10 2007,100,8,8.0%
"""",Serbia,1 2007,250,51,20.4%,---,---,---,---
57,Democratic People's Republic of Korea,8 2003,687,138,20.1%,---,---,---,---
58,Latvia,10 2006,100,20,20.0%,---,---,---,---
59,Dominican Republic,5 2006,178,35,19.7%,5 2006,32,1,3.1%
60,Cambodia,7 2003,123,24,19.5%,1 2006,61,9,14.8%
"""",United Kingdom,5 2005,646,126,19.5%,,750,148,19.7%
61,Guinea,6 2002,114,22,19.3%,---,---,---,---
"""",Slovakia,6 2006,150,29,19.3%,---,---,---,---
62,Venezuela,12 2005,167,31,18.6%,---,---,---,---
63,Nicaragua,11 2006,92,17,18.5%,---,---,---,---
64,France,6 2007,577,105,18.2%,9 2004,330,60,18.2%
"""",Saint Vincent and the Grenadines,12 2005,22,4,18.2%,---,---,---,---
65,Cape Verde,1 2006,72,13,18.1%,---,---,---,---
"""",Sudan,8 2005,443,80,18.1%,8 2005,50,3,6.0%
66,Equatorial Guinea,4 2004,100,18,18.0%,---,---,---,---
67,Tajikistan,2 2005,63,11,17.5%,3 2005,34,8,23.5%
"""",Uzbekistan,12 2004,120,21,17.5%,1 2005,100,15,15.0%
68,Italy,4 2006,630,109,17.3%,4 2006,322,45,14.0%
"""",Nepal,1 2007,329,57,17.3%,---,---,---,---
69,Mauritius,7 2005,70,12,17.1%,---,---,---,---
70,Bolivia,12 2005,130,22,16.9%,12 2005,27,1,3.7%
71,United States of America,11 2006,435,73,16.8%,11 2006,100,16,16.0%
72,El Salvador,3 2006,84,14,16.7%,---,---,---,---
"""",Gabon,12 2001,120,20,16.7%,2 2003,91,14,15.4%
"""",Panama,5 2004,78,13,16.7%,---,---,---,---
73,Dominica,5 2005,31,5,16.1%,---,---,---,---
74,Turkmenistan,12 2004,50,8,16.0%,---,---,---,---
"""",Zimbabwe,3 2005,150,24,16.0%,11 2005,66,24,36.4%
75,Kazakhstan,8 2007,107,17,15.9%,8 2005,47,2,4.3%
76,Czech Republic,6 2006,200,31,15.5%,10 2006,81,11,13.6%
77,Burkina Faso,5 2007,111,17,15.3%,---,---,---,---
78,Zambia,9 2006,158,24,15.2%,---,---,---,---
79,Angola,9 1992,220,33,15.0%,---,---,---,---
"""",Chile,12 2005,120,18,15.0%,12 2005,38,2,5.3%
80,Greece,9 2007,300,44,14.7%,---,---,---,---
81,Republic of Korea,4 2004,299,43,14.4%,---,---,---,---
82,Cyprus,5 2006,56,8,14.3%,---,---,---,---
83,Israel,3 2006,120,17,14.2%,---,---,---,---
84,Guinea-Bissau,3 2004,100,14,14.0%,---,---,---,---
"""",Russian Federation,12 2007,450,63,14.0%,,169,8,4.7%
85,Cameroon,7 2007,180,25,13.9%,---,---,---,---
86,Djibouti,1 2003,65,9,13.8%,---,---,---,---
87,Barbados,5 2003,30,4,13.3%,5 2003,21,5,23.8%
"""",Ireland,5 2007,166,22,13.3%,7 2007,60,13,21.7%
"""",Jamaica,9 2007,60,8,13.3%,9 2007,21,3,14.3%
88,Sierra Leone,8 2007,121,16,13.2%,---,---,---,---
89,Malawi,5 2004,193,25,13.0%,---,---,---,---
90,Liberia,10 2005,64,8,12.5%,10 2005,30,5,16.7%
91,Niger,12 2004,113,14,12.4%,---,---,---,---
92,Bahamas,5 2007,41,5,12.2%,5 2007,15,9,60.0%
"""",Slovenia,10 2004,90,11,12.2%,12 2002,40,1,2.5%
93,Uruguay,10 2004,99,12,12.1%,10 2004,31,4,12.9%
94,Guatemala,9 2007,158,19,12.0%,---,---,---,---
"""",Maldives,1 2005,50,6,12.0%,---,---,---,---
"""",Syrian Arab Republic,4 2007,250,30,12.0%,---,---,---,---
95,Bosnia and Herzegovina,10 2006,42,5,11.9%,3 2007,15,2,13.3%
96,San Marino,6 2006,60,7,11.7%,---,---,---,---
"""",Thailand,12 2007,477,56,11.7%,,242,21,8.7%
97,Indonesia,4 2004,550,64,11.6%,---,---,---,---
98,Azerbaijan,11 2005,123,14,11.4%,---,---,---,---
99,Botswana,10 2004,63,7,11.1%,---,---,---,---
"""",Hungary,4 2006,386,43,11.1%,---,---,---,---
"""",Montenegro,9 2006,81,9,11.1%,---,---,---,---
"""",Saint Lucia,12 2006,18,2,11.1%,1 2007,11,3,27.3%
"""",Togo,10 2007,81,9,11.1%,---,---,---,---
100,Ghana,12 2004,230,25,10.9%,---,---,---,---
101,Benin,3 2003,83,9,10.8%,---,---,---,---
"""",Swaziland,10 2003,65,7,10.8%,10 2003,30,11,36.7%
102,Antigua and Barbuda,3 2004,19,2,10.5%,3 2004,17,4,23.5%
"""",Central African Republic,3 2005,105,11,10.5%,---,---,---,---
"""",Morocco,9 2007,325,34,10.5%,9 2006,270,3,1.1%
103,Mali,7 2007,147,15,10.2%,---,---,---,---
104,Malaysia,3 2004,219,22,10.0%,3 2004,65,18,27.7%
"""",Paraguay,4 2003,80,8,10.0%,4 2003,45,6,13.3%
105,Gambia,1 2002,53,5,9.4%,---,---,---,---
"""",Georgia,3 2004,235,22,9.4%,---,---,---,---
"""",Japan,9 2005,480,45,9.4%,7 2007,242,44,18.2%
"""",Romania,11 2004,330,31,9.4%,11 2004,137,14,10.2%
106,Armenia,5 2007,131,12,9.2%,---,---,---,---
"""",Malta,4 2003,65,6,9.2%,---,---,---,---
107,India,4 2004,541,49,9.1%,7 2006,243,24,9.9%
"""",Turkey,7 2007,549,50,9.1%,---,---,---,---
108,Brazil,10 2006,513,46,9.0%,10 2006,81,10,12.3%
109,Cote d'Ivoire,12 2000,203,18,8.9%,---,---,---,---
110,Colombia,3 2006,166,14,8.4%,3 2006,102,12,11.8%
"""",Democratic Republic of the Congo,7 2006,500,42,8.4%,1 2007,108,5,4.6%
111,Samoa,3 2006,49,4,8.2%,---,---,---,---
"""",Somalia,8 2004,256,21,8.2%,---,---,---,---
"""",Ukraine,9 2007,450,37,8.2%,---,---,---,---
112,Madagascar,9 2007,127,10,7.9%,3 2001,90,10,11.1%
113,Algeria,5 2007,389,30,7.7%,12 2006,136,4,2.9%
"""",Libyan Arab Jamahiriya,3 2006,468,36,7.7%,---,---,---,---
114,Congo,6 2007,137,10,7.3%,10 2005,60,8,13.3%
115,Kenya 2,12 2007,207,15,7.2%,---,---,---,---
116,Albania,7 2005,140,10,7.1%,---,---,---,---
117,Nigeria,4 2007,358,25,7.0%,4 2007,109,9,8.3%
118,Saint Kitts and Nevis,10 2004,15,1,6.7%,---,---,---,---
119,Mongolia,6 2004,76,5,6.6%,---,---,---,---
120,Jordan,11 2007,110,7,6.4%,11 2007,55,7,12.7%
121,Sri Lanka,4 2004,225,13,5.8%,---,---,---,---
