Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,09 2003,80,39,48.8,09 2003,26,9,34.6
2,Sweden,09 2002,349,158,45.3,---,---,---,---
3,Norway,09 2001,165,63,38.2,---,---,---,---
4,Finland,03 2003,200,75,37.5,---,---,---,---
5,Denmark,02 2005,179,66,36.9,---,---,---,---
6,Netherlands,01 2003,150,55,36.7,06 2003,75,22,29.3
7,Cuba,01 2003,609,219,36.0,---,---,---,---
"""",Spain,03 2004,350,126,36.0,03 2004,259,60,23.2
8,Costa Rica,02 2002,57,20,35.1,---,---,---,---
9,Mozambique,12 2004,250,87,34.8,---,---,---,---
10,Belgium,05 2003,150,52,34.7,05 2003,71,27,38.0
11,Austria,11 2002,183,62,33.9,N.A.,62,17,27.4
12,Argentina,10 2001,255,86,33.7,10 2001,72,24,33.3
13,South Africa (1),04 2004,400,131,32.8,04 2004,54,18,33.3
"""",Germany,09 2002,601,197,32.8,N.A.,69,13,18.8
14,Iraq,01 2005,273,86,31.5,---,---,---,---
15,Guyana,03 2001,65,20,30.8,---,---,---,---
16,Iceland,05 2003,63,19,30.2,---,---,---,---
17,Belarus,10 2004,109,32,29.4,11 2004,57,18,31.6
"""",Seychelles,12 2002,34,10,29.4,---,---,---,---
18,Andorra,04 2005,28,8,28.6,---,---,---,---
19,New Zealand,07 2002,120,34,28.3,---,---,---,---
20,Viet Nam,05 2002,498,136,27.3,---,---,---,---
21,Namibia,11 2004,78,21,26.9,11 2004,26,7,26.9
22,Grenada,11 2003,15,4,26.7,11 2003,13,5,38.5
23,Bulgaria,06 2001,240,63,26.3,---,---,---,---
24,Timor-Leste (2),08 2001,87,22,25.3,---,---,---,---
25,Switzerland,10 2003,200,50,25.0,10 2003,46,11,23.9
26,Australia (4),10 2004,150,37,24.7,10 2004,76,27,35.5
27,Mexico,07 2003,500,121,24.2,07 2000,128,28,21.9
28,Liechtenstein,03 2005,25,6,24.0,---,---,---,---
29,Uganda,06 2001,305,73,23.9,---,---,---,---
30,Luxembourg,06 2004,60,14,23.3,---,---,---,---
31,Lao People's Democratic Rep.,02 2002,109,25,22.9,---,---,---,---
32,Tunisia,10 2004,189,43,22.8,---,---,---,---
33,Saint Vincent & the Grenadines,03 2001,22,5,22.7,---,---,---,---
34,Eritrea,02 1994,150,33,22.0,---,---,---,---
"""",Lithuania,10 2004,141,31,22.0,---,---,---,---
35,Croatia,11 2003,152,33,21.7,---,---,---,---
36,United Rep. of Tanzania,10 2000,295,63,21.4,---,---,---,---
37,Pakistan,10 2002,342,73,21.3,03 2003,100,18,18.0
"""",Portugal,02 2005,230,49,21.3,---,---,---,---
38,Canada,06 2004,308,65,21.1,N.A.,89,33,37.1
39,Latvia,10 2002,100,21,21.0,---,---,---,---
40,Monaco,02 2003,24,5,20.8,---,---,---,---
41,Nicaragua,11 2001,92,19,20.7,---,---,---,---
42,China,02 2003,2985,604,20.2,---,---,---,---
"""",Poland,09 2001,460,93,20.2,09 2001,100,23,23.0
43,Dem. People's Rep. of Korea,08 2003,687,138,20.1,---,---,---,---
44,Bahamas,05 2002,40,8,20.0,05 2002,16,7,43.8
45,United Kingdom,05 2005,646,127,19.7,N.A.,707,126,17.8
46,Suriname,05 2005,51,10,19.6,---,---,---,---
47,Trinidad and Tobago,10 2002,36,7,19.4,10 2002,31,10,32.3
48,Guinea,06 2002,114,22,19.3,---,---,---,---
49,Bolivia,06 2002,130,25,19.2,06 2002,27,3,11.1
"""",The F.Y.R. of Macedonia,09 2002,120,23,19.2,---,---,---,---
"""",Senegal,04 2001,120,23,19.2,---,---,---,---
50,Estonia,03 2003,101,19,18.8,---,---,---,---
51,Burundi,06 1993,179,33,18.4,01 2002,53,10,18.9
52,Peru,04 2001,120,22,18.3,---,---,---,---
53,Equatorial Guinea,04 2004,100,18,18.0,---,---,---,---
54,Uzbekistan,12 2004,120,21,17.5,01 2005,100,15,15.0
"""",Tajikistan,02 2005,63,11,17.5,03 2005,34,8,23.5
55,Dominican Republic,05 2002,150,26,17.3,05 2002,32,2,6.3
56,Czech Republic,06 2002,200,34,17.0,10 2004,81,10,12.3
57,Bosnia and Herzegovina,10 2002,42,7,16.7,N.A.,15,0,0.0
"""",Panama,05 2004,78,13,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
"""",Slovakia,09 2002,150,25,16.7,---,---,---,---
"""",Zimbabwe,03 2005,150,25,16.7,---,---,---,---
58,Cyprus,05 2001,56,9,16.1,---,---,---,---
59,Ecuador,10 2002,100,16,16.0,---,---,---,---
"""",Singapore,11 2001,94,15,16.0,---,---,---,---
