Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,9 2008,80,45,56.3%,10 2003,26,9,34.6%
2,Sweden,9 2006,349,164,47.0%,---,---,---,---
3,South Africa 1,4 2009,400,178,44.5%,4 2009,54,16,29.6%
4,Cuba,1 2008,614,265,43.2%,---,---,---,---
5,Iceland,4 2009,63,27,42.9%,---,---,---,---
6,Argentina,6 2009,257,107,41.6%,6 2009,72,27,37.5%
7,Finland,3 2007,200,83,41.5%,---,---,---,---
8,Netherlands,11 2006,150,62,41.3%,5 2007,75,26,34.7%
9,Denmark,11 2007,179,68,38.0%,---,---,---,---
10,Angola,9 2008,220,82,37.3%,---,---,---,---
11,Costa Rica,2 2006,57,21,36.8%,---,---,---,---
12,Spain,3 2008,350,127,36.3%,3 2008,263,79,30.0%
13,Norway,9 2005,169,61,36.1%,---,---,---,---
14,Andorra,4 2009,28,10,35.7%,---,---,---,---
15,Belgium,6 2007,150,53,35.3%,6 2007,71,27,38.0%
16,Mozambique,12 2004,250,87,34.8%,---,---,---,---
17,New Zealand,11 2008,122,41,33.6%,---,---,---,---
18,Nepal,4 2008,594,197,33.2%,---,---,---,---
19,Ecuador,4 2009,124,40,32.3%,---,---,---,---
20,Germany,9 2005,612,197,32.2%,N.A.,69,15,21.7%
21,Belarus,9 2008,110,35,31.8%,7 2008,56,19,33.9%
22,Uganda,2 2006,332,102,30.7%,---,---,---,---
23,Burundi,7 2005,118,36,30.5%,7 2005,49,17,34.7%
24,United Republic of Tanzania,12 2005,319,97,30.4%,---,---,---,---
25,Guyana,8 2006,70,21,30.0%,---,---,---,---
26,Timor-Leste,6 2007,65,19,29.2%,---,---,---,---
27,Switzerland,10 2007,200,57,28.5%,10 2007,46,10,21.7%
28,Portugal,2 2005,230,65,28.3%,---,---,---,---
"""",The F.Y.R. of Macedonia,6 2008,120,34,28.3%,---,---,---,---
29,Mexico,7 2009,500,141,28.2%,7 2006,128,23,18.0%
30,Austria,9 2008,183,51,27.9%,N.A.,61,15,24.6%
31,Afghanistan,9 2005,242,67,27.7%,9 2005,102,22,21.6%
32,Peru,4 2006,120,33,27.5%,---,---,---,---
33,Namibia,11 2004,78,21,26.9%,11 2004,26,7,26.9%
34,Trinidad and Tobago,11 2007,41,11,26.8%,12 2007,31,13,41.9%
35,Australia,11 2007,150,40,26.7%,11 2007,76,27,35.5%
36,Viet Nam,5 2007,493,127,25.8%,---,---,---,---
37,Republic of Moldova,7 2009,101,26,25.7%,---,---,---,---
38,Kyrgyzstan,12 2007,90,23,25.6%,---,---,---,---
39,Iraq,12 2005,275,70,25.5%,---,---,---,---
"""",Suriname,5 2005,51,13,25.5%,---,---,---,---
40,Lao People's Democratic Republic,4 2006,115,29,25.2%,---,---,---,---
41,Lesotho,2 2007,120,30,25.0%,3 2007,31,9,29.0%
"""",Monaco,2 2008,24,6,25.0%,---,---,---,---
42,Singapore,5 2006,94,23,24.5%,---,---,---,---
43,Liechtenstein,2 2009,25,6,24.0%,---,---,---,---
44,Seychelles,5 2007,34,8,23.5%,---,---,---,---
45,Honduras,11 2005,128,30,23.4%,---,---,---,---
46,Tunisia,10 2004,189,43,22.8%,8 2008,112,17,15.2%
47,Pakistan,2 2008,338,76,22.5%,3 2009,100,17,17.0%
"""",United Arab Emirates,12 2006,40,9,22.5%,---,---,---,---
48,Canada,10 2008,308,68,22.1%,N.A.,93,32,34.4%
"""",Mauritania,11 2006,95,21,22.1%,1 2007,56,9,16.1%
49,Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",Senegal,6 2007,150,33,22.0%,8 2007,100,40,40.0%
50,Ethiopia,5 2005,529,116,21.9%,10 2005,112,21,18.8%
51,Serbia,5 2008,250,54,21.6%,---,---,---,---
52,China,3 2008,2987,637,21.3%,---,---,---,---
"""",Italy,4 2008,630,134,21.3%,4 2008,322,58,18.0%
53,Croatia,11 2007,153,32,20.9%,---,---,---,---
54,Bulgaria,7 2009,240,50,20.8%,---,---,---,---
"""",Estonia,3 2007,101,21,20.8%,---,---,---,---
"""",Malawi,5 2009,192,40,20.8%,---,---,---,---
55,Philippines,5 2007,239,49,20.5%,5 2007,23,4,17.4%
56,Poland,10 2007,460,93,20.2%,10 2007,100,8,8.0%
57,Latvia,10 2006,100,20,20.0%,---,---,---,---
"""",Luxembourg,6 2009,60,12,20.0%,---,---,---,---
58,Dominican Republic,5 2006,178,35,19.7%,5 2006,32,1,3.1%
59,United Kingdom,5 2005,646,126,19.5%,N.A.,746,147,19.7%
60,Slovakia,6 2006,150,29,19.3%,---,---,---,---
61,El Salvador,1 2009,84,16,19.0%,---,---,---,---
62,Dominica,5 2005,32,6,18.8%,---,---,---,---
63,Bangladesh,12 2008,345,64,18.6%,---,---,---,---
"""",Venezuela,12 2005,167,31,18.6%,---,---,---,---
64,Nicaragua,11 2006,92,17,18.5%,---,---,---,---
65,France,6 2007,577,105,18.2%,9 2008,343,75,21.9%
"""",Saint Vincent and the Grenadines,12 2005,22,4,18.2%,---,---,---,---
66,Cape Verde,1 2006,72,13,18.1%,---,---,---,---
"""",Sudan,8 2005,443,80,18.1%,8 2005,50,3,6.0%
67,Lithuania,10 2008,141,25,17.7%,---,---,---,---
