Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,10 2003,80,39,48.8%,01.09.2,26,9,34.6%
2,Sweden,9 2006,349,164,47.0%,---,---,---,---
3,Cuba,1 2008,614,265,43.2%,---,---,---,---
4,Finland,3 2007,200,83,41.5%,---,---,---,---
5,Argentina,10 2007,255,102,40.0%,28.10.2,72,28,38.9%
6,Netherlands,11 2006,150,59,39.3%,29.05.2,75,26,34.7%
7,Denmark,11 2007,179,68,38.0%,---,---,---,---
8,Costa Rica,2 2006,57,21,36.8%,---,---,---,---
9,Spain,3 2008,350,127,36.3%,09.03.2,263,79,30.0%
10,Norway,9 2005,169,61,36.1%,---,---,---,---
11,Belgium,6 2007,150,53,35.3%,10.06.2,71,27,38.0%
12,Mozambique,12 2004,250,87,34.8%,---,---,---,---
13,Iceland,5 2007,63,21,33.3%,---,---,---,---
14,New Zealand,9 2005,121,40,33.1%,---,---,---,---
15,South Africa 1,4 2004,400,132,33.0%,14.04.2,54,22,40.7%
16,Austria,10 2006,183,60,32.8%,N.A.,61,15,24.6%
"""",Nepal,4 2008,601,197,32.8%,---,---,---,---
17,The F.Y.R. of Macedonia,6 2008,120,38,31.7%,---,---,---,---
18,Germany,9 2005,613,194,31.6%,N.A.,69,15,21.7%
19,Uganda,2 2006,332,102,30.7%,---,---,---,---
20,Burundi,7 2005,118,36,30.5%,29.07.2,49,17,34.7%
21,United Republic of Tanzania,12 2005,319,97,30.4%,---,---,---,---
22,Peru,4 2006,120,35,29.2%,---,---,---,---
"""",Timor-Leste,6 2007,65,19,29.2%,---,---,---,---
23,Belarus,10 2004,110,32,29.1%,15.11.2,58,18,31.0%
24,Guyana,8 2006,69,20,29.0%,---,---,---,---
25,Switzerland,10 2007,200,57,28.5%,21.10.2,46,10,21.7%
26,Portugal,2 2005,230,65,28.3%,---,---,---,---
27,Afghanistan,9 2005,242,67,27.7%,18.09.2,102,22,21.6%
28,Namibia,11 2004,78,21,26.9%,29.11.2,26,7,26.9%
29,Trinidad and Tobago,11 2007,41,11,26.8%,17.12.2,31,13,41.9%
30,Australia,11 2007,150,40,26.7%,24.11.2,76,27,35.5%
31,Viet Nam,5 2007,493,127,25.8%,---,---,---,---
32,Kyrgyzstan,12 2007,90,23,25.6%,---,---,---,---
33,Iraq,12 2005,275,70,25.5%,---,---,---,---
"""",Suriname,5 2005,51,13,25.5%,---,---,---,---
34,Lao People's Democratic Republic,4 2006,115,29,25.2%,---,---,---,---
35,Andorra,4 2005,28,7,25.0%,---,---,---,---
"""",Ecuador,10 2006,100,25,25.0%,---,---,---,---
"""",Lesotho,2 2007,120,30,25.0%,09.03.2,31,9,29.0%
