Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2013,80,51,63.8%,9 2011,26,10,38.5%
2,Andorra,4 2011,28,14,50.0%,---,---,---,---
3,Cuba,2 2013,612,299,48.9%,---,---,---,---
4,Sweden,9 2010,349,157,45.0%,---,---,---,---
5,South Africa 1,4 2009,400,179,44.8%,4 2009,53,18,34.0%
6,Seychelles,9 2011,32,14,43.8%,---,---,---,---
7,Senegal,7 2012,150,65,43.3%,---,---,---,---
8,Finland,4 2011,200,85,42.5%,---,---,---,---
9,Ecuador,2 2013,137,57,41.6%,---,---,---,---
10,Belgium,6 2010,150,62,41.3%,6 2010,71,28,39.4%
11,Nicaragua,11 2011,92,37,40.2%,---,---,---,---
12,Iceland,4 2013,63,25,39.7%,---,---,---,---
"""",Spain,11 2011,350,139,39.7%,11 2011,266,89,33.5%
13,Norway,9 2013,169,67,39.6%,---,---,---,---
14,Mozambique,10 2009,250,98,39.2%,---,---,---,---
15,Denmark,9 2011,179,70,39.1%,---,---,---,---
16,Netherlands,9 2012,150,58,38.7%,5 2011,75,27,36.0%
17,Costa Rica,2 2010,57,22,38.6%,---,---,---,---
18,Timor-Leste,7 2012,65,25,38.5%,---,---,---,---
19,Mexico,7 2012,500,187,37.4%,7 2012,128,44,34.4%
20,Angola,8 2012,220,81,36.8%,---,---,---,---
21,Argentina,10 2013,257,94,36.6%,10 2013,72,28,38.9%
22,Germany,9 2013,631,230,36.5%,N.A.,69,19,27.5%
23,United Republic of Tanzania,10 2010,350,126,36.0%,---,---,---,---
24,Uganda,2 2011,386,135,35.0%,---,---,---,---
25,The F.Y.R. of Macedonia,6 2011,123,42,34.1%,---,---,---,---
26,New Zealand,11 2011,121,41,33.9%,---,---,---,---
27,Serbia,5 2012,250,84,33.6%,---,---,---,---
28,Grenada,2 2013,15,5,33.3%,3 2013,13,2,15.4%
"""",Slovenia,12 2011,90,30,33.3%,11 2012,40,3,7.5%
29,Austria,9 2013,183,59,32.2%,N.A.,62,18,29.0%
30,Algeria,5 2012,462,146,31.6%,12 2012,144,10,6.9%
31,Zimbabwe,7 2013,270,85,31.5%,7 2013,80,38,47.5%
32,Italy,2 2013,630,198,31.4%,2 2013,317,92,29.0%
33,Guyana,11 2011,67,21,31.3%,---,---,---,---
"""",Portugal,6 2011,230,72,31.3%,---,---,---,---
34,Cameroon,9 2013,180,56,31.1%,4 2013,100,20,20.0%
35,Switzerland,10 2011,200,62,31.0%,10 2011,46,9,19.6%
36,Burundi,7 2010,105,32,30.5%,7 2010,41,19,46.3%
37,Nepal,11 2013,575,172,29.9%,---,---,---,---
38,Trinidad and Tobago,5 2010,42,12,28.6%,6 2010,31,6,19.4%
39,Luxembourg,10 2013,60,17,28.3%,---,---,---,---
40,Tunisia,10 2011,217,61,28.1%,---,---,---,---
41,Ethiopia,5 2010,547,152,27.8%,5 2010,135,22,16.3%
42,Afghanistan,9 2010,249,69,27.7%,1 2011,102,28,27.5%
