Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2008,80,45,56.30%,10 2003,26,9,34.60%
2,Andorra,4 2011,28,15,53.60%,---,---,---,---
3,Sweden,9 2010,349,157,45.00%,---,---,---,---
4,South Africa 1,4 2009,400,178,44.50%,4 2009,54,16,29.60%
5,Cuba,1 2008,614,265,43.20%,---,---,---,---
6,Iceland,4 2009,63,27,42.90%,---,---,---,---
7,Finland,4 2011,200,85,42.50%,---,---,---,---
8,Norway,9 2009,169,67,39.60%,---,---,---,---
9,Belgium,6 2010,150,59,39.30%,6 2010,71,26,36.60%
"""",Netherlands,6 2010,150,59,39.30%,5 2007,75,26,34.70%
10,Mozambique,10 2009,250,98,39.20%,---,---,---,---
11,Angola,9 2008,220,85,38.60%,---,---,---,---
"""",Costa Rica,2 2010,57,22,38.60%,---,---,---,---
12,Argentina,6 2009,257,99,38.50%,6 2009,71,25,35.20%
13,Denmark,11 2007,179,68,38.00%,---,---,---,---
14,Uganda,2 2011,374,139,37.20%,---,---,---,---
15,Spain,3 2008,350,128,36.60%,3 2008,263,85,32.30%
16,United Republic of Tanzania,10 2010,350,126,36.00%,---,---,---,---
17,New Zealand,11 2008,122,41,33.60%,---,---,---,---
18,Nepal,4 2008,594,197,33.20%,---,---,---,---
19,Germany,9 2009,622,204,32.80%,N.A.,69,15,21.70%
20,The F.Y.R. of Macedonia,6 2008,120,39,32.50%,---,---,---,---
21,Ecuador,4 2009,124,40,32.30%,---,---,---,---
22,Burundi,7 2010,106,34,32.10%,7 2010,41,19,46.30%
23,Belarus,9 2008,110,35,31.80%,7 2008,58,19,32.80%
24,Guyana,8 2006,70,21,30.00%,---,---,---,---
25,Timor-Leste,6 2007,65,19,29.20%,---,---,---,---
26,Switzerland,10 2007,200,58,29.00%,10 2007,46,10,21.70%
27,Trinidad and Tobago,5 2010,42,12,28.60%,6 2010,31,8,25.80%
28,Austria,9 2008,183,51,27.90%,N.A.,61,18,29.50%
29,Ethiopia,5 2010,547,152,27.80%,5 2010,135,22,16.30%
30,Afghanistan,9 2010,249,69,27.70%,1 2011,102,28,27.50%
31,Portugal,9 2009,230,63,27.40%,---,---,---,---
32,Mexico,7 2009,500,131,26.20%,7 2006,128,29,22.70%
33,Monaco,2 2008,23,6,26.10%,---,---,---,---
34,Viet Nam,5 2007,493,127,25.80%,---,---,---,---
35,Sudan,4 2010,446,114,25.60%,5 2010,46,5,10.90%
36,Bolivia,12 2009,130,33,25.40%,12 2009,36,17,47.20%
37,Iraq,3 2010,325,82,25.20%,---,---,---,---
38,Lao People's Democratic Republic,4 2011,132,33,25.00%,---,---,---,---
39,Australia,8 2010,150,37,24.70%,8 2010,76,27,35.50%
40,Namibia,11 2009,78,19,24.40%,11 2010,26,7,26.90%
41,Lesotho,2 2007,120,29,24.20%,3 2007,33,6,18.20%
42,Liechtenstein,2 2009,25,6,24.00%,---,---,---,---
43,Croatia,11 2007,153,36,23.50%,---,---,---,---
"""",Seychelles,5 2007,34,8,23.50%,---,---,---,---
44,Singapore,5 2006,94,22,23.40%,---,---,---,---
45,Kyrgyzstan,10 2010,120,28,23.30%,---,---,---,---
46,Senegal,6 2007,150,34,22.70%,8 2007,100,40,40.00%
47,United Arab Emirates,12 2006,40,9,22.50%,---,---,---,---
48,Pakistan,2 2008,342,76,22.20%,3 2009,100,17,17.00%
49,Philippines,5 2010,280,62,22.10%,5 2010,23,3,13.00%
"""",Mauritania,11 2006,95,21,22.10%,11 2009,56,8,14.30%
"""",Canada,10 2008,308,68,22.10%,N.A.,93,32,34.40%
50,Czech Republic,5 2010,200,44,22.00%,10 2010,81,15,18.50%
"""",Eritrea,2 1994,150,33,22.00%,---,---,---,---
"""",United Kingdom,5 2010,650,143,22.00%,N.A.,733,147,20.10%
"""",Uzbekistan,12 2009,150,33,22.00%,1 2010,100,15,15.00%
51,Serbia,5 2008,250,54,21.60%,---,---,---,---
