Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,09 2003,80,39,48.8,09 2003,26,9,34.6
2,Sweden,09 2006,349,165,47.3,---,---,---,---
3,Finland,03 2007,200,84,42.0,---,---,---,---
4,Costa Rica,02 2006,57,22,38.6,---,---,---,---
5,Norway,09 2005,169,64,37.9,---,---,---,---
6,Denmark,02 2005,179,66,36.9,---,---,---,---
7,Netherlands,11 2006,150,55,36.7,06 2003,75,22,29.3
8,Cuba,01 2003,609,219,36.0,---,---,---,---
"""",Spain,03 2004,350,126,36.0,03 2004,259,60,23.2
9,Argentina,10 2005,257,90,35.0,10 2005,72,31,43.1
10,Mozambique,12 2004,250,87,34.8,---,---,---,---
11,Belgium,05 2003,150,52,34.7,05 2003,71,27,38.0
12,Iceland,05 2003,63,21,33.3,---,---,---,---
13,South Africa 1,04 2004,400,131,32.8,04 2004,54,18,33.3
14,Austria,10 2006,183,59,32.2,N.A.,62,17,27.4
"""",New Zealand,09 2005,121,39,32.2,---,---,---,---
15,Germany,09 2005,614,194,31.6,N.A.,69,15,21.7
16,Burundi,07 2005,118,36,30.5,07 2005,49,17,34.7
17,United Rep. of Tanzania,12 2005,319,97,30.4,---,---,---,---
18,Uganda,02 2006,332,99,29.8,---,---,---,---
19,Seychelles,12 2002,34,10,29.4,---,---,---,---
20,Peru,04 2006,120,35,29.2,---,---,---,---
21,Belarus,10 2004,110,32,29.1,11 2004,58,18,31.0
22,Guyana,08 2006,69,20,29.0,---,---,---,---
23,Andorra,04 2005,28,8,28.6,---,---,---,---
24,The F.Y.R. of Macedonia,07 2006,120,34,28.3,---,---,---,---
25,Afghanistan,09 2005,249,68,27.3,09 2005,102,23,22.5
"""",Viet Nam,05 2002,498,136,27.3,---,---,---,---
26,Namibia,11 2004,78,21,26.9,11 2004,26,7,26.9
27,Grenada,11 2003,15,4,26.7,11 2003,13,4,30.8
28,Iraq,12 2005,275,70,25.5,---,---,---,---
"""",Suriname,05 2005,51,13,25.5,---,---,---,---
29,Timor-Leste,08 2001,87,22,25.3,---,---,---,---
30,Lao People's Democratic Rep.,04 2006,115,29,25.2,---,---,---,---
