Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2008,80,45,56.30%,9 2011,26,10,38.5%
2,Andorra,4 2011,28,14,50.0%,---,---,---,---
3,Cuba,1 2008,586,265,45.2%,---,---,---,---
4,Sweden,9 2010,349,156,44.7%,---,---,---,---
5,Seychelles,9 2011,32,14,43.8%,---,---,---,---
6,Senegal,7 2012,150,64,42.7%,8 2007,100,40,40.0%
7,Finland,4 2011,200,85,42.5%,---,---,---,---
8,South Africa 1,4 2009,400,169,42.3%,4 2009,53,17,32.1%
9,Netherlands,6 2010,150,61,40.7%,5 2011,75,27,36.0%
10,Nicaragua,11 2011,92,37,40.2%,---,---,---,---
11,Iceland,4 2009,63,25,39.7%,---,---,---,---
12,Norway,9 2009,169,67,39.6%,---,---,---,---
13,Mozambique,10 2009,250,98,39.2%,---,---,---,---
14,Denmark,9 2011,179,70,39.1%,---,---,---,---
15,Costa Rica,2 2010,57,22,38.6%,---,---,---,---
16,Angola,9 2008,220,84,38.2%,---,---,---,---
17,Belgium,6 2010,150,57,38.0%,6 2010,71,29,40.8%
18,Argentina,10 2011,257,96,37.4%,10 2011,72,28,38.9%
19,Spain,11 2011,350,126,36.0%,11 2011,263,88,33.5%
"""",United Republic of Tanzania,10 2010,350,126,36.0%,---,---,---,---
20,Uganda,2 2011,386,135,35.0%,---,---,---,---
21,Nepal,4 2008,594,197,33.2%,---,---,---,---
22,Germany,9 2009,620,204,32.9%,N.A.,69,19,27.5%
23,Serbia,5 2012,250,81,32.4%,---,---,---,---
24,Ecuador,4 2009,124,40,32.3%,---,---,---,---
25,New Zealand,11 2011,121,39,32.2%,---,---,---,---
"""",Slovenia,12 2011,90,29,32.2%,11 2007,40,1,2.5%
26,Belarus,9 2008,110,35,31.8%,7 2008,58,19,32.8%
27,Algeria,5 2012,462,146,31.6%,12 2009,136,7,5.1%
28,Guyana,11 2011,67,21,31.3%,---,---,---,---
