Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2008,80,45,56.3%,10 2003,26,9,34.6%
2,Andorra,4 2011,28,15,53.6%,---,---,---,---
3,Sweden,9 2010,349,157,45.0%,---,---,---,---
4,South Africa 1,4 2009,400,178,44.5%,4 2009,54,16,29.6%
5,Cuba,1 2008,614,265,43.2%,---,---,---,---
6,Iceland,4 2009,63,27,42.9%,---,---,---,---
7,Finland,4 2011,200,85,42.5%,---,---,---,---
8,Norway,9 2009,169,67,39.6%,---,---,---,---
9,Belgium,6 2010,150,59,39.3%,6 2010,71,26,36.6%
"""",Netherlands,6 2010,150,59,39.3%,5 2011,75,27,36.0%
10,Mozambique,10 2009,250,98,39.2%,---,---,---,---
11,Angola,9 2008,220,85,38.6%,---,---,---,---
"""",Costa Rica,2 2010,57,22,38.6%,---,---,---,---
12,Argentina,6 2009,257,99,38.5%,6 2009,71,25,35.2%
13,Denmark,11 2007,179,68,38.0%,---,---,---,---
14,Spain,3 2008,350,128,36.6%,3 2008,263,85,32.3%
15,United Republic of Tanzania,10 2010,350,126,36.0%,---,---,---,---
16,Uganda,2 2011,375,131,34.9%,---,---,---,---
17,New Zealand,11 2008,122,41,33.6%,---,---,---,---
18,Nepal,4 2008,594,197,33.2%,---,---,---,---
19,Germany,9 2009,622,204,32.8%,N.A.,69,15,21.7%
20,The F.Y.R. of Macedonia,6 2008,120,39,32.5%,---,---,---,---
21,Ecuador,4 2009,124,40,32.3%,---,---,---,---
22,Burundi,7 2010,106,34,32.1%,7 2010,41,19,46.3%
23,Belarus,9 2008,110,35,31.8%,7 2008,58,19,32.8%
24,Guyana,8 2006,70,21,30.0%,---,---,---,---
25,Timor-Leste,6 2007,65,19,29.2%,---,---,---,---
26,Switzerland,10 2007,200,58,29.0%,10 2007,46,10,21.7%
27,Trinidad and Tobago,5 2010,42,12,28.6%,6 2010,31,8,25.8%
28,Austria,9 2008,183,51,27.9%,N.A.,61,18,29.5%
29,Ethiopia,5 2010,547,152,27.8%,5 2010,135,22,16.3%
30,Afghanistan,9 2010,249,69,27.7%,1 2011,102,28,27.5%
31,Portugal,9 2009,230,63,27.4%,---,---,---,---
32,Mexico,7 2009,500,131,26.2%,7 2006,128,29,22.7%
33,Monaco,2 2008,23,6,26.1%,---,---,---,---
34,Sudan,4 2010,446,114,25.6%,5 2010,46,5,10.9%
35,Bolivia,12 2009,130,33,25.4%,12 2009,36,17,47.2%
36,Iraq,3 2010,325,82,25.2%,---,---,---,---
37,Lao People's Democratic Republic,4 2011,132,33,25.0%,---,---,---,---
38,Australia,8 2010,150,37,24.7%,8 2010,76,27,35.5%
"""",Canada,5 2011,308,76,24.7%,N.A.,103,37,35.9%
39,Namibia,11 2009,78,19,24.4%,11 2010,26,7,26.9%
"""",Viet Nam,5 2011,500,122,24.4%,---,---,---,---
40,Lesotho,2 2007,120,29,24.2%,3 2007,33,6,18.2%
41,Liechtenstein,2 2009,25,6,24.0%,---,---,---,---
42,Croatia,11 2007,153,36,23.5%,---,---,---,---
"""",Seychelles,5 2007,34,8,23.5%,---,---,---,---
43,Kyrgyzstan,10 2010,120,28,23.3%,---,---,---,---
44,Senegal,6 2007,150,34,22.7%,8 2007,100,40,40.0%
45,United Arab Emirates,12 2006,40,9,22.5%,---,---,---,---
46,Pakistan,2 2008,342,76,22.2%,3 2009,100,17,17.0%
"""",Singapore,5 2011,90,20,22.2%,---,---,---,---
47,Mauritania,11 2006,95,21,22.1%,11 2009,56,8,14.3%
"""",Philippines,5 2010,280,62,22.1%,5 2010,23,3,13.0%
48,Czech Republic,5 2010,200,44,22.0%,10 2010,81,15,18.5%
"""",Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",United Kingdom,5 2010,650,143,22.0%,N.A.,733,147,20.1%
"""",Uzbekistan,12 2009,150,33,22.0%,1 2010,100,15,15.0%
49,Serbia,5 2008,250,54,21.6%,---,---,---,---
50,China,3 2008,2987,637,21.3%,---,---,---,---
"""",Italy,4 2008,630,134,21.3%,4 2008,321,59,18.4%
51,Cambodia,7 2008,123,26,21.1%,1 2006,61,9,14.8%
52,Bulgaria,7 2009,240,50,20.8%,---,---,---,---
"""",Cape Verde,2 2011,72,15,20.8%,---,---,---,---
"""",Dominican Republic,5 2010,183,38,20.8%,5 2010,32,3,9.4%
"""",Malawi,5 2009,192,40,20.8%,---,---,---,---
53,Nicaragua,11 2006,92,19,20.7%,---,---,---,---
54,Latvia,10 2010,100,20,20.0%,---,---,---,---
"""",Luxembourg,6 2009,60,12,20.0%,---,---,---,---
"""",Poland,10 2007,460,92,20.0%,10 2007,100,8,8.0%
55,Estonia,3 2011,101,20,19.8%,---,---,---,---
56,Israel,2 2009,120,23,19.2%,---,---,---,---
57,Lithuania,10 2008,141,27,19.1%,---,---,---,---
58,El Salvador,1 2009,84,16,19.0%,---,---,---,---
"""",Tajikistan,2 2010,63,12,19.0%,3 2010,34,5,14.7%
59,France,6 2007,577,109,18.9%,9 2008,343,75,21.9%
60,Mauritius,5 2010,69,13,18.8%,---,---,---,---
"""",Republic of Moldova,11 2010,101,19,18.8%,---,---,---,---
61,Bangladesh,12 2008,345,64,18.6%,---,---,---,---
