Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,16.09.2013,80,51,63.8%,26.09.2011,26,10,38.5%
2,Bolivia,12.10.2014,130,69,53.1%,12.10.2014,36,17,47.2%
3,Cuba,03.02.2013,612,299,48.9%,---,---,---,---
4,Seychelles,29.09.2011,32,14,43.8%,---,---,---,---
5,Sweden,14.09.2014,349,152,43.6%,---,---,---,---
6,Senegal,01.07.2012,150,64,42.7%,---,---,---,---
7,Mexico,07.06.2015,500,212,42.4%,01.07.2012,128,43,33.6%
"""",South Africa 1,07.05.2014,399,169,42.4%,21.05.2014,54,19,35.2%
9,Ecuador,17.02.2013,137,57,41.6%,---,---,---,---
10,Finland,19.04.2015,200,83,41.5%,---,---,---,---
11,Iceland,27.04.2013,63,26,41.3%,---,---,---,---
"""",Namibia,29.11.2014,104,43,41.3%,08.12.2015,42,10,23.8%
"""",Nicaragua,06.11.2011,92,38,41.3%,---,---,---,---
14,Spain,20.12.2015,350,140,40.0%,20.12.2015,265,104,39.2%
15,Mozambique,15.10.2014,250,99,39.6%,---,---,---,---
"""",Norway,09.09.2013,169,67,39.6%,---,---,---,---
17,Andorra,01.03.2015,28,11,39.3%,---,---,---,---
"""",Belgium,25.05.2014,150,59,39.3%,03.07.2014,60,30,50.0%
19,Ethiopia,24.05.2015,547,212,38.8%,05.10.2015,153,49,32.0%
20,Timor-Leste,07.07.2012,65,25,38.5%,---,---,---,---
21,Denmark,18.06.2015,179,67,37.4%,---,---,---,---
22,Netherlands,12.09.2012,150,56,37.3%,26.05.2015,75,26,34.7%
23,Angola,31.08.2012,220,81,36.8%,---,---,---,---
24,Slovenia,13.07.2014,90,33,36.7%,20.11.2012,40,3,7.5%
25,United Republic of Tanzania,25.10.2015,372,136,36.6%,---,---,---,---
26,Germany,22.09.2013,631,230,36.5%,N.A.,69,28,40.6%
27,Burundi,29.06.2015,121,44,36.4%,24.07.2015,43,18,41.9%
28,Argentina,25.10.2015,257,92,35.8%,25.10.2015,72,30,41.7%
29,Portugal,04.10.2015,230,80,34.8%,---,---,---,---
30,Serbia,24.04.2016,250,85,34.0%,---,---,---,---
31,Uganda,18.02.2016,427,143,33.5%,---,---,---,---
32,Costa Rica,02.02.2014,57,19,33.3%,---,---,---,---
"""",Grenada,19.02.2013,15,5,33.3%,27.03.2013,13,2,15.4%
"""",The F.Y.R. of Macedonia,27.04.2014,123,41,33.3%,---,---,---,---
35,El Salvador,01.03.2015,84,27,32.1%,---,---,---,---
36,Switzerland,18.10.2015,200,64,32.0%,23.10.2011,46,7,15.2%
37,Algeria,10.05.2012,462,146,31.6%,29.12.2015,143,10,7.0%
38,Zimbabwe,31.07.2013,270,85,31.5%,31.07.2013,80,38,47.5%
39,New Zealand,20.09.2014,121,38,31.4%,---,---,---,---
40,Tunisia,26.10.2014,217,68,31.3%,---,---,---,---
41,Cameroon,30.09.2013,180,56,31.1%,14.04.2013,100,20,20.0%
42,Italy,24.02.2013,630,195,31.0%,24.02.2013,321,91,28.3%
"""",Trinidad and Tobago,07.09.2015,42,13,31.0%,23.09.2015,31,10,32.3%
44,Austria,29.09.2013,183,56,30.6%,N.A.,61,18,29.5%
45,Sudan,13.04.2015,426,130,30.5%,01.06.2015,54,19,35.2%
46,Guyana,11.05.2015,69,21,30.4%,---,---,---,---
47,Nepal,19.11.2013,595,176,29.6%,---,---,---,---
48,United Kingdom,07.05.2015,650,191,29.4%,N.A.,782,192,24.6%
49,Luxembourg,20.10.2013,60,17,28.3%,---,---,---,---
50,Afghanistan,18.09.2010,249,69,27.7%,10.01.2015,68,18,26.5%
51,Lao People's Democratic Republic,20.03.2016,149,41,27.5%,---,---,---,---
52,Poland,25.10.2015,460,126,27.4%,25.10.2015,100,13,13.0%
53,Belarus,23.09.2012,110,30,27.3%,30.08.2012,58,19,32.8%
54,Kazakhstan,20.03.2016,107,29,27.1%,01.10.2014,47,3,6.4%
55,Viet Nam,22.05.2016,496,133,26.8%,---,---,---,---
56,Australia,07.09.2013,150,40,26.7%,07.09.2013,76,29,38.2%
"""",Israel,17.03.2015,120,32,26.7%,---,---,---,---
58,Iraq,30.04.2014,328,87,26.5%,---,---,---,---
"""",South Sudan,06.08.2011,332,88,26.5%,05.08.2011,50,5,10.0%
60,France,10.06.2012,577,151,26.2%,28.09.2014,348,87,25.0%
"""",Peru,10.04.2016,130,34,26.2%,---,---,---,---
62,Canada,19.10.2015,338,88,26.0%,N.A.,88,34,38.6%
63,Honduras,24.11.2013,128,33,25.8%,---,---,---,---
"""",Turkmenistan,15.12.2013,124,32,25.8%,---,---,---,---
65,Suriname,24.05.2015,51,13,25.5%,---,---,---,---
66,Mauritania,23.11.2013,147,37,25.2%,08.11.2009,56,8,14.3%
67,Lesotho,28.02.2015,120,30,25.0%,26.03.2015,33,8,24.2%
68,Equatorial Guinea,26.05.2013,100,24,24.0%,26.05.2013,73,10,13.7%
69,Estonia,01.03.2015,101,24,23.8%,---,---,---,---
"""",Singapore,11.09.2015,101,24,23.8%,---,---,---,---
71,Cabo Verde,20.03.2016,72,17,23.6%,---,---,---,---
"""",China,05.03.2013,2959,699,23.6%,---,---,---,---
73,Lithuania,14.10.2012,141,33,23.4%,---,---,---,---
74,United Arab Emirates,24.09.2011,40,9,22.5%,---,---,---,---
75,Ireland,26.02.2016,158,35,22.2%,25.04.2016,60,18,30.0%
76,Eritrea,01.02.1994,150,33,22.0%,---,---,---,---
77,Dominica,08.12.2014,32,7,21.9%,---,---,---,---
"""",Guinea,28.09.2013,114,25,21.9%,---,---,---,---
79,Republic of Moldova,30.11.2014,101,22,21.8%,---,---,---,---
80,Bosnia and Herzegovina,12.10.2014,42,9,21.4%,29.01.2015,15,2,13.3%
81,Monaco,10.02.2013,24,5,20.8%,---,---,---,---
82,Albania,23.06.2013,140,29,20.7%,---,---,---,---
