Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,03.09.2018,80,49,61.3%,26.09.2011,26,10,38.5%
2,Cuba,11.03.2018,605,322,53.2%,---,---,---,---
3,Bolivia,12.10.2014,130,69,53.1%,12.10.2014,36,17,47.2%
4,Mexico,01.07.2018,500,241,48.2%,01.07.2018,128,63,49.2%
5,Sweden,09.09.2018,349,165,47.3%,---,---,---,---
6,Grenada,13.03.2018,15,7,46.7%,27.04.2018,13,4,30.8%
7,Namibia,29.11.2014,104,48,46.2%,08.12.2015,42,10,23.8%
8,Costa Rica,04.02.2018,57,26,45.6%,---,---,---,---
9,Nicaragua,06.11.2016,92,41,44.6%,---,---,---,---
10,South Africa 1,07.05.2014,393,168,42.7%,21.05.2014,54,19,35.2%
11,Senegal,30.07.2017,165,69,41.8%,---,---,---,---
12,Finland,19.04.2015,200,83,41.5%,---,---,---,---
13,Spain,26.06.2016,350,144,41.1%,26.06.2016,266,98,36.8%
14,Norway,11.09.2017,169,69,40.8%,---,---,---,---
15,New Zealand,23.09.2017,120,48,40.0%,---,---,---,---
"""",Timor-Leste,12.05.2018,65,26,40.0%,---,---,---,---
17,France,11.06.2017,577,229,39.7%,24.09.2017,348,112,32.2%
18,Mozambique,15.10.2014,250,99,39.6%,---,---,---,---
19,Argentina,22.10.2017,255,99,38.8%,22.10.2017,72,30,41.7%
"""",Ethiopia,24.05.2015,547,212,38.8%,05.10.2015,153,49,32.0%
21,North Macedonia,11.12.2016,120,46,38.3%,---,---,---,---
22,Iceland,28.10.2017,63,24,38.1%,---,---,---,---
23,Belgium,25.05.2014,150,57,38.0%,03.07.2014,60,26,43.3%
"""",Ecuador,19.02.2017,137,52,38.0%,---,---,---,---
25,Serbia,24.04.2016,247,93,37.7%,---,---,---,---
26,Denmark,18.06.2015,179,67,37.4%,---,---,---,---
27,Austria,15.10.2017,183,68,37.2%,N.A.,61,22,36.1%
28,United Republic of Tanzania,25.10.2015,393,145,36.9%,---,---,---,---
29,Burundi,29.06.2015,121,44,36.4%,24.07.2015,39,18,46.2%
30,Tunisia,26.10.2014,217,78,35.9%,---,---,---,---
31,Italy,04.03.2018,630,225,35.7%,04.03.2018,320,110,34.4%
"""",Portugal,04.10.2015,230,82,35.7%,---,---,---,---
33,Uganda,18.02.2016,459,160,34.9%,---,---,---,---
34,Belarus,11.09.2016,110,38,34.5%,30.08.2012,56,17,30.4%
35,Monaco,14.02.2018,24,8,33.3%,---,---,---,---
36,Nepal,26.11.2017,275,90,32.7%,07.02.2018,59,22,37.3%
37,Switzerland,18.10.2015,200,65,32.5%,23.10.2011,46,7,15.2%
38,Andorra,01.03.2015,28,9,32.1%,---,---,---,---
39,United Kingdom,08.06.2017,650,208,32.0%,N.A.,789,208,26.4%
40,Guyana,11.05.2015,69,22,31.9%,---,---,---,---
"""",Zimbabwe,30.07.2018,270,86,31.9%,30.07.2018,80,35,43.8%
42,Netherlands,15.03.2017,150,47,31.3%,26.05.2015,75,27,36.0%
43,Cameroon,30.09.2013,180,56,31.1%,25.03.2018,100,26,26.0%
44,El Salvador,04.03.2018,84,26,31.0%,---,---,---,---
"""",Latvia,06.10.2018,100,31,31.0%,---,---,---,---
"""",Trinidad and Tobago,07.09.2015,42,13,31.0%,23.09.2015,31,11,35.5%
47,Germany,24.09.2017,709,219,30.9%,N.A.,69,27,39.1%
48,Angola,23.08.2017,220,66,30.0%,---,---,---,---
"""",Australia,02.07.2016,150,45,30.0%,02.07.2016,76,30,39.5%
"""",Peru,10.04.2016,130,39,30.0%,---,---,---,---
51,Philippines,09.05.2016,292,86,29.5%,09.05.2016,24,6,25.0%
52,Suriname,24.05.2015,51,15,29.4%,---,---,---,---
53,Albania,25.06.2017,140,41,29.3%,---,---,---,---
54,Israel,17.03.2015,120,35,29.2%,---,---,---,---
55,Poland,25.10.2015,460,134,29.1%,25.10.2015,100,14,14.0%
56,Estonia,01.03.2015,101,29,28.7%,---,---,---,---
57,South Sudan,04.08.2016,383,109,28.5%,05.08.2011,50,6,12.0%
58,Sudan,13.04.2015,481,133,27.7%,01.06.2015,71,19,26.8%
59,Lao People's Democratic Republic,20.03.2016,149,41,27.5%,---,---,---,---
60,Kazakhstan,20.03.2016,107,29,27.1%,28.06.2017,47,5,10.6%
61,Canada,19.10.2015,334,90,26.9%,N.A.,105,49,46.7%
62,Dominican Republic,15.05.2016,190,51,26.8%,15.05.2016,32,3,9.4%
63,Viet Nam,22.05.2016,494,132,26.7%,---,---,---,---
64,Djibouti,23.02.2018,65,17,26.2%,---,---,---,---
65,Algeria,04.05.2017,462,119,25.8%,29.12.2018,132,9,6.8%
"""",Bulgaria,26.03.2017,240,62,25.8%,---,---,---,---
67,Iraq,12.05.2018,329,83,25.2%,---,---,---,---
68,Dominica,08.12.2014,32,8,25.0%,---,---,---,---
"""",Luxembourg,14.10.2018,60,15,25.0%,---,---,---,---
"""",San Marino,20.11.2016,60,15,25.0%,---,---,---,---
"""",Turkmenistan,25.03.2018,124,31,25.0%,---,---,---,---
72,China,05.03.2018,2975,742,24.9%,---,---,---,---
73,Slovenia,03.06.2018,90,22,24.4%,22.11.2017,40,4,10.0%
"""",Somalia,23.10.2016,275,67,24.4%,23.10.2016,54,13,24.1%
75,Armenia,02.04.2017,132,32,24.2%,---,---,---,---
76,Afghanistan,20.10.2018,250,59,23.6%,10.01.2015,68,16,23.5%
"""",Cabo Verde,20.03.2016,72,17,23.6%,---,---,---,---
"""",United States of America,06.11.2018,433,102,23.6%,06.11.2018,100,25,25.0%
78,Montenegro,16.10.2016,81,19,23.5%,---,---,---,---
79,Lesotho,03.06.2017,120,28,23.3%,11.07.2017,32,7,21.9%
80,Singapore,11.09.2015,100,23,23.0%,---,---,---,---
81,Guinea,28.09.2013,114,26,22.8%,---,---,---,---
"""",Republic of Moldova,30.11.2014,101,23,22.8%,---,---,---,---
83,Chile,19.11.2017,155,35,22.6%,19.11.2017,43,10,23.3%
84,Czech Republic,20.10.2017,200,45,22.5%,05.10.2018,81,13,16.0%
"""",United Arab Emirates,03.10.2015,40,9,22.5%,---,---,---,---
86,Ireland,26.02.2016,158,35,22.2%,25.04.2016,60,18,30.0%
"""",Uruguay,26.10.2014,99,22,22.2%,26.10.2014,31,8,25.8%
"""",Venezuela (Bolivarian Republic of),06.12.2015,167,37,22.2%,---,---,---,---
89,Eritrea,01.02.1994,150,33,22.0%,---,---,---,---
90,Kenya,08.07.2017,349,76,21.8%,08.07.2017,68,21,30.9%
91,Bosnia and Herzegovina,07.10.2018,42,9,21.4%,29.01.2015,15,2,13.3%
92,Lithuania,09.10.2016,141,30,21.3%,---,---,---,---
93,Seychelles,08.09.2016,33,7,21.2%,---,---,---,---
94,Honduras,26.11.2017,128,27,21.1%,---,---,---,---
95,Bangladesh,30.12.2018,348,72,20.7%,---,---,---,---
"""",Romania,11.12.2016,329,68,20.7%,11.12.2016,136,19,14.0%
97,Croatia,11.09.2016,151,31,20.5%,---,---,---,---
"""",Morocco,07.10.2016,395,81,20.5%,02.10.2015,120,14,11.7%
99,Mauritania,01.09.2018,153,31,20.3%,---,---,---,---
100,Pakistan,25.08.2018,341,69,20.2%,03.03.2018,104,20,19.2%
101,Barbados,24.05.2018,30,6,20.0%,05.06.2018,21,8,38.1%
"""",Cambodia,29.07.2018,125,25,20.0%,25.02.2018,62,11,17.7%
