Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,09 2003,80,39,48.8,09 2003,26,9,34.6
2,Sweden,09 2002,349,158,45.3,---,---,---,---
3,Norway,09 2005,169,64,37.9,---,---,---,---
4,Finland,03 2003,200,75,37.5,---,---,---,---
5,Denmark,02 2005,179,66,36.9,---,---,---,---
6,Netherlands,01 2003,150,55,36.7,06 2003,75,22,29.3
7,Cuba,01 2003,609,219,36.0,---,---,---,---
"""",Spain,03 2004,350,126,36.0,03 2004,259,60,23.2
8,Costa Rica,02 2002,57,20,35.1,---,---,---,---
9,Mozambique,12 2004,250,87,34.8,---,---,---,---
10,Belgium,05 2003,150,52,34.7,05 2003,71,27,38.0
11,Austria,11 2002,183,62,33.9,N.A.,62,17,27.4
12,Iceland,05 2003,63,21,33.3,---,---,---,---
13,South Africa 1,04 2004,400,131,32.8,04 2004,54,18,33.3
14,New Zealand,09 2005,121,39,32.2,---,---,---,---
15,Germany,09 2005,614,195,31.8,N.A.,69,13,18.8
16,Iraq,01 2005,273,86,31.5,---,---,---,---
17,Guyana,03 2001,65,20,30.8,---,---,---,---
18,Burundi,07 2005,118,36,30.5,07 2005,52,17,32.7
19,Seychelles,12 2002,34,10,29.4,---,---,---,---
20,Belarus,10 2004,110,32,29.1,11 2004,58,18,31.0
21,Andorra,04 2005,28,8,28.6,---,---,---,---
22,Afghanistan,09 2005,249,68,27.3,09 2005,102,?,?
"""",Viet Nam,05 2002,498,136,27.3,---,---,---,---
23,Namibia,11 2004,78,21,26.9,11 2004,26,7,26.9
24,Grenada,11 2003,15,4,26.7,11 2003,13,5,38.5
25,Timor-Leste 2,08 2001,87,22,25.3,---,---,---,---
26,Switzerland,10 2003,200,50,25.0,10 2003,46,11,23.9
27,Australia,10 2004,150,37,24.7,10 2004,76,27,35.5
28,Mexico,07 2003,500,121,24.2,07 2000,128,28,21.9
29,Liechtenstein,03 2005,25,6,24.0,---,---,---,---
30,Uganda,06 2001,305,73,23.9,---,---,---,---
31,Luxembourg,06 2004,60,14,23.3,---,---,---,---
32,Lao People's Democratic Rep.,02 2002,109,25,22.9,---,---,---,---
33,Tunisia,10 2004,189,43,22.8,07 2005,112,15,13.4
34,Saint Vincent & the Grenadines,03 2001,22,5,22.7,---,---,---,---
35,Bulgaria,06 2005,240,53,22.1,---,---,---,---
36,Eritrea,02 1994,150,33,22.0,---,---,---,---
"""",Lithuania,10 2004,141,31,22.0,---,---,---,---
37,Republic of Moldova,03 2005,101,22,21.8,---,---,---,---
38,Croatia,11 2003,152,33,21.7,---,---,---,---
39,United Rep. of Tanzania,10 2000,295,63,21.4,---,---,---,---
40,Pakistan,10 2002,342,73,21.3,03 2003,100,18,18.0
"""",Portugal,02 2005,230,49,21.3,---,---,---,---
41,Ethiopia,05 2005,546,116,21.2,10 2005,120,?,?
42,Canada,06 2004,308,65,21.1,N.A.,89,33,37.1
43,Latvia,10 2002,100,21,21.0,---,---,---,---
44,Monaco,02 2003,24,5,20.8,---,---,---,---
45,Nicaragua,11 2001,92,19,20.7,---,---,---,---
46,Poland,09 2005,460,94,20.4,09 2005,100,13,13.0
47,China,02 2003,2980,604,20.3,---,---,---,---
48,Dem. People's Rep. of Korea,08 2003,687,138,20.1,---,---,---,---
49,Bahamas,05 2002,40,8,20.0,05 2002,16,7,43.8
50,United Kingdom,05 2005,646,127,19.7,N.A.,707,126,17.8
51,Suriname,05 2005,51,10,19.6,---,---,---,---
52,Trinidad and Tobago,10 2002,36,7,19.4,10 2002,31,10,32.3
53,Guinea,06 2002,114,22,19.3,---,---,---,---
54,Bolivia,06 2002,130,25,19.2,06 2002,27,3,11.1
"""",Senegal,04 2001,120,23,19.2,---,---,---,---
"""",The F.Y.R. of Macedonia,09 2002,120,23,19.2,---,---,---,---
55,Estonia,03 2003,101,19,18.8,---,---,---,---
56,Peru,04 2001,120,22,18.3,---,---,---,---
57,Equatorial Guinea,04 2004,100,18,18.0,---,---,---,---
58,Tajikistan,02 2005,63,11,17.5,03 2005,34,8,23.5
"""",Uzbekistan,12 2004,120,21,17.5,01 2005,100,15,15.0
59,Dominican Republic,05 2002,150,26,17.3,05 2002,32,2,6.3
60,Mauritius,07 2005,70,12,17.1,---,---,---,---
61,Czech Republic,06 2002,200,34,17.0,10 2004,81,10,12.3
62,Bosnia and Herzegovina,10 2002,42,7,16.7,10.2002,15,0,0.0
"""",Panama,05 2004,78,13,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
"""",Slovakia,09 2002,150,25,16.7,---,---,---,---
