Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1998,349,149,42.7,---,---,---,---
2,Denmark,11 2001,179,68,38.0,---,---,---,---
3,Finland,03 1999,200,73,36.5,---,---,---,---
4,Norway,09 2001,165,60,36.4,---,---,---,---
5,Netherlands,05 1998,150,54,36.0,05 1999,75,20,26.7
6,Iceland,05 1999,63,22,34.9,---,---,---,---
7,Germany,09 1998,666,211,31.7,N.A.,69,17,24.6
8,New Zealand,11 1999,120,37,30.8,---,---,---,---
9,Argentina,10 2001,257,79,30.7,10 2001,72,24,33.3
10,Mozambique,12 1999,250,75,30.0,---,---,---,---
11,South Africa,06 1999,399,119,29.8,06 1999,89,17,31.5*
12,Spain,03 2000,350,99,28.3,03 2000,259,63,24.3
13,Cuba,01 1998,601,166,27.6,---,---,---,---
14,Austria,10 1999,183,49,26.8,N.A.,64,13,20.3
15,Grenada,01 1999,15,4,26.7,01 1999,13,1,7.7
16,Bulgaria,06 2001,240,63,26.2,---,---,---,---
17,Turkmenistan,12 1999,50,13,26.0,---,---,---,---
"""",Viet Nam,07 1997,450,117,26.0,---,---,---,---
18,Rwanda,11 1994,74,19,25.7,---,---,---,---
19,Australia,11 2001,150,38,25.3,10 1998,76,22,28.9
20,Namibia,11 1999,72,18,25.0,11 1998,26,2,7.7
21,Uganda,06 2001,304,75,24.7,---,---,---,---
22,Seychelles,03 1998,34,8,23.5,---,---,---,---
23,Belgium,06 1999,150,35,23.3,06 1999,71,20,28.2
24,Switzerland,10 1999,200,46,23.0,10 1999,46,9,19.6
25,Saint Vincent & the Grenadines,03 2001,22,5,22.7,---,---,---,---
26,United Rep. of Tanzania,10 2000,274,61,22.3,---,---,---,---
27,Monaco,02 1998,18,4,22.2,---,---,---,---
28,China,1997-98,2984,650,21.8,---,---,---,---
29,Nicaragua,11 2001,92,19,20.7,---,---,---,---
30,Canada,11 2000,301,62,20.6,N.A.,105,34,32.4
31,Croatia,01 2000,151,31,20.5,04 1997,65,4,6.2
32,Poland,09 2001,460,93,20.2,09 2001,100,23,23.0
33,Dem. People's Rep. of Korea,07 1998,687,138,20.1,---,---,---,---
34,Guyana,03 2001,65,13,20.0,---,---,---,---
35,Burundi,06 1993,169,33,19.5,02 2002,54,?,?
36,Senegal,04 2001,120,23,19.2,---,---,---,---
37,Portugal,03 2002,230,44,19.1,---,---,---,---
38,Dominica,01 2000,32,6,18.8,---,---,---,---
39,Peru,04 2001,120,22,17.5,---,---,---,---
40,United Kingdom,06 2001,659,118,17.9,N.A.,713,117,16.4
41,Estonia,03 1999,101,18,17.8,---,---,---,---
"""",Philippines,05 2001,214,38,17.8,05 2001,24,3,12.5
42,Suriname,05 2000,51,9,17.6,---,---,---,---
43,Botswana,10 1999,47,8,17.0,---,---,---,---
"""",Latvia,10 1998,100,17,17.0,---,---,---,---
44,Luxembourg,06 1999,60,10,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
"""",Trinidad and Tobago,12 2001,36,6,16.7,12 2001,31,?,?
45,Dominican Republic,05 1998,149,24,16.1,05 1998,30,2,6.7
46,Mexico,07 2000,500,80,16.0,07 2000,128,20,15.6
47,Angola,09 1992,220,34,15.5,---,---,---,---
48,Bahamas,03 1997,40,6,15.0,03 1997,16,5,31.3
"""",Czech Republic,06 1998,200,30,15.0,11 2000,81,10,12.3
49,Eritrea,02 1994,150,22,14.7,---,---,---,---
50,Ecuador,05 1998,123,18,14.6,---,---,---,---
51,Andorra,03 2001,28,4,14.3,---,---,---,---
52,Slovakia,09 1998,150,21,14.0,---,---,---,---
"""",United States of America,11 2000,435,61,14.0,11 2000,100,13,13
53,Israel,05 1999,120,16,13.3,---,---,---,---
"""",Jamaica,12 1997,60,8,13.3,12 1997,21,5,23.8
"""",Saint Kitts and Nevis,03 2000,15,2,13.3,---,---,---,---
54,Republic of Moldova,02 2001,101,13,12.9,---,---,---,---
55,Tajikistan,02 2000,63,8,12.7,03 2000,34,4,11.8
56,Chile,12 2001,120,15,12.5,12 2001,49,2,4.1
57,Mali,07 1997,147,18,12.2,---,---,---,---
"""",Slovenia,10 2000,90,11,12.2,---,---,---,---
58,Uruguay,10 1999,99,12,12.1,10 1999,31,3,9.7
59,Congo,01 1998,75,9,12.0,---,---,---,---
"""",Ireland,06 1997,166,20,12.0,08 1997,60,11,18.3
"""",Liechtenstein,02 2001,25,3,12.0,---,---,---,---
"""",Zambia,12 2001,158,19,12.0,---,---,---,---
60,Singapore,11 2001,85,10,11.8,---,---,---,---
61,Bolivia,06 1997,130,15,11.5,06 1997,27,1,3.7
"""",Tunisia,10 1999,182,21,11.5,---,---,---,---
62,Cape Verde,01 2001,72,8,11.1,---,---,---,---
"""",Saint Lucia,12 2001,18,2,11.1,05 1997,11,2,18.2
63,France,05 1997,577,63,10.9,09 2001,321,35,10.9
64,Barbados,01 1999,28,3,10.7,01 1999,21,7,33.3
"""",Cyprus,05 2001,56,6,10.7,---,---,---,---
"""",Romania,11 2000,345,37,10.7,11 2000,140,8,5.7
65,Lithuania,10 2000,141,15,10.6,---,---,---,---
66,Azerbaijan,11 2000,124,13,10.5,---,---,---,---
"""",Mongolia,07 2000,76,8,10.5,---,---,---,---
67,Kazakhstan,10 1999,77,8,10.4,09 1999,39,5,12.8
"""",Malaysia,11 1999,193,20,10.4,03 1998,69,18,26.1
