Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,16.09.2013,80,51,63.80%,26.09.2011,26,10,38.50%
2,Bolivia,12.10.2014,130,69,53.10%,12.10.2014,36,17,47.20%
3,Cuba,03.02.2013,612,299,48.90%,---,---,---,---
4,Seychelles,29.09.2011,32,14,43.80%,---,---,---,---
5,Sweden,14.09.2014,349,152,43.60%,---,---,---,---
6,Senegal,01.07.2012,150,64,42.70%,---,---,---,---
7,Mexico,07.06.2015,500,212,42.40%,01.07.2012,128,43,33.60%
"""",South Africa 1,07.05.2014,399,169,42.40%,21.05.2014,54,19,35.20%
9,Ecuador,17.02.2013,137,57,41.60%,---,---,---,---
10,Finland,19.04.2015,200,83,41.50%,---,---,---,---
11,Iceland,27.04.2013,63,26,41.30%,---,---,---,---
"""",Namibia,29.11.2014,104,43,41.30%,08.12.2015,42,10,23.80%
"""",Nicaragua,06.11.2011,92,38,41.30%,---,---,---,---
14,Spain,20.12.2015,350,140,40.00%,20.12.2015,265,104,39.20%
15,Mozambique,15.10.2014,250,99,39.60%,---,---,---,---
"""",Norway,09.09.2013,169,67,39.60%,---,---,---,---
17,Andorra,01.03.2015,28,11,39.30%,---,---,---,---
"""",Belgium,25.05.2014,150,59,39.30%,03.07.2014,60,30,50.00%
19,Ethiopia,24.05.2015,547,212,38.80%,05.10.2015,153,49,32.00%
20,Timor-Leste,07.07.2012,65,25,38.50%,---,---,---,---
21,Denmark,18.06.2015,179,67,37.40%,---,---,---,---
22,Netherlands,12.09.2012,150,56,37.30%,26.05.2015,75,26,34.70%
23,Angola,31.08.2012,220,81,36.80%,---,---,---,---
24,Slovenia,13.07.2014,90,33,36.70%,20.11.2012,40,3,7.50%
25,United Republic of Tanzania,25.10.2015,372,136,36.60%,---,---,---,---
26,Germany,22.09.2013,631,230,36.50%,N.A.,69,28,40.60%
27,Burundi,29.06.2015,121,44,36.40%,24.07.2015,43,18,41.90%
28,Argentina,25.10.2015,257,92,35.80%,25.10.2015,72,30,41.70%
29,Portugal,04.10.2015,230,80,34.80%,---,---,---,---
30,Serbia,24.04.2016,250,85,34.00%,---,---,---,---
31,Uganda,18.02.2016,427,143,33.50%,---,---,---,---
32,Costa Rica,02.02.2014,57,19,33.30%,---,---,---,---
