Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
"""",Panama,05 2004,78,13,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
"""",Slovakia,09 2002,150,25,16.7,---,---,---,---
65,Cyprus,05 2001,56,9,16.1,---,---,---,---
66,Ecuador,10 2002,100,16,16.0,---,---,---,---
"""",Singapore,11 2001,94,15,16.0,---,---,---,---
"""",Turkmenistan,12 2004,50,8,16.0,---,---,---,---
"""",Zimbabwe,03 2005,150,24,16.0,11 2005,66,21,31.8
67,Philippines,05 2004,236,37,15.7,05 2004,24,4,16.7
68,Cape Verde,01 2006,72,11,15.3,---,---,---,---
69,United States of America,11 2004,435,66,15.2,11 2004,100,14,14.0
70,Angola,09 1992,220,33,15.0,---,---,---,---
"""",Chile,12 2005,120,18,15.0,12 2005,38,2,5.3
71,Bangladesh 3,10 2001,345,51,14.8,---,---,---,---
72,Sudan,08 2005,450,66,14.7,08 2005,50,2,4.0
73,Sierra Leone,05 2002,124,18,14.5,---,---,---,---
74,Guinea-Bissau,03 2004,100,14,14.0,---,---,---,---
75,Malawi,04 2004,191,26,13.6,---,---,---,---
76,Republic of Korea,04 2004,299,40,13.4,---,---,---,---
77,Barbados,05 2003,30,4,13.3,05 2003,21,5,23.8
"""",Ireland,05 2002,166,22,13.3,07 2002,60,10,16.7
"""",Israel,03 2006,120,16,13.3,---,---,---,---
78,Gambia,01 2002,53,7,13.2,---,---,---,---
79,Greece,03 2004,300,39,13.0,---,---,---,---
80,Dominica,05 2005,31,4,12.9,---,---,---,---
81,Zambia,12 2001,158,20,12.7,---,---,---,---
82,Liberia,10 2005,64,8,12.5,10 2005,30,5,16.7
83,Niger,11 2004,113,14,12.4,---,---,---,---
84,Azerbaijan,11 2005,114,14,12.3,---,---,---,---
85,France,06 2002,574,70,12.2,09 2004,331,56,16.9
"""",Slovenia,10 2004,90,11,12.2,12.2002,40,3,7.5
86,Dem. Republic of the Congo,08 2003,500,60,12.0,08 2003,120,3,2.5
"""",Maldives,01 2005,50,6,12.0,---,---,---,---
"""",Syrian Arab Republic,03 2003,250,30,12.0,---,---,---,---
87,Burkina Faso,05 2002,111,13,11.7,---,---,---,---
"""",Jamaica,10 2002,60,7,11.7,10 2002,21,4,19.0
"""",Lesotho,05 2002,120,14,11.7,N.A.,33,12,36.4
88,Italy,05 2001,616,71,11.5,05 2001,321,26,8.1
89,Indonesia,04 2004,550,62,11.3,---,---,---,---
90,Romania,11 2004,331,37,11.2,11 2004,137,13,9.5
91,Botswana,10 2004,63,7,11.1,---,---,---,---
"""",Uruguay,10 2004,99,11,11.1,10 2004,31,3,9.7
92,Ghana,12 2004,230,25,10.9,---,---,---,---
93,Djibouti,01 2003,65,7,10.8,---,---,---,---
"""",Morocco,09 2002,325,35,10.8,10 2003,270,3,1.1
"""",Swaziland,10 2003,65,7,10.8,10 2003,30,9,30.0
"""",Thailand,02 2005,500,54,10.8,03 2000,200,21,10.5
94,Antigua and Barbuda,03 2004,19,2,10.5,03 2004,17,3,17.6
"""",Central African Republic,05 2005,105,11,10.5,---,---,---,---
95,Kazakhstan,09 2004,77,8,10.4,09 2004,39,2,5.1
96,Mali,07 2002,147,15,10.2,---,---,---,---
97,Paraguay,04 2003,80,8,10.0,04 2003,45,4,8.9
98,Cambodia,07 2003,123,12,9.8,01 2006,61,9,14.8
"""",Russian Federation,12 2003,447,44,9.8,N.A.,178,6,3.4
99,Georgia,03 2004,235,22,9.4,---,---,---,---
100,Bhutan,N.A.,150,14,9.3,---,---,---,---
101,Gabon,12 2001,119,11,9.2,02 2003,91,14,15.4
"""",Malta,04 2003,65,6,9.2,---,---,---,---
102,Hungary,04 2002,385,35,9.1,---,---,---,---
"""",Malaysia,03 2004,219,20,9.1,03 2004,70,18,25.7
103,Japan,09 2005,480,43,9.0,07 2004,242,34,14.0
104,Cameroon,06 2002,180,16,8.9,---,---,---,---
105,Brazil,10 2002,513,44,8.6,10 2002,81,10,12.3
106,Congo,05 2002,129,11,8.5,10 2005,60,8,13.3
"""",Cote d'Ivoire,12 2000,223,19,8.5,---,---,---,---
"""",Fiji,08 2001,71,6,8.5,08 2001,32,4,12.5
107,India,04 2004,545,45,8.3,06 2004,250,28,11.2
108,Guatemala,11 2003,158,13,8.2,---,---,---,---
109,Serbia and Montenegro 4,02 2003,126,10,7.9,---,---,---,---
110,Somalia,08 2004,269,21,7.8,---,---,---,---
111,Togo,10 2002,81,6,7.4,---,---,---,---
112,Benin,03 2003,83,6,7.2,---,---,---,---
113,Albania,07 2005,140,10,7.1,---,---,---,---
"""",Kenya,12 2002,224,16,7.1,---,---,---,---
114,Madagascar,12 2002,160,11,6.9,03 2001,90,10,11.1
115,Belize,03 2003,30,2,6.7,03 2003,12,3,25.0
116,Mongolia,06 2004,76,5,6.6,---,---,---,---
117,Chad,04 2002,155,10,6.5,---,---,---,---
118,Nigeria,04 2003,360,23,6.4,04 2003,109,4,3.7
119,Algeria,05 2002,389,24,6.2,12 2003,144,4,2.8
120,Saint Lucia,12 2001,18,1,5.6,12.2001,11,4,36.4
121,Jordan,06 2003,110,6,5.5,11 2005,55,6,10.9
122,Armenia,05 2003,131,7,5.3,---,---,---,---
123,Sri Lanka,04 2004,225,11,4.9,---,---,---,---
124,Kiribati,05 2003,42,2,4.8,---,---,---,---
125,Lebanon,05 2005,128,6,4.7,---,---,---,---
"""",Libyan Arab Jamahiriya,03 2006,760,36,4.7,---,---,---,---
126,Turkey,11 2002,550,24,4.4,---,---,---,---
127,Iran (Islamic Rep. of),02 2004,290,12,4.1,---,---,---,---
128,Vanuatu,07 2004,52,2,3.8,---,---,---,---
129,Haiti,05 2000,83,3,3.6,05 2000,27,7,25.9
130,Tonga,03 2005,30,1,3.3,---,---,---,---
131,Comoros,04 2004,33,1,3.0,---,---,---,---
"""",Marshall Islands,11 2003,33,1,3.0,---,---,---,---
132,Oman,10 2003,83,2,2.4,N.A.,58,9,15.5
133,Egypt,11 2005,442,9,2.0,05 2004,264,18,6.8
134,Kuwait,07 2003,65,1,1.5,---,---,---,---
135,Papua New Guinea,06 2002,109,1,0.9,---,---,---,---
136,Yemen,04 2003,301,1,0.3,04 2001,111,2,1.8
137,Bahrain,10 2002,40,0,0.0,11 2002,40,6,15.0
"""",Kyrgyzstan,02 2005,75,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 2005,14,0,0.0,---,---,---,---
"""",Nauru,10 2004,18,0,0.0,---,---,---,---
"""",Nepal,05 1999,2,0,0.0,06 2001,19,3,15.8
"""",Palau,11 2004,16,0,0.0,11 2004,9,0,0.0
"""",Qatar,06 2005,35,0,0.0,---,---,---,---
"""",Saint Kitts and Nevis,10 2004,15,0,0.0,---,---,---,---
"""",Saudi Arabia,04 2005,150,0,0.0,---,---,---,---
"""",Solomon Islands,12 2001,50,0,0.0,---,---,---,---
"""",Tuvalu,07 2002,15,0,0.0,---,---,---,---
"""",United Arab Emirates,02 2003,40,0,0.0,---,---,---,---
?,Colombia,03 2006,166,?,?,03 2006,102,?,?
?,El Salvador,03 2006,84,?,?,---,---,---,---
?,Samoa,03 2006,48,?,?,---,---,---,---
?,Sao Tome and Principe,03 2006,55,?,?,---,---,---,---
?,Ukraine,03 2006,450,?,?,---,---,---,---
