Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
63,Ecuador,10 2002,100,16,16.0,---,---,---,---
"""",Slovakia,06 2006,150,24,16.0,---,---,---,---
"""",Turkmenistan,12 2004,50,8,16.0,---,---,---,---
"""",Zimbabwe,03 2005,150,24,16.0,11 2005,66,21,31.8
64,Philippines,05 2004,236,37,15.7,05 2004,24,4,16.7
65,Czech Republic,06 2006,200,31,15.5,11 2004,81,10,12.3
66,Cape Verde,01 2006,72,11,15.3,---,---,---,---
67,United States of America,11 2004,435,66,15.2,11 2004,100,14,14.0
68,Angola,09 1992,220,33,15.0,---,---,---,---
"""",Chile,12 2005,120,18,15.0,12 2005,38,2,5.3
69,Bangladesh 4,10 2001,345,51,14.8,---,---,---,---
70,Sudan,08 2005,450,66,14.7,08 2005,50,2,4.0
71,Sierra Leone,05 2002,124,18,14.5,---,---,---,---
72,Cyprus,05 2006,56,8,14.3,---,---,---,---
73,Israel,03 2006,120,17,14.2,---,---,---,---
74,Guinea-Bissau,03 2004,100,14,14.0,---,---,---,---
75,Malawi,04 2004,191,26,13.6,---,---,---,---
76,Republic of Korea,04 2004,299,40,13.4,---,---,---,---
77,Barbados,05 2003,30,4,13.3,05 2003,21,5,23.8
"""",Ireland,05 2002,166,22,13.3,07 2002,60,10,16.7
78,Gambia,01 2002,53,7,13.2,---,---,---,---
79,Greece,03 2004,300,39,13.0,---,---,---,---
80,Dominica,05 2005,31,4,12.9,---,---,---,---
81,Zambia,12 2001,158,20,12.7,---,---,---,---
82,Liberia,10 2005,64,8,12.5,10 2005,30,5,16.7
"""",Montenegro,10 2002,72,9,12.5,---,---,---,---
83,Niger,11 2004,113,14,12.4,---,---,---,---
84,France,06 2002,574,70,12.2,09 2004,331,56,16.9
"""",Slovenia,10 2004,90,11,12.2,12.2002,40,3,7.5
85,Maldives,01 2005,50,6,12.0,---,---,---,---
"""",Serbia,12 2003,250,30,12.0,---,---,---,---
"""",Syrian Arab Republic,03 2003,250,30,12.0,---,---,---,---
86,Burkina Faso,05 2002,111,13,11.7,---,---,---,---
"""",Jamaica,10 2002,60,7,11.7,10 2002,21,4,19.0
"""",Lesotho,05 2002,120,14,11.7,N.A.,33,12,36.4
"""",San Marino,06 2006,60,7,11.7,---,---,---,---
87,Azerbaijan,11 2005,124,14,11.3,---,---,---,---
"""",Fiji,05 2006,71,8,11.3,06 2006,32,5,15.6
"""",Indonesia,04 2004,550,62,11.3,---,---,---,---
88,Romania,11 2004,331,37,11.2,11 2004,137,13,9.5
89,Botswana,10 2004,63,7,11.1,---,---,---,---
"""",Uruguay,10 2004,99,11,11.1,10 2004,31,3,9.7
90,Ghana,12 2004,230,25,10.9,---,---,---,---
91,Djibouti,01 2003,65,7,10.8,---,---,---,---
"""",Morocco,09 2002,325,35,10.8,10 2003,270,3,1.1
"""",Swaziland,10 2003,65,7,10.8,10 2003,30,9,30.0
92,Antigua and Barbuda,03 2004,19,2,10.5,03 2004,17,3,17.6
"""",Central African Republic,05 2005,105,11,10.5,---,---,---,---
93,Hungary,04 2006,386,40,10.4,---,---,---,---
"""",Kazakhstan,09 2004,77,8,10.4,09 2004,39,2,5.1
94,Mali,07 2002,147,15,10.2,---,---,---,---
95,Paraguay,04 2003,80,8,10.0,04 2003,45,4,8.9
96,Cambodia,07 2003,123,12,9.8,01 2006,61,9,14.8
"""",Russian Federation,12 2003,447,44,9.8,N.A.,178,6,3.4
97,Georgia,03 2004,235,22,9.4,---,---,---,---
98,Gabon,12 2001,119,11,9.2,02 2003,91,14,15.4
"""",Malta,04 2003,65,6,9.2,---,---,---,---
99,Malaysia,03 2004,219,20,9.1,03 2004,70,18,25.7
100,Japan,09 2005,480,43,9.0,07 2004,242,34,14.0
101,Cameroon,06 2002,180,16,8.9,---,---,---,---
102,Brazil,10 2002,513,44,8.6,10 2002,81,10,12.3
"""",Togo,10 2002,81,7,8.6,---,---,---,---
103,Congo,05 2002,129,11,8.5,10 2005,60,8,13.3
"""",Cote d'Ivoire,12 2000,223,19,8.5,---,---,---,---
104,India,04 2004,545,45,8.3,06 2004,250,28,11.2
105,Guatemala,11 2003,158,13,8.2,---,---,---,---
106,Somalia,08 2004,269,21,7.8,---,---,---,---
107,Kenya,12 2002,219,16,7.3,---,---,---,---
"""",Sao Tome and Principe,03 2006,55,4,7.3,---,---,---,---
108,Benin,03 2003,83,6,7.2,---,---,---,---
109,Albania,07 2005,140,10,7.1,---,---,---,---
"""",Ukraine,03 2006,450,32,7.1,---,---,---,---
110,Madagascar,12 2002,160,11,6.9,03 2001,90,10,11.1
111,Belize,03 2003,30,2,6.7,03 2003,12,3,25.0
112,Mongolia,06 2004,76,5,6.6,---,---,---,---
113,Chad,04 2002,155,10,6.5,---,---,---,---
114,Nigeria,04 2003,360,23,6.4,04 2003,109,4,3.7
115,Algeria,05 2002,389,24,6.2,12 2003,144,4,2.8
116,Nepal,05 1999,204,12,5.9,06 2001,18,3,16.7
117,Saint Lucia,12 2001,18,1,5.6,12.2001,11,4,36.4
118,Jordan,06 2003,110,6,5.5,11 2005,55,7,12.7
119,Armenia,05 2003,131,7,5.3,---,---,---,---
120,Sri Lanka,04 2004,225,11,4.9,---,---,---,---
121,Kiribati,05 2003,42,2,4.8,---,---,---,---
122,Lebanon,05 2005,128,6,4.7,---,---,---,---
"""",Libyan Arab Jamahiriya,03 2006,760,36,4.7,---,---,---,---
123,Turkey,11 2002,550,24,4.4,---,---,---,---
124,Iran (Islamic Rep. of),02 2004,290,12,4.1,---,---,---,---
"""",Samoa,03 2006,49,2,4.1,---,---,---,---
125,Vanuatu,07 2004,52,2,3.8,---,---,---,---
126,Tonga,03 2005,30,1,3.3,---,---,---,---
127,Comoros,04 2004,33,1,3.0,---,---,---,---
"""",Marshall Islands,11 2003,33,1,3.0,---,---,---,---
128,Bhutan,N.A.,150,4,2.7,---,---,---,---
129,Haiti,02 2006,82,2,2.4,02 2006,27,4,14.8
"""",Oman,10 2003,83,2,2.4,N.A.,58,9,15.5
130,Egypt,11 2005,442,9,2.0,05 2004,264,18,6.8
131,Kuwait,06 2006,65,1,1.5,---,---,---,---
132,Papua New Guinea,06 2002,109,1,0.9,---,---,---,---
133,Yemen,04 2003,301,1,0.3,04 2001,111,2,1.8
134,Bahrain,10 2002,40,0,0.0,11 2002,40,6,15.0
"""",Kyrgyzstan,02 2005,72,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 2005,14,0,0.0,---,---,---,---
"""",Nauru,10 2004,18,0,0.0,---,---,---,---
"""",Palau,11 2004,16,0,0.0,11 2004,9,0,0.0
"""",Qatar,06 2005,35,0,0.0,---,---,---,---
"""",Saint Kitts and Nevis,10 2004,15,0,0.0,---,---,---,---
"""",Saudi Arabia,04 2005,150,0,0.0,---,---,---,---
"""",Solomon Islands,04 2006,50,0,0.0,---,---,---,---
"""",Tuvalu,07 2002,15,0,0.0,---,---,---,---
"""",United Arab Emirates,02 2003,40,0,0.0,---,---,---,---
?,Colombia,03 2006,166,?,?,03 2006,102,?,?
?,Dem. Republic of the Congo,07 2006,500,?,?,08 2003,120,3,2.5
?,Mexico,07 2006,500,?,?,07 2006,128,?,?
?,Thailand,04 2006,500,?,?,04 2006,157,44,28.0
?,The F.Y.R. of Macedonia,07 2006,120,?,?,---,---,---,---
