Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1994,349,141,40.4,---,---,---,---
2,Norway,09 1993,165,65,39.4,---,---,---,---
3,Finland,03 1995,200,67,33.5,---,---,---,---
4,Denmark,09 1994,179,59,33.0,---,---,---,---
5,Netherlands,05 1994,150,47,31.3,---,---,---,---
6,New Zealand,10 1996,120,35,29.2,---,---,---,---
7,Seychelles,07 1993,33,9,27.3,---,---,---,---
8,Austria,12 1995,183,49,26.8,11 1994,64,13,20.3
9,Germany,10 1994,672,176,26.2,10 1994,68,13,19.1
10,Iceland,04 1995,63,16,25.4,---,---,---,---
11,Argentina,05 1995,257,65,25.3,12 1995,72,2,2.8
12,Mozambique,10 1994,250,63,25.2,---,---,---,---
13,South Africa,04 1994,400,100,25.0,04 1994,90,16,17.8
14,Spain,03 1996,350,86,24.6,03 1996,256,34,13.3
15,Cuba,02 1993,589,134,22.8,---,---,---,---
16,China,1992-93,2978,626,21.0,---,---,---,---
"""",Eritrea,02 1994,105,22,21.0,---,---,---,---
"""",Switzerland,10 1995,200,42,21.0,10 1995,46,8,17.4
17,Dem. People's Rep. of Korea,04 1990,687,138,20.1,---,---,---,---
18,Grenada,06 1995,15,3,20.0,06 1995,13,?,?
"""",Guyana,10 1992,65,13,20.0,---,---,---,---
"""",Luxembourg,06 1994,60,12,20.0,---,---,---,---
19,Viet Nam,07 1992,395,73,18.5,---,---,---,---
20,Namibia,12 1994,72,13,18.1,12 1994,26,?,?
"""",Uganda,06 1996,276,50,18.1,---,---,---,---
21,Canada,10 1993,295,53,18.0,1994,104,24,23.1
"""",Turkmenistan,12 1994,50,9,18.0,---,---,---,---
22,Lithuania,10 1996,137,24,17.5,---,---,---,---
"""",United Rep. of Tanzania,10 1995,275,48,17.5,---,---,---,---
23,Chad,04 1993,52,9,17.3,---,---,---,---
24,Rwanda,11 1994,70,12,17.1,---,---,---,---
25,Costa Rica,02 1994,57,9,15.8,---,---,---,---
26,Suriname,05 1996,51,8,15.7,---,---,---,---
